Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
Syntheticpatient1	2.41E-01	9.63E-02	8.17E-02	3.27E-01	2.20E-01	2.07E-01	8.58E-02	2.24E-01	1.40E-01	6.72E-02
Syntheticpatient10	2.32E-01	1.24E-01	1.04E-01	7.09E-02	1.43E-01	1.94E-01	3.05E-01	2.16E-01	2.20E-01	2.05E-01
Syntheticpatient2	2.50E-01	4.80E-02	1.81E-01	2.05E-01	2.63E-01	3.11E-01	1.44E-01	1.49E-01	1.68E-01	1.06E-01
Syntheticpatient3	1.30E-01	3.11E-01	2.60E-01	5.45E-02	1.51E-01	2.61E-01	5.87E-02	1.37E-01	1.34E-01	2.74E-01
Syntheticpatient4	3.38E-01	3.28E-01	2.83E-03	1.15E-01	2.68E-01	8.56E-02	7.10E-02	2.24E-01	2.55E-01	1.32E-01
Syntheticpatient5	2.84E-01	2.35E-01	9.42E-02	1.00E-02	2.07E-01	1.46E-01	7.82E-02	2.92E-01	1.97E-01	2.65E-01
Syntheticpatient6	1.22E-01	1.02E-01	1.22E-01	1.68E-01	1.23E-01	1.67E-01	2.72E-01	1.47E-01	9.74E-02	2.75E-01
Syntheticpatient7	2.20E-01	6.83E-02	2.92E-01	1.67E-01	1.21E-01	2.72E-01	8.67E-02	8.93E-02	3.25E-01	1.28E-01
Syntheticpatient8	2.61E-01	1.32E-01	9.83E-02	1.90E-01	3.33E-01	2.82E-01	8.16E-02	9.24E-02	1.19E-01	1.31E-01
Syntheticpatient9	6.70E-02	1.60E-01	3.56E-01	2.43E-01	1.10E-01	3.17E-01	1.18E-01	3.34E-01	4.22E-02	2.41E-01
