MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
0:homdel:0-100kb	3.869225372177972e-06	3.610014024778848e-06	3.613021239681904e-06	3.7416046356096794e-06	3.3073165068889213e-06	3.5303152314162593e-06	3.948519844190682e-06	4.029790612723791e-06	3.931740540005779e-06	3.85535574337409e-06
0:homdel:100kb-1Mb	3.866939707972016e-06	3.6052078221681293e-06	3.6142570512291284e-06	3.733853564751618e-06	3.3139130006171443e-06	3.531288172126762e-06	3.944611359096942e-06	4.0325448691895354e-06	3.934315100262542e-06	3.862195912215508e-06
0:homdel:>1Mb	3.865978124567743e-06	3.605956319006343e-06	3.6224649992496158e-06	3.738412142963176e-06	3.30722756266906e-06	3.5325827348328427e-06	3.954129416258229e-06	4.020657999253718e-06	3.936191174006121e-06	3.849652222383868e-06
1:LOH:0-100kb	0.043931269582497774	0.0023388540949088724	0.004818300103091813	0.028355384209648667	0.03340717676218246	0.045037809492414746	0.097174655824512	0.030091886486735626	0.019135150163235488	0.03026171232382158
1:LOH:100kb-1Mb	3.873752248530432e-06	3.6057920881715068e-06	3.6172290346447504e-06	3.7381611782561335e-06	3.3147224967011282e-06	3.532233110008577e-06	3.9514290866441565e-06	4.019365419540363e-06	3.928511939793156e-06	3.857642018001719e-06
1:LOH:1Mb-10Mb	0.022524088551702865	0.006405872963973671	0.04331049376924661	0.38897598437177655	0.03586372505931833	0.049952233159958954	0.021382607211363095	0.040803250101664815	0.03355272614869577	0.019253764208476753
1:LOH:10Mb-40Mb	0.02794011329353375	0.05113510995105837	0.5269035084716488	0.07708599003389535	0.04354167979739715	0.2721309607351146	0.06888337423797336	0.07950873436352666	0.08329062293264007	0.1267462106309993
1:LOH:>40Mb	0.06076771580038284	0.5665411250293255	0.07790073382552783	0.039273510783352214	0.07739593155600119	0.04770213145823682	0.0659583563701246	0.14556320143448362	0.06112555003016066	0.19809944387143918
2:LOH:0-100kb	3.864310055014432e-06	3.6062661649165364e-06	3.621221981128611e-06	3.7302362864365167e-06	3.3138103331306223e-06	3.5313294672803173e-06	3.950935661618835e-06	4.022848701863124e-06	3.938089404734835e-06	3.859584550864675e-06
2:LOH:100kb-1Mb	3.865197106956915e-06	3.603663293586364e-06	3.6190204633571965e-06	3.7343605072549707e-06	3.3142448817606958e-06	3.5329240765494455e-06	3.95174984379033e-06	4.022237839358043e-06	3.936527366834086e-06	3.855841376045687e-06
2:LOH:1Mb-10Mb	3.873507336646034e-06	3.6127972791055208e-06	3.6097266927695343e-06	3.736263502838149e-06	3.3173494412558104e-06	3.5318157555602165e-06	3.943255031238787e-06	4.013572979186375e-06	3.934091108794391e-06	3.8698798431036225e-06
2:LOH:10Mb-40Mb	3.8651684807513215e-06	3.602677907174355e-06	3.6177124675964735e-06	3.729711149498816e-06	3.3070510413767427e-06	3.53601059245613e-06	3.9620201705167295e-06	4.0302334012130715e-06	3.93722679871833e-06	3.8500397060178455e-06
2:LOH:>40Mb	3.867927414728388e-06	3.6084601261293274e-06	3.6141839316072323e-06	3.736739052192726e-06	3.3106683752542662e-06	3.5315487199093617e-06	3.950480360433374e-06	4.025046682081533e-06	3.932158927530682e-06	3.859418118888227e-06
3-4:LOH:0-100kb	3.862067139124267e-06	3.613798959467285e-06	3.6199626865230615e-06	3.736502487865871e-06	3.308527341257311e-06	3.528401229602467e-06	3.955323680980867e-06	4.030106185070355e-06	3.925424313566128e-06	3.851628027191517e-06
3-4:LOH:100kb-1Mb	3.872510279176659e-06	3.6006813508629157e-06	3.614276226974161e-06	3.7375902795590866e-06	3.3078165790212165e-06	3.540149865983751e-06	3.941887286387067e-06	4.031927031853165e-06	3.937397239691443e-06	3.857830253080296e-06
3-4:LOH:1Mb-10Mb	3.871966645869243e-06	3.605191909380574e-06	3.618605497418211e-06	3.7380081253995532e-06	3.3082624437681123e-06	3.530420835121219e-06	3.951934322009277e-06	4.0261510334584255e-06	3.929375661484325e-06	3.8579547486274e-06
3-4:LOH:10Mb-40Mb	3.862420481941543e-06	3.6115990625926466e-06	3.618782559469293e-06	3.7383442089880285e-06	3.3144060155808527e-06	3.52624895665945e-06	3.9526271450720255e-06	4.022759433107663e-06	3.9294779111039846e-06	3.856070304355026e-06
3-4:LOH:>40Mb	3.8700163786653276e-06	3.6044391166644437e-06	3.618507335632266e-06	3.7377841611164023e-06	3.3104505428918146e-06	3.5310825639677084e-06	3.9556251388101694e-06	4.0205662290568294e-06	3.933979847354552e-06	3.8525620915845e-06
5-8:LOH:0-100kb	3.866097115259092e-06	3.6126106392480956e-06	3.612054176303146e-06	3.7395167375656105e-06	3.310859083369322e-06	3.5274361637493856e-06	3.9518487004065725e-06	4.023476866647741e-06	3.929920649265784e-06	3.8621285444295796e-06
5-8:LOH:100kb-1Mb	3.863226637908757e-06	3.6061827039641106e-06	3.6203639551409127e-06	3.7412984884617597e-06	3.3087416993338122e-06	3.5342120345658847e-06	3.951669461084068e-06	4.020510210083193e-06	3.937979947620573e-06	3.85062850585209e-06
5-8:LOH:1Mb-10Mb	3.866021089127915e-06	3.6077775471227736e-06	3.61449688274578e-06	3.7379709792814135e-06	3.3110533416010952e-06	3.534401407904918e-06	3.946602463891735e-06	4.024395281621897e-06	3.936786471784859e-06	3.859367070816571e-06
5-8:LOH:10Mb-40Mb	3.8600720821558344e-06	3.6096586566217187e-06	3.614923591745712e-06	3.7394974427890186e-06	3.3085206437822516e-06	3.5360021240964247e-06	3.947514554851905e-06	4.019650640176351e-06	3.943985338083711e-06	3.8588343333870485e-06
5-8:LOH:>40Mb	3.865720056552785e-06	3.602687862689428e-06	3.618887887932391e-06	3.7265653309181048e-06	3.3097445200156985e-06	3.5369466164334633e-06	3.950342356793408e-06	4.033784930980682e-06	3.934452258259391e-06	3.857716052076522e-06
9+:LOH:0-100kb	3.863066418907718e-06	3.605307386336411e-06	3.619024703341772e-06	3.7312377176700927e-06	3.3131339174113927e-06	3.5356146539982328e-06	3.957761511578887e-06	4.02039065497065e-06	3.939032838532086e-06	3.851283309163992e-06
9+:LOH:100kb-1Mb	3.866994072374198e-06	3.603905637783534e-06	3.616484302075288e-06	3.739106209221905e-06	3.314936194556902e-06	3.53352554461221e-06	3.947584134137267e-06	4.021799838129774e-06	3.9357087855568796e-06	3.8565592292463806e-06
9+:LOH:1Mb-10Mb	3.862198087523342e-06	3.6000730035604957e-06	3.6205732805475655e-06	3.724843071651383e-06	3.3202970422033623e-06	3.532563540517422e-06	3.952571195115035e-06	4.0317461653202635e-06	3.932831372808421e-06	3.860372504956036e-06
9+:LOH:10Mb-40Mb	3.870675236016931e-06	3.6078934289393677e-06	3.6153605513957413e-06	3.737225407021793e-06	3.3123501355364873e-06	3.5304247581683066e-06	3.957680307864035e-06	4.014763465711573e-06	3.9348403973583634e-06	3.853314335001217e-06
9+:LOH:>40Mb	3.869140973452415e-06	3.6127353552684973e-06	3.6135846639815142e-06	3.735934536220336e-06	3.308141796005228e-06	3.5267931509943385e-06	3.951422447771701e-06	4.02834911561063e-06	3.927626007261264e-06	3.86360155072095e-06
