MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
0:homdel:0-100kb	4.56E-08	3.84E-08	4.89E-08	5.52E-08	3.82E-08	3.67E-08	5.02E-08	5.54E-08	5.37E-08	6.39E-08
0:homdel:100kb-1Mb	4.60E-08	3.86E-08	4.89E-08	5.53E-08	3.83E-08	3.67E-08	5.03E-08	5.59E-08	5.38E-08	6.42E-08
0:homdel:>1Mb	4.58E-08	3.88E-08	4.91E-08	5.51E-08	3.84E-08	3.68E-08	5.02E-08	5.51E-08	5.36E-08	6.42E-08
1:LOH:0-100kb	5.20E-03	1.10E-03	1.58E-03	3.29E-03	3.48E-03	5.10E-03	5.75E-03	4.02E-03	3.65E-03	3.76E-03
1:LOH:100kb-1Mb	4.67E-08	3.88E-08	4.89E-08	5.54E-08	3.90E-08	3.69E-08	5.09E-08	5.55E-08	5.38E-08	6.44E-08
1:LOH:1Mb-10Mb	2.51E-03	1.57E-03	3.68E-03	8.76E-03	3.00E-03	3.91E-03	2.68E-03	3.79E-03	3.36E-03	2.61E-03
1:LOH:10Mb-40Mb	2.99E-03	4.72E-03	8.66E-03	4.82E-03	3.48E-03	7.30E-03	4.32E-03	5.47E-03	5.71E-03	6.06E-03
1:LOH:>40Mb	4.48E-03	8.12E-03	5.14E-03	3.38E-03	4.97E-03	4.01E-03	4.44E-03	6.91E-03	4.77E-03	7.75E-03
2:LOH:0-100kb	4.57E-08	3.88E-08	4.91E-08	5.55E-08	3.84E-08	3.68E-08	5.02E-08	5.51E-08	5.39E-08	6.40E-08
2:LOH:100kb-1Mb	4.58E-08	3.87E-08	4.91E-08	5.54E-08	3.89E-08	3.68E-08	5.02E-08	5.51E-08	5.38E-08	6.42E-08
2:LOH:1Mb-10Mb	4.65E-08	3.86E-08	4.94E-08	5.51E-08	3.83E-08	3.67E-08	5.08E-08	5.52E-08	5.39E-08	6.45E-08
2:LOH:10Mb-40Mb	4.58E-08	3.85E-08	4.90E-08	5.55E-08	3.84E-08	3.66E-08	5.06E-08	5.63E-08	5.37E-08	6.42E-08
2:LOH:>40Mb	4.57E-08	3.85E-08	4.87E-08	5.50E-08	3.84E-08	3.67E-08	5.00E-08	5.49E-08	5.37E-08	6.41E-08
3-4:LOH:0-100kb	4.57E-08	3.89E-08	4.91E-08	5.42E-08	3.82E-08	3.65E-08	5.00E-08	5.55E-08	5.35E-08	6.40E-08
3-4:LOH:100kb-1Mb	4.64E-08	3.92E-08	4.90E-08	5.51E-08	3.86E-08	3.71E-08	5.05E-08	5.57E-08	5.41E-08	6.44E-08
3-4:LOH:1Mb-10Mb	4.62E-08	3.87E-08	4.87E-08	5.50E-08	3.86E-08	3.68E-08	5.02E-08	5.52E-08	5.39E-08	6.36E-08
3-4:LOH:10Mb-40Mb	4.57E-08	3.86E-08	4.86E-08	5.49E-08	3.86E-08	3.68E-08	5.01E-08	5.52E-08	5.37E-08	6.42E-08
3-4:LOH:>40Mb	4.59E-08	3.88E-08	4.90E-08	5.53E-08	3.90E-08	3.68E-08	5.02E-08	5.53E-08	5.39E-08	6.45E-08
