MutationType	CNV48A
0:homdel:0-100kb	3.730781404556183e-06
0:homdel:100kb-1Mb	3.7307814031919405e-06
0:homdel:>1Mb	3.730781407284667e-06
1:LOH:0-100kb	0.026625269341282547
1:LOH:100kb-1Mb	3.7307814136511296e-06
1:LOH:1Mb-10Mb	0.06291737900674343
1:LOH:10Mb-40Mb	0.1348981257379055
1:LOH:>40Mb	0.14553814217448235
2:LOH:0-100kb	3.730781410013151e-06
2:LOH:100kb-1Mb	3.730781406375172e-06
2:LOH:1Mb-10Mb	3.7307814136511296e-06
2:LOH:10Mb-40Mb	3.7307814068299195e-06
2:LOH:>40Mb	3.7307814041014354e-06
3-4:LOH:0-100kb	3.7307814122868878e-06
3-4:LOH:100kb-1Mb	3.730781404556183e-06
3-4:LOH:1Mb-10Mb	3.7307814059204247e-06
3-4:LOH:10Mb-40Mb	3.7307814059204247e-06
3-4:LOH:>40Mb	3.730781410013151e-06
5-8:LOH:0-100kb	3.730781406375172e-06
5-8:LOH:100kb-1Mb	3.730781410013151e-06
5-8:LOH:1Mb-10Mb	3.7307814068299195e-06
5-8:LOH:10Mb-40Mb	3.7307814091036562e-06
5-8:LOH:>40Mb	3.730781413196382e-06
9+:LOH:0-100kb	3.7307814041014354e-06
9+:LOH:100kb-1Mb	3.7307814059204247e-06
9+:LOH:1Mb-10Mb	3.730781406375172e-06
9+:LOH:10Mb-40Mb	3.7307814068299195e-06
9+:LOH:>40Mb	3.730781410467898e-06
2:het:0-100kb	0.0037193554248515282
2:het:100kb-1Mb	3.7307814081941614e-06
2:het:1Mb-10Mb	0.025729821893852204
2:het:10Mb-40Mb	0.07137826922163368
2:het:>40Mb	0.07904840861260891
3-4:het:0-100kb	0.025699827696196734
3-4:het:100kb-1Mb	3.7307814095584036e-06
3-4:het:1Mb-10Mb	0.04059252114780247
3-4:het:10Mb-40Mb	0.14591108290851115
3-4:het:>40Mb	0.237807492852211
5-8:het:0-100kb	3.7307814054656772e-06
5-8:het:100kb-1Mb	3.7307814041014354e-06
5-8:het:1Mb-10Mb	3.7307814050109302e-06
5-8:het:10Mb-40Mb	3.7307814118321404e-06
5-8:het:>40Mb	3.730781410013151e-06
9+:het:0-100kb	3.730781410013151e-06
9+:het:100kb-1Mb	3.730781410467898e-06
9+:het:1Mb-10Mb	3.7307814081941614e-06
9+:het:10Mb-40Mb	3.730781410467898e-06
9+:het:>40Mb	3.7307814109226455e-06
