MutationType	CNV48A	CNV48B
0:homdel:0-100kb	3.7288429980435465e-06	3.737018795163749e-06
0:homdel:100kb-1Mb	3.7288429975887995e-06	3.737018795163749e-06
0:homdel:>1Mb	3.7288429980435465e-06	3.737018795163749e-06
1:LOH:0-100kb	0.035413671536278314	0.020184450133517003
1:LOH:100kb-1Mb	3.7288429975887995e-06	3.737018795163749e-06
1:LOH:1Mb-10Mb	0.0962206309165306	0.03375705519633509
1:LOH:10Mb-40Mb	0.19455416365109932	0.08001984763103744
1:LOH:>40Mb	0.07170652463409846	0.21790433488673444
2:LOH:0-100kb	3.7288429975887995e-06	3.737018795163749e-06
2:LOH:100kb-1Mb	3.7288429980435465e-06	3.737018795163749e-06
2:LOH:1Mb-10Mb	3.7288429975887995e-06	3.737018795163749e-06
2:LOH:10Mb-40Mb	3.7288429975887995e-06	3.737018795163749e-06
2:LOH:>40Mb	3.7288429975887995e-06	3.737018795163749e-06
3-4:LOH:0-100kb	3.7288429975887995e-06	3.737018795163749e-06
3-4:LOH:100kb-1Mb	3.7288429975887995e-06	3.737018795163749e-06
3-4:LOH:1Mb-10Mb	3.7288429980435465e-06	3.737018795163749e-06
3-4:LOH:10Mb-40Mb	3.7288429975887995e-06	3.737018795163749e-06
3-4:LOH:>40Mb	3.7288429975887995e-06	3.737018795163749e-06
5-8:LOH:0-100kb	3.7288429980435465e-06	3.737018795163749e-06
5-8:LOH:100kb-1Mb	3.7288429980435465e-06	3.737018795163749e-06
5-8:LOH:1Mb-10Mb	3.7288429975887995e-06	3.737018795163749e-06
5-8:LOH:10Mb-40Mb	3.7288429980435465e-06	3.737018795163749e-06
5-8:LOH:>40Mb	3.7288429975887995e-06	3.737018795163749e-06
9+:LOH:0-100kb	3.7288429975887995e-06	3.737018795163749e-06
9+:LOH:100kb-1Mb	3.7288429975887995e-06	3.737018795163749e-06
9+:LOH:1Mb-10Mb	3.7288429975887995e-06	3.737018795163749e-06
9+:LOH:10Mb-40Mb	3.7288429980435465e-06	3.737018795163749e-06
9+:LOH:>40Mb	3.7288429975887995e-06	3.737018795163749e-06
2:het:0-100kb	0.006011956552564754	0.002085875295840045
2:het:100kb-1Mb	3.7288429975887995e-06	3.737018795163749e-06
2:het:1Mb-10Mb	0.021577440777660068	0.030505305555221435
2:het:10Mb-40Mb	0.100027769784474	0.049218405942423535
2:het:>40Mb	0.08569349604495231	0.07449200299932471
3-4:het:0-100kb	0.025199646199824618	0.026782541550078445
3-4:het:100kb-1Mb	3.7288429975887995e-06	3.737018795163749e-06
3-4:het:1Mb-10Mb	0.0502886443401562	0.03253903123071596
3-4:het:10Mb-40Mb	0.11370973045868135	0.1709918033036193
3-4:het:>40Mb	0.1994620817246864	0.2613848064577096
5-8:het:0-100kb	3.7288429975887995e-06	3.737018795163749e-06
5-8:het:100kb-1Mb	3.7288429975887995e-06	3.737018795163749e-06
5-8:het:1Mb-10Mb	3.7288429975887995e-06	3.737018795163749e-06
5-8:het:10Mb-40Mb	3.7288429975887995e-06	3.737018795163749e-06
5-8:het:>40Mb	3.7288429980435465e-06	3.737018795163749e-06
9+:het:0-100kb	3.7288429975887995e-06	3.737018795163749e-06
9+:het:100kb-1Mb	3.7288429975887995e-06	3.737018795163749e-06
9+:het:1Mb-10Mb	3.7288429975887995e-06	3.737018795163749e-06
9+:het:10Mb-40Mb	3.7288429980435465e-06	3.737018795163749e-06
9+:het:>40Mb	3.7288429980435465e-06	3.737018795163749e-06
