MutationType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
0:homdel:100kb-1Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
0:homdel:>1Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
1:LOH:0-100kb	0.03931499437557646	0.03634857122037422	0.01316567152679871
1:LOH:100kb-1Mb	3.6930537498847116e-06	3.7571134257632367e-06	3.7591933796647936e-06
1:LOH:1Mb-10Mb	0.10914713530252927	0.07086854535094646	0.015178044929456316
1:LOH:10Mb-40Mb	0.09925155947106509	0.2550989542873984	0.0658548593157406
1:LOH:>40Mb	0.049285459703904015	0.07997999412900417	0.2916838163584471
2:LOH:0-100kb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
2:LOH:100kb-1Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
2:LOH:1Mb-10Mb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
2:LOH:10Mb-40Mb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
2:LOH:>40Mb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
3-4:LOH:0-100kb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
3-4:LOH:100kb-1Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
3-4:LOH:1Mb-10Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
3-4:LOH:10Mb-40Mb	3.693053749429964e-06	3.757113424853742e-06	3.759193380119541e-06
3-4:LOH:>40Mb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
5-8:LOH:0-100kb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
5-8:LOH:100kb-1Mb	3.693053749429964e-06	3.757113424853742e-06	3.759193380119541e-06
5-8:LOH:1Mb-10Mb	3.693053749429964e-06	3.757113424853742e-06	3.759193380119541e-06
5-8:LOH:10Mb-40Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
5-8:LOH:>40Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
9+:LOH:0-100kb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
9+:LOH:100kb-1Mb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
9+:LOH:1Mb-10Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
9+:LOH:10Mb-40Mb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
9+:LOH:>40Mb	3.6930537498847116e-06	3.7571134257632367e-06	3.7591933796647936e-06
2:het:0-100kb	0.0027208560458274176	0.0078700361470563	0.002040755530180462
2:het:100kb-1Mb	3.6930537498847116e-06	3.7571134257632367e-06	3.7591933796647936e-06
2:het:1Mb-10Mb	0.02585390402084085	0.026863892143402502	0.030039477420525165
2:het:10Mb-40Mb	0.053971864893281644	0.13311676848407442	0.048022881556865675
2:het:>40Mb	0.07790845675122864	0.08611759690613328	0.07528868856549595
3-4:het:0-100kb	0.025982586176378476	0.02944727877502895	0.023943943488042727
3-4:het:100kb-1Mb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
3-4:het:1Mb-10Mb	0.02396075007636292	0.0688978385940358	0.0359787954354577
3-4:het:10Mb-40Mb	0.15443246713781528	0.09897558022253146	0.1707044705587592
3-4:het:>40Mb	0.3380370176732634	0.10627967727083873	0.22796326732094674
5-8:het:0-100kb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
5-8:het:100kb-1Mb	3.693053749429964e-06	3.757113424853742e-06	3.759193380119541e-06
5-8:het:1Mb-10Mb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
5-8:het:10Mb-40Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
5-8:het:>40Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
9+:het:0-100kb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
9+:het:100kb-1Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
9+:het:1Mb-10Mb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
9+:het:10Mb-40Mb	3.6930537498847116e-06	3.7571134253084893e-06	3.7591933796647936e-06
9+:het:>40Mb	3.693053749429964e-06	3.7571134243989944e-06	3.759193380119541e-06
