MutationType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	5.05E-09	6.39E-09	4.80E-09
0:homdel:100kb-1Mb	5.05E-09	6.39E-09	4.80E-09
0:homdel:>1Mb	5.05E-09	6.39E-09	4.80E-09
1:LOH:0-100kb	2.14E-03	2.28E-03	1.31E-03
1:LOH:100kb-1Mb	5.05E-09	6.39E-09	4.80E-09
1:LOH:1Mb-10Mb	4.00E-03	3.82E-03	1.52E-03
1:LOH:10Mb-40Mb	3.97E-03	6.11E-03	3.54E-03
1:LOH:>40Mb	2.65E-03	3.91E-03	4.75E-03
2:LOH:0-100kb	5.05E-09	6.39E-09	4.80E-09
2:LOH:100kb-1Mb	5.05E-09	6.39E-09	4.80E-09
2:LOH:1Mb-10Mb	5.05E-09	6.39E-09	4.80E-09
2:LOH:10Mb-40Mb	5.05E-09	6.39E-09	4.80E-09
2:LOH:>40Mb	5.05E-09	6.39E-09	4.80E-09
3-4:LOH:0-100kb	5.05E-09	6.39E-09	4.80E-09
3-4:LOH:100kb-1Mb	5.05E-09	6.39E-09	4.80E-09
3-4:LOH:1Mb-10Mb	5.05E-09	6.39E-09	4.80E-09
3-4:LOH:10Mb-40Mb	5.05E-09	6.39E-09	4.80E-09
3-4:LOH:>40Mb	5.05E-09	6.39E-09	4.80E-09
5-8:LOH:0-100kb	5.05E-09	6.39E-09	4.80E-09
5-8:LOH:100kb-1Mb	5.05E-09	6.39E-09	4.80E-09
5-8:LOH:1Mb-10Mb	5.05E-09	6.39E-09	4.80E-09
5-8:LOH:10Mb-40Mb	5.05E-09	6.39E-09	4.80E-09
5-8:LOH:>40Mb	5.05E-09	6.39E-09	4.80E-09
9+:LOH:0-100kb	5.05E-09	6.39E-09	4.80E-09
9+:LOH:100kb-1Mb	5.05E-09	6.39E-09	4.80E-09
9+:LOH:1Mb-10Mb	5.05E-09	6.39E-09	4.80E-09
9+:LOH:10Mb-40Mb	5.05E-09	6.39E-09	4.80E-09
9+:LOH:>40Mb	5.05E-09	6.39E-09	4.80E-09
2:het:0-100kb	4.17E-04	5.74E-04	3.17E-04
2:het:100kb-1Mb	5.05E-09	6.39E-09	4.80E-09
2:het:1Mb-10Mb	1.80E-03	1.89E-03	1.61E-03
2:het:10Mb-40Mb	2.95E-03	4.89E-03	2.94E-03
2:het:>40Mb	2.82E-03	3.38E-03	2.77E-03
3-4:het:0-100kb	1.50E-03	1.67E-03	1.34E-03
3-4:het:100kb-1Mb	5.05E-09	6.39E-09	4.80E-09
3-4:het:1Mb-10Mb	1.53E-03	2.71E-03	1.92E-03
3-4:het:10Mb-40Mb	4.35E-03	4.67E-03	4.17E-03
3-4:het:>40Mb	5.42E-03	3.88E-03	5.03E-03
5-8:het:0-100kb	5.05E-09	6.39E-09	4.80E-09
5-8:het:100kb-1Mb	5.05E-09	6.39E-09	4.80E-09
5-8:het:1Mb-10Mb	5.05E-09	6.39E-09	4.80E-09
5-8:het:10Mb-40Mb	5.05E-09	6.39E-09	4.80E-09
5-8:het:>40Mb	5.05E-09	6.39E-09	4.80E-09
9+:het:0-100kb	5.05E-09	6.39E-09	4.80E-09
9+:het:100kb-1Mb	5.05E-09	6.39E-09	4.80E-09
9+:het:1Mb-10Mb	5.05E-09	6.39E-09	4.80E-09
9+:het:10Mb-40Mb	5.05E-09	6.39E-09	4.80E-09
9+:het:>40Mb	5.05E-09	6.39E-09	4.80E-09
