NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	10.335	38.48	3.965	33.168	0.154	0.936	3000.0
2	13.547	50.404	5.684	46.975	0.222	0.862	2000.0
3	9.673	36.137	3.609	30.155	0.167	0.945	2000.0
4	11.918	44.572	4.829	41.579	0.205	0.895	3000.0
5	10.333	38.902	4.361	36.427	0.18	0.909	3000.0
6	10.575	39.583	4.53	37.784	0.172	0.915	2000.0
7	10.924	41.082	4.411	37.793	0.192	0.9	2000.0
8	12.624	46.799	5.111	41.25	0.206	0.9	2000.0
9	9.158	34.256	3.844	32.866	0.138	0.937	2000.0
10	8.759	32.677	3.607	31.908	0.152	0.933	3000.0
11	10.637	40.007	4.301	36.805	0.169	0.914	4000.0
12	10.376	38.485	4.326	36.426	0.142	0.917	3000.0
13	12.239	45.966	4.91	40.432	0.218	0.901	3000.0
14	13.631	50.488	6.071	46.699	0.235	0.877	2000.0
15	10.195	38.238	4.2	36.177	0.146	0.917	2000.0
16	12.342	46.46	4.756	40.629	0.245	0.896	2000.0
17	10.689	39.882	4.471	38.294	0.172	0.905	3000.0
18	11.503	42.87	4.843	38.713	0.187	0.912	4000.0
19	11.054	41.759	4.231	35.94	0.214	0.91	4000.0
20	12.032	44.889	5.069	43.378	0.208	0.878	2000.0
21	10.826	40.768	4.347	37.537	0.186	0.913	2000.0
22	11.511	42.973	4.884	40.312	0.188	0.894	3000.0
23	10.07	37.648	4.235	36.489	0.162	0.918	2000.0
24	11.217	41.705	4.632	36.732	0.203	0.919	3000.0
25	10.945	40.72	4.955	41.786	0.15	0.891	2000.0
26	11.361	42.748	4.569	40.652	0.164	0.894	2000.0
27	12.278	45.744	5.056	41.194	0.208	0.899	2000.0
28	10.422	38.926	4.193	35.33	0.176	0.93	5000.0
29	12.196	45.703	5.206	42.456	0.201	0.897	3000.0
30	10.663	39.749	4.346	35.873	0.174	0.924	2000.0
31	10.877	41.122	4.335	38.667	0.183	0.901	3000.0
32	10.397	38.964	4.476	38.349	0.153	0.907	2000.0
33	10.96	41.113	4.432	37.244	0.179	0.915	2000.0
34	10.764	40.029	4.195	36.379	0.157	0.924	3000.0
35	9.974	37.134	4.175	34.665	0.168	0.924	3000.0
36	11.022	40.882	4.644	38.084	0.176	0.913	3000.0
37	11.178	42.207	4.475	38.619	0.191	0.902	3000.0
38	10.825	40.293	4.406	37.411	0.178	0.915	2000.0
39	10.616	39.549	4.412	37.074	0.155	0.92	4000.0
40	11.738	43.707	5.148	41.539	0.186	0.901	2000.0
41	10.919	40.726	4.515	37.637	0.179	0.918	3000.0
42	11.131	41.389	4.788	37.258	0.189	0.905	5000.0
43	12.878	47.838	5.075	40.847	0.239	0.893	2000.0
44	12.515	46.782	5.08	43.656	0.188	0.884	2000.0
45	11.016	41.133	4.504	37.62	0.188	0.907	2000.0
46	11.799	44.362	5.055	41.575	0.205	0.894	2000.0
47	9.772	36.77	3.896	33.883	0.166	0.921	2000.0
48	11.87	44.61	4.995	42.308	0.19	0.892	2000.0
