Samples	CNV48A	CNV48B	CNV48C	CNV48D
Syntheticpatient1	3.91E-01	2.21E-01	3.01E-01	2.61E-01
Syntheticpatient10	2.71E-01	2.53E-01	2.24E-01	3.70E-01
Syntheticpatient2	3.60E-01	1.67E-01	3.26E-01	2.93E-01
Syntheticpatient3	2.07E-01	3.63E-01	3.51E-01	1.82E-01
Syntheticpatient4	4.09E-01	4.43E-01	1.34E-01	2.40E-01
Syntheticpatient5	2.91E-01	3.41E-01	2.10E-01	2.50E-01
Syntheticpatient6	2.43E-01	2.30E-01	2.89E-01	3.67E-01
Syntheticpatient7	3.56E-01	2.41E-01	3.99E-01	3.17E-01
Syntheticpatient8	3.59E-01	2.96E-01	2.48E-01	2.40E-01
Syntheticpatient9	3.02E-01	3.11E-01	4.20E-01	3.39E-01
