MutationType	CNV48A	CNV48B	CNV48C	CNV48D
0:homdel:0-100kb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
0:homdel:100kb-1Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
0:homdel:>1Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
1:LOH:0-100kb	0.02784400194612778	0.00498498363333956	0.010062098948513096	0.08311447740316039
1:LOH:100kb-1Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
1:LOH:1Mb-10Mb	0.11411708887269255	0.011470752381594595	0.0850495605754532	0.04286012658949057
1:LOH:10Mb-40Mb	0.06317802897118904	0.06342792456501296	0.34338208113983276	0.09271957239450385
1:LOH:>40Mb	0.055933252775891104	0.35528223592042923	0.06657070202618218	0.07812515865134181
2:LOH:0-100kb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
2:LOH:100kb-1Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
2:LOH:1Mb-10Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
2:LOH:10Mb-40Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
2:LOH:>40Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
3-4:LOH:0-100kb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
3-4:LOH:100kb-1Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
3-4:LOH:1Mb-10Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
3-4:LOH:10Mb-40Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
3-4:LOH:>40Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
5-8:LOH:0-100kb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
5-8:LOH:100kb-1Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
5-8:LOH:1Mb-10Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
5-8:LOH:10Mb-40Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
5-8:LOH:>40Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
9+:LOH:0-100kb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
9+:LOH:100kb-1Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
9+:LOH:1Mb-10Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
9+:LOH:10Mb-40Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
9+:LOH:>40Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
2:het:0-100kb	0.001956335473987821	0.0025889263857702643	0.00884608366211516	0.0034057716420607385
2:het:100kb-1Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
2:het:1Mb-10Mb	0.021638462606536256	0.028517003659362508	0.030632923835511718	0.03408897592346063
2:het:10Mb-40Mb	0.030153195314820625	0.03370268636946328	0.052355447581281155	0.20874147477728125
2:het:>40Mb	0.07232422811992546	0.07633741552292504	0.07122377570520379	0.09908961688731535
3-4:het:0-100kb	0.026936580542183605	0.02198402590899539	0.03827521344023448	0.02144432270441034
3-4:het:100kb-1Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
3-4:het:1Mb-10Mb	0.020390603169349777	0.03233460310425579	0.048999684801065486	0.07667289125374915
3-4:het:10Mb-40Mb	0.16585026405814568	0.15478684887450975	0.11375764484066285	0.1337619011384262
3-4:het:>40Mb	0.3995461117476225	0.21444741255887334	0.13071332978994568	0.12583536766515416
5-8:het:0-100kb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
5-8:het:100kb-1Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
5-8:het:1Mb-10Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
5-8:het:10Mb-40Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
5-8:het:>40Mb	3.6625103757614853e-06	3.7548945515482045e-06	3.651621570043062e-06	3.8986263793958646e-06
