MutationType	CNV48A	CNV48B	CNV48C	CNV48D
0:homdel:0-100kb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
0:homdel:100kb-1Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
0:homdel:>1Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
1:LOH:0-100kb	1.91E-03	7.23E-04	1.16E-03	3.57E-03
1:LOH:100kb-1Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
1:LOH:1Mb-10Mb	4.87E-03	1.65E-03	4.71E-03	3.62E-03
1:LOH:10Mb-40Mb	3.37E-03	4.51E-03	6.32E-03	4.10E-03
1:LOH:>40Mb	3.15E-03	5.33E-03	4.01E-03	3.83E-03
2:LOH:0-100kb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
2:LOH:100kb-1Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
2:LOH:1Mb-10Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
2:LOH:10Mb-40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
2:LOH:>40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
3-4:LOH:0-100kb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
3-4:LOH:100kb-1Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
3-4:LOH:1Mb-10Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
3-4:LOH:10Mb-40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
3-4:LOH:>40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
5-8:LOH:0-100kb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
5-8:LOH:100kb-1Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
5-8:LOH:1Mb-10Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
5-8:LOH:10Mb-40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
5-8:LOH:>40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
9+:LOH:0-100kb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
9+:LOH:100kb-1Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
9+:LOH:1Mb-10Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
9+:LOH:10Mb-40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
9+:LOH:>40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
2:het:0-100kb	3.92E-04	4.47E-04	7.38E-04	5.14E-04
2:het:100kb-1Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
2:het:1Mb-10Mb	1.90E-03	1.93E-03	2.18E-03	2.44E-03
2:het:10Mb-40Mb	2.10E-03	2.16E-03	2.89E-03	5.58E-03
2:het:>40Mb	3.12E-03	3.25E-03	3.68E-03	3.99E-03
3-4:het:0-100kb	1.93E-03	1.47E-03	2.38E-03	1.71E-03
3-4:het:100kb-1Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
3-4:het:1Mb-10Mb	1.92E-03	2.30E-03	2.79E-03	3.49E-03
3-4:het:10Mb-40Mb	5.24E-03	4.86E-03	5.27E-03	6.30E-03
3-4:het:>40Mb	6.04E-03	5.38E-03	4.88E-03	4.60E-03
5-8:het:0-100kb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
5-8:het:100kb-1Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
5-8:het:1Mb-10Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
5-8:het:10Mb-40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
5-8:het:>40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
9+:het:0-100kb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
9+:het:100kb-1Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
9+:het:1Mb-10Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
9+:het:10Mb-40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
9+:het:>40Mb	5.72E-09	5.25E-09	6.15E-09	6.50E-09
