Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
Syntheticpatient1	3.94E-01	1.92E-01	2.88E-01	3.00E-01	2.19E-01
Syntheticpatient10	2.44E-01	2.40E-01	1.48E-01	3.17E-01	3.70E-01
Syntheticpatient2	3.36E-01	1.37E-01	2.63E-01	3.22E-01	2.14E-01
Syntheticpatient3	1.81E-01	3.76E-01	3.47E-01	2.49E-01	1.78E-01
Syntheticpatient4	3.48E-01	4.35E-01	4.24E-02	3.69E-01	1.31E-01
Syntheticpatient5	2.60E-01	3.43E-01	2.05E-01	2.87E-01	2.17E-01
Syntheticpatient6	2.12E-01	2.02E-01	2.21E-01	1.70E-01	3.21E-01
Syntheticpatient7	2.39E-01	1.56E-01	3.31E-01	4.03E-01	1.65E-01
Syntheticpatient8	3.49E-01	2.55E-01	1.83E-01	2.80E-01	1.87E-01
Syntheticpatient9	2.38E-01	2.48E-01	3.88E-01	1.84E-01	2.88E-01
