MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
0:homdel:0-100kb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
0:homdel:100kb-1Mb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
0:homdel:>1Mb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
1:LOH:0-100kb	0.03496180502461718	0.0041026787664393514	0.005702410856539796	0.02260626677746098	0.0952339793258254
1:LOH:100kb-1Mb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
1:LOH:1Mb-10Mb	0.1245999873317721	0.008102348352560795	0.09966455848291056	0.052752069717779904	0.03910979132340897
1:LOH:10Mb-40Mb	0.05899195121954123	0.055901010769035635	0.3768854116351722	0.12758110371661938	0.08789596292416749
1:LOH:>40Mb	0.05415519569518512	0.3899687901735306	0.09356654421458308	0.055321849530355294	0.07949678595673168
2:LOH:0-100kb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
2:LOH:100kb-1Mb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
2:LOH:1Mb-10Mb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
2:LOH:10Mb-40Mb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
2:LOH:>40Mb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
3-4:LOH:0-100kb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
3-4:LOH:100kb-1Mb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
3-4:LOH:1Mb-10Mb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
3-4:LOH:10Mb-40Mb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
3-4:LOH:>40Mb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
5-8:LOH:0-100kb	3.6229762458788174e-06	3.750880456664163e-06	3.6471519497354165e-06	3.751527543499833e-06	3.942375130463916e-06
