MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
0:homdel:0-100kb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
0:homdel:100kb-1Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
0:homdel:>1Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
1:LOH:0-100kb	2.50E-03	9.06E-04	1.02E-03	2.39E-03	4.39E-03
1:LOH:100kb-1Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
1:LOH:1Mb-10Mb	5.81E-03	1.62E-03	5.69E-03	4.46E-03	3.65E-03
1:LOH:10Mb-40Mb	3.54E-03	4.27E-03	7.15E-03	6.07E-03	4.18E-03
1:LOH:>40Mb	3.40E-03	5.76E-03	5.03E-03	3.82E-03	3.99E-03
2:LOH:0-100kb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
2:LOH:100kb-1Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
2:LOH:1Mb-10Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
2:LOH:10Mb-40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
2:LOH:>40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
3-4:LOH:0-100kb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
3-4:LOH:100kb-1Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
3-4:LOH:1Mb-10Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
3-4:LOH:10Mb-40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
3-4:LOH:>40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
5-8:LOH:0-100kb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
5-8:LOH:100kb-1Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
5-8:LOH:1Mb-10Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
5-8:LOH:10Mb-40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
5-8:LOH:>40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
9+:LOH:0-100kb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
9+:LOH:100kb-1Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
9+:LOH:1Mb-10Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
9+:LOH:10Mb-40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
9+:LOH:>40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
2:het:0-100kb	3.07E-04	3.54E-04	1.09E-03	4.26E-04	5.99E-04
2:het:100kb-1Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
2:het:1Mb-10Mb	1.44E-03	2.16E-03	2.09E-03	3.66E-03	2.23E-03
2:het:10Mb-40Mb	2.18E-03	1.99E-03	2.92E-03	2.57E-03	5.97E-03
2:het:>40Mb	3.48E-03	3.45E-03	4.84E-03	3.67E-03	4.21E-03
3-4:het:0-100kb	1.83E-03	1.76E-03	2.24E-03	2.87E-03	2.04E-03
3-4:het:100kb-1Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
3-4:het:1Mb-10Mb	2.25E-03	2.54E-03	3.12E-03	2.59E-03	4.29E-03
3-4:het:10Mb-40Mb	4.32E-03	4.78E-03	3.81E-03	6.69E-03	4.12E-03
3-4:het:>40Mb	6.38E-03	5.50E-03	4.95E-03	6.24E-03	4.50E-03
5-8:het:0-100kb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
5-8:het:100kb-1Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
5-8:het:1Mb-10Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
5-8:het:10Mb-40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
5-8:het:>40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
9+:het:0-100kb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
9+:het:100kb-1Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
9+:het:1Mb-10Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
9+:het:10Mb-40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
9+:het:>40Mb	7.45E-09	6.79E-09	7.60E-09	8.82E-09	7.51E-09
