Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
Syntheticpatient1	1.57E-01	3.42E-01	1.44E-01	2.22E-01	3.81E-01	1.21E-01
Syntheticpatient10	1.92E-01	2.31E-01	1.71E-01	2.94E-01	1.57E-01	3.47E-01
Syntheticpatient2	8.33E-02	3.39E-01	2.50E-01	2.44E-01	2.93E-01	1.95E-01
Syntheticpatient3	3.73E-01	2.20E-01	3.43E-01	2.08E-01	1.50E-01	1.15E-01
Syntheticpatient4	4.27E-01	3.75E-01	2.55E-02	3.63E-01	2.19E-01	7.70E-02
Syntheticpatient5	3.38E-01	2.90E-01	1.89E-01	2.70E-01	2.28E-01	1.69E-01
Syntheticpatient6	1.80E-01	2.03E-01	2.00E-01	1.65E-01	2.41E-01	3.15E-01
Syntheticpatient7	1.21E-01	2.23E-01	3.31E-01	3.93E-01	2.29E-01	1.09E-01
Syntheticpatient8	1.97E-01	3.38E-01	1.79E-01	2.13E-01	2.50E-01	1.42E-01
Syntheticpatient9	2.07E-01	1.63E-01	3.83E-01	7.22E-02	3.68E-01	2.24E-01
