MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
0:homdel:0-100kb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700268586226e-06	3.802092953264946e-06	3.736402950153206e-06	3.98600183734743e-06
0:homdel:100kb-1Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.802092953264946e-06	3.736402950153206e-06	3.98600183734743e-06
0:homdel:>1Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.802092953264946e-06	3.736402950153206e-06	3.98600183734743e-06
1:LOH:0-100kb	0.00393048485426127	0.03420924955459056	0.005717539176261015	0.027355631818316736	0.023370050829838996	0.11014906128630464
1:LOH:100kb-1Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700268586226e-06	3.802092950536462e-06	3.7364029524269428e-06	3.986001836892683e-06
1:LOH:1Mb-10Mb	0.004734714506420844	0.04952970603578609	0.04036352213278488	0.029216132939224138	0.24431129590439615	0.020151614339114294
1:LOH:10Mb-40Mb	0.045200324896164046	0.059268672826444685	0.430409524183895	0.10705869921993398	0.11640781075524172	0.08034638269017418
1:LOH:>40Mb	0.4309989296719432	0.06768901942372196	0.11406204245036121	0.05704925317252187	0.058928927329926654	0.07471595270825697
2:LOH:0-100kb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929500817146e-06	3.7364029524269428e-06	3.986001836892683e-06
2:LOH:100kb-1Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.802092951445957e-06	3.7364029519721953e-06	3.98600183734743e-06
2:LOH:1Mb-10Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700268586226e-06	3.8020929523554513e-06	3.736402950607953e-06	3.986001836892683e-06
2:LOH:10Mb-40Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700295871067e-06	3.8020929528101987e-06	3.736402950153206e-06	3.98600183734743e-06
2:LOH:>40Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929509912094e-06	3.7364029519721953e-06	3.98600183734743e-06
3-4:LOH:0-100kb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929528101987e-06	3.736402950153206e-06	3.98600183734743e-06
3-4:LOH:100kb-1Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929519007043e-06	3.736402950607953e-06	3.986001836892683e-06
3-4:LOH:1Mb-10Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929528101987e-06	3.736402950153206e-06	3.98600183734743e-06
3-4:LOH:10Mb-40Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929528101987e-06	3.736402950153206e-06	3.98600183734743e-06
3-4:LOH:>40Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.802092950536462e-06	3.7364029524269428e-06	3.986001836892683e-06
5-8:LOH:0-100kb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.802092953264946e-06	3.736402950153206e-06	3.98600183734743e-06
5-8:LOH:100kb-1Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700268586226e-06	3.802092951445957e-06	3.7364029519721953e-06	3.98600183734743e-06
5-8:LOH:1Mb-10Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700295871067e-06	3.8020929509912094e-06	3.7364029519721953e-06	3.98600183734743e-06
5-8:LOH:10Mb-40Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929528101987e-06	3.736402950153206e-06	3.98600183734743e-06
5-8:LOH:>40Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.802092953264946e-06	3.736402950153206e-06	3.98600183734743e-06
9+:LOH:0-100kb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.802092953264946e-06	3.736402950153206e-06	3.98600183734743e-06
9+:LOH:100kb-1Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700268586226e-06	3.8020929523554513e-06	3.736402950607953e-06	3.986001836892683e-06
9+:LOH:1Mb-10Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929509912094e-06	3.7364029519721953e-06	3.98600183734743e-06
9+:LOH:10Mb-40Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700268586226e-06	3.8020929523554513e-06	3.736402950607953e-06	3.986001836892683e-06
9+:LOH:>40Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700295871067e-06	3.8020929528101987e-06	3.736402950153206e-06	3.98600183734743e-06
2:het:0-100kb	0.001053662121009758	0.00045744867860587137	0.013494419917988153	0.0003391400431756965	0.009634939244355791	0.002014753109640395
2:het:100kb-1Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700295871067e-06	3.8020929528101987e-06	3.736402950153206e-06	3.98600183734743e-06
2:het:1Mb-10Mb	0.027772551080136373	0.022568571226164385	0.02021290474053482	0.08045428390278986	0.006564972653964772	0.024727367305780335
2:het:10Mb-40Mb	0.02662184688569375	0.03518333720546663	0.05289687734554701	0.04041108883157305	0.04519916577239644	0.30038580125459385
2:het:>40Mb	0.07265919614552602	0.04937264878118311	0.07881787233806307	0.05199518092484623	0.13677856056729018	0.0902528375759268
3-4:het:0-100kb	0.019840018965044184	0.029791246457991596	0.03265397843100405	0.0603523802868719	0.013376028837911284	0.017940342225664273
3-4:het:100kb-1Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700295871067e-06	3.8020929528101987e-06	3.736402950153206e-06	3.98600183734743e-06
3-4:het:1Mb-10Mb	0.031248886707098647	0.028782213180379997	0.05193861566295587	0.038814439248662014	0.026162227406970252	0.10005972580607342
3-4:het:10Mb-40Mb	0.13339294435807447	0.12444929295127881	0.06484915941618928	0.36035697954893114	0.08644016890133178	0.07780439582637143
3-4:het:>40Mb	0.2024106907184603	0.4985699818432331	0.09445346230125655	0.14645990509459988	0.2326913372318993	0.10130827882888567
5-8:het:0-100kb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929528101987e-06	3.736402950153206e-06	3.98600183734743e-06
5-8:het:100kb-1Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700268586226e-06	3.802092953264946e-06	3.736402950153206e-06	3.98600183734743e-06
5-8:het:1Mb-10Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.802092950536462e-06	3.7364029524269428e-06	3.986001836892683e-06
5-8:het:10Mb-40Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929519007043e-06	3.736402950607953e-06	3.986001836892683e-06
5-8:het:>40Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929523554513e-06	3.736402950607953e-06	3.986001836892683e-06
9+:het:0-100kb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700268586226e-06	3.802092953264946e-06	3.736402950153206e-06	3.98600183734743e-06
9+:het:100kb-1Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700268586226e-06	3.802092950536462e-06	3.7364029524269428e-06	3.986001836892683e-06
9+:het:1Mb-10Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700295871067e-06	3.8020929528101987e-06	3.736402950153206e-06	3.98600183734743e-06
9+:het:10Mb-40Mb	3.7707007522840287e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.8020929528101987e-06	3.736402950153206e-06	3.98600183734743e-06
9+:het:>40Mb	3.7707007527387757e-06	3.5727800345739526e-06	3.6130700282228644e-06	3.802092950536462e-06	3.7364029524269428e-06	3.986001836892683e-06
