MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
0:homdel:0-100kb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
0:homdel:100kb-1Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
0:homdel:>1Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
1:LOH:0-100kb	1.24E-03	3.21E-03	1.28E-03	3.33E-03	2.42E-03	5.17E-03
1:LOH:100kb-1Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
1:LOH:1Mb-10Mb	9.26E-04	3.45E-03	3.58E-03	2.73E-03	7.30E-03	2.44E-03
1:LOH:10Mb-40Mb	3.87E-03	3.99E-03	7.54E-03	5.78E-03	5.27E-03	4.28E-03
1:LOH:>40Mb	6.73E-03	4.28E-03	6.15E-03	4.26E-03	3.93E-03	4.17E-03
2:LOH:0-100kb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
2:LOH:100kb-1Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
2:LOH:1Mb-10Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
2:LOH:10Mb-40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
2:LOH:>40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
3-4:LOH:0-100kb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
3-4:LOH:100kb-1Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
3-4:LOH:1Mb-10Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
3-4:LOH:10Mb-40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
3-4:LOH:>40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
5-8:LOH:0-100kb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
5-8:LOH:100kb-1Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
5-8:LOH:1Mb-10Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
5-8:LOH:10Mb-40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
5-8:LOH:>40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
9+:LOH:0-100kb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
9+:LOH:100kb-1Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
9+:LOH:1Mb-10Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
9+:LOH:10Mb-40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
9+:LOH:>40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
2:het:0-100kb	3.23E-04	1.80E-04	1.21E-03	1.77E-04	1.08E-03	5.33E-04
2:het:100kb-1Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
2:het:1Mb-10Mb	2.31E-03	2.16E-03	2.22E-03	4.41E-03	1.36E-03	2.41E-03
2:het:10Mb-40Mb	2.15E-03	2.79E-03	3.21E-03	2.72E-03	3.00E-03	6.53E-03
2:het:>40Mb	3.99E-03	3.18E-03	4.81E-03	3.61E-03	5.73E-03	4.64E-03
3-4:het:0-100kb	1.75E-03	2.33E-03	2.82E-03	3.58E-03	2.33E-03	2.26E-03
3-4:het:100kb-1Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
3-4:het:1Mb-10Mb	3.14E-03	2.52E-03	3.30E-03	3.65E-03	2.94E-03	4.68E-03
3-4:het:10Mb-40Mb	5.11E-03	4.98E-03	4.29E-03	6.79E-03	4.38E-03	4.13E-03
3-4:het:>40Mb	5.70E-03	6.74E-03	4.88E-03	5.91E-03	6.69E-03	4.60E-03
5-8:het:0-100kb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
5-8:het:100kb-1Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
5-8:het:1Mb-10Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
5-8:het:10Mb-40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
5-8:het:>40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
9+:het:0-100kb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
9+:het:100kb-1Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
9+:het:1Mb-10Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
9+:het:10Mb-40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
9+:het:>40Mb	9.49E-09	9.84E-09	1.07E-08	1.06E-08	9.99E-09	9.76E-09
