Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
Syntheticpatient1	3.13E-01	1.22E-01	1.12E-01	1.82E-01	3.68E-01	1.12E-01	2.33E-01
Syntheticpatient10	1.94E-01	1.65E-01	1.37E-01	2.72E-01	8.69E-02	3.33E-01	3.11E-01
Syntheticpatient2	3.20E-01	8.44E-02	2.33E-01	2.18E-01	2.78E-01	1.70E-01	2.45E-01
Syntheticpatient3	1.58E-01	3.38E-01	3.11E-01	1.80E-01	4.65E-02	7.40E-02	2.45E-01
Syntheticpatient4	3.30E-01	3.88E-01	1.41E-02	2.94E-01	1.13E-01	8.80E-02	4.29E-01
Syntheticpatient5	2.52E-01	3.16E-01	1.67E-01	2.36E-01	8.36E-02	1.37E-01	3.55E-01
Syntheticpatient6	1.76E-01	1.53E-01	1.91E-01	1.31E-01	2.13E-01	2.99E-01	2.39E-01
Syntheticpatient7	1.88E-01	1.05E-01	2.97E-01	3.75E-01	2.25E-01	8.86E-02	2.06E-01
Syntheticpatient8	3.43E-01	1.87E-01	1.50E-01	1.49E-01	2.29E-01	1.16E-01	2.28E-01
Syntheticpatient9	1.22E-01	2.07E-01	3.97E-01	5.89E-02	3.58E-01	1.68E-01	2.74E-01
