MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
0:homdel:0-100kb	3.5105907467894436e-06	3.7225153764666176e-06	3.5682524148796803e-06	3.8110047908048725e-06	3.728201645799345e-06	4.0255589528896965e-06	3.854863236483652e-06
0:homdel:100kb-1Mb	3.510590747873937e-06	3.722515373283386e-06	3.568252417153417e-06	3.8110047926238622e-06	3.7282016453445977e-06	4.025558955163433e-06	3.854863236938399e-06
0:homdel:>1Mb	3.51059073710841e-06	3.7225153755571227e-06	3.568252417153417e-06	3.8110047944428515e-06	3.7282016476183344e-06	4.025558954708685e-06	3.854863236028905e-06
1:LOH:0-100kb	0.03985024835064541	0.002384347174339455	0.004908181102602878	0.019015590257349047	0.021334015253592853	0.10482134828633922	0.04488061473204388
1:LOH:100kb-1Mb	3.510590740753272e-06	3.7225153728286386e-06	3.5682524194271537e-06	3.8110047926238622e-06	3.7282016476183344e-06	4.025558951980202e-06	3.8548632342099155e-06
1:LOH:1Mb-10Mb	0.04906187052461289	0.005638444881678233	0.038998180954925986	0.029400869603863	0.29685875649792076	0.019439398599942773	0.015091029798884334
1:LOH:10Mb-40Mb	0.05338382131473189	0.0643095806561104	0.46971986754238604	0.11033473377333539	0.12225494649813787	0.0691574315534602	0.0815477374075449
1:LOH:>40Mb	0.05351916266765122	0.47746154966950416	0.08949893181115268	0.04527884407494214	0.045702058509163195	0.06540444936284973	0.159650995585657
2:LOH:0-100kb	3.5105907152517545e-06	3.7225153728286386e-06	3.5682524194271537e-06	3.8110047967165882e-06	3.72820165353005e-06	4.025558951980202e-06	3.854863235574158e-06
2:LOH:100kb-1Mb	3.5105907403958915e-06	3.7225153737381334e-06	3.568252417153417e-06	3.8110047953523464e-06	3.7282016580775234e-06	4.025558951525454e-06	3.854863234664663e-06
2:LOH:1Mb-10Mb	3.510590732873409e-06	3.7225153737381334e-06	3.5682524189724063e-06	3.8110047935333567e-06	3.728201647163587e-06	4.0255589537991905e-06	3.854863237393147e-06
2:LOH:10Mb-40Mb	3.51059072891477e-06	3.7225153755571227e-06	3.5682524189724063e-06	3.8110047926238622e-06	3.7282016530753026e-06	4.0255589528896965e-06	3.854863238757389e-06
2:LOH:>40Mb	3.510590744755793e-06	3.722515374647628e-06	3.5682524166986696e-06	3.8110047935333567e-06	3.7282016503468185e-06	4.025558955163433e-06	3.854863239666884e-06
3-4:LOH:0-100kb	3.5105907423197134e-06	3.7225153755571227e-06	3.568252417153417e-06	3.811004794897599e-06	3.7282016455719714e-06	4.02555895561818e-06	3.854863236483652e-06
3-4:LOH:100kb-1Mb	3.5105907451969954e-06	3.722515374647628e-06	3.568252416243922e-06	3.8110047944428515e-06	3.728201656258534e-06	4.025558952434949e-06	3.854863232845673e-06
3-4:LOH:1Mb-10Mb	3.5105907591717613e-06	3.7225153737381334e-06	3.5682524157891747e-06	3.8110047926238622e-06	3.7282016494373236e-06	4.025558955163433e-06	3.854863237847894e-06
3-4:LOH:10Mb-40Mb	3.5105907427510353e-06	3.7225153737381334e-06	3.5682524157891747e-06	3.8110047944428515e-06	3.728201657622776e-06	4.025558952434949e-06	3.854863233755168e-06
3-4:LOH:>40Mb	3.5105907534382643e-06	3.722515374192881e-06	3.568252416243922e-06	3.8110047917143674e-06	3.7282016480730818e-06	4.0255589528896965e-06	3.854863236938399e-06
5-8:LOH:0-100kb	3.510590724181639e-06	3.7225153751023753e-06	3.5682524194271537e-06	3.811004795807094e-06	3.7282016448898502e-06	4.025558955163433e-06	3.854863238757389e-06
5-8:LOH:100kb-1Mb	3.510590752362236e-06	3.7225153737381334e-06	3.568252413515438e-06	3.8110047926238622e-06	3.7282016544395445e-06	4.0255589528896965e-06	3.854863236938399e-06
5-8:LOH:1Mb-10Mb	3.5105907431820794e-06	3.722515374192881e-06	3.5682524176081644e-06	3.8110047926238622e-06	3.7282016512563133e-06	4.0255589528896965e-06	3.85486323511941e-06
5-8:LOH:10Mb-40Mb	3.5105907515438073e-06	3.722515374647628e-06	3.568252414424933e-06	3.8110047908048725e-06	3.7282016517110608e-06	4.0255589537991905e-06	3.854863236483652e-06
5-8:LOH:>40Mb	3.5105907350907184e-06	3.722515374647628e-06	3.5682524194271537e-06	3.811004788531136e-06	3.728201647163587e-06	4.025558954708685e-06	3.85486323511941e-06
9+:LOH:0-100kb	3.5105907351334342e-06	3.722515373283386e-06	3.568252419881901e-06	3.8110047935333567e-06	3.728201648527829e-06	4.025558951980202e-06	3.854863234664663e-06
9+:LOH:100kb-1Mb	3.5105907441821407e-06	3.722515374647628e-06	3.5682524166986696e-06	3.8110047917143674e-06	3.7282016521658078e-06	4.0255589528896965e-06	3.854863238757389e-06
9+:LOH:1Mb-10Mb	3.510590745478659e-06	3.722515374647628e-06	3.568252414424933e-06	3.811004796261841e-06	3.7282016530753026e-06	4.025558951980202e-06	3.8548632342099155e-06
9+:LOH:10Mb-40Mb	3.5105907385497294e-06	3.7225153728286386e-06	3.5682524166986696e-06	3.8110047953523464e-06	3.7282016489825766e-06	4.025558954708685e-06	3.854863235574158e-06
9+:LOH:>40Mb	3.510590751768461e-06	3.72251537601187e-06	3.5682524157891747e-06	3.8110047935333567e-06	3.7282016494373236e-06	4.025558955163433e-06	3.854863236938399e-06
2:het:0-100kb	0.0006377559976843734	0.001244928432580766	0.014210687721867789	3.019395069154659e-06	0.010972357591463226	0.0011973724815684996	0.003121197545822241
2:het:100kb-1Mb	3.5105907444643593e-06	3.722515374192881e-06	3.568252418517659e-06	3.811004794897599e-06	3.7282016533026763e-06	4.025558954708685e-06	3.854863236938399e-06
2:het:1Mb-10Mb	0.02339516874046326	0.025632249191400017	0.022502510757263908	0.09405797433124437	0.0017767523507710773	0.02535798444453425	0.030037176779377533
2:het:10Mb-40Mb	0.030610266900531046	0.030563306017204517	0.053376195998029854	0.03950217507828441	0.044304302966430155	0.3412651232855132	0.04764716201433022
2:het:>40Mb	0.03823333554861702	0.05809819553107313	0.07736005194258957	0.04564932947629693	0.12620138554442456	0.08347934927156218	0.13765378663357042
3-4:het:0-100kb	0.03549870435401313	0.02038670717960194	0.03490737291063929	0.06652503660929932	0.011423212104785101	0.019369862522996804	0.019057826671081756
3-4:het:100kb-1Mb	3.510590744315617e-06	3.722515372373891e-06	3.5682524180629114e-06	3.811004793988104e-06	3.7282016476183344e-06	4.025558951980202e-06	3.854863233300421e-06
3-4:het:1Mb-10Mb	0.024719246212467866	0.027250714191496526	0.049515551248604454	0.03239235689581496	0.01952334538949043	0.10330008136204791	0.06405911993489337
3-4:het:10Mb-40Mb	0.1163694310398174	0.10909110725803041	0.057633316990908505	0.3919759065657854	0.07565093181466244	0.0746885087236338	0.16271508863640832
3-4:het:>40Mb	0.5345946063250392	0.17780485921443934	0.08724071413442219	0.1257269638494629	0.2238637204572151	0.09237417808759252	0.23439949692717915
5-8:het:0-100kb	3.5105905695804186e-06	3.7225153714643967e-06	3.5682524417097738e-06	3.8110048108137563e-06	3.728201642161366e-06	4.025558956072928e-06	3.854863241031126e-06
5-8:het:100kb-1Mb	3.5105907226476163e-06	3.722515372373891e-06	3.5682524217008904e-06	3.8110047971713357e-06	3.72820165353005e-06	4.025558951980202e-06	3.854863234664663e-06
5-8:het:1Mb-10Mb	3.5105907400125867e-06	3.7225153728286386e-06	3.568252418517659e-06	3.8110047953523464e-06	3.72820164920995e-06	4.025558954708685e-06	3.854863234664663e-06
5-8:het:10Mb-40Mb	3.5105907431166317e-06	3.722515374647628e-06	3.5682524157891747e-06	3.8110047935333567e-06	3.7282016530753026e-06	4.0255589528896965e-06	3.854863237847894e-06
5-8:het:>40Mb	3.5105907486319143e-06	3.722515374647628e-06	3.568252416243922e-06	3.8110047908048725e-06	3.7282016448898502e-06	4.025558955163433e-06	3.854863239666884e-06
9+:het:0-100kb	3.510590739866648e-06	3.7225153755571227e-06	3.5682524148796803e-06	3.8110047944428515e-06	3.72820165353005e-06	4.025558951980202e-06	3.854863237847894e-06
9+:het:100kb-1Mb	3.5105907294512852e-06	3.722515374647628e-06	3.568252421246143e-06	3.8110047971713357e-06	3.728201649892071e-06	4.025558954253938e-06	3.854863231936178e-06
9+:het:1Mb-10Mb	3.510590742291042e-06	3.722515373283386e-06	3.5682524189724063e-06	3.8110047935333567e-06	3.7282016476183344e-06	4.025558951980202e-06	3.8548632342099155e-06
9+:het:10Mb-40Mb	3.510590749181225e-06	3.7225153751023753e-06	3.5682524166986696e-06	3.8110047894406307e-06	3.7282016480730818e-06	4.0255589537991905e-06	3.854863235574158e-06
9+:het:>40Mb	3.5105907128813175e-06	3.722515373283386e-06	3.568252419881901e-06	3.8110047971713357e-06	3.728201652620555e-06	4.025558954253938e-06	3.854863235574158e-06
