MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
0:homdel:0-100kb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
0:homdel:100kb-1Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
0:homdel:>1Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
1:LOH:0-100kb	3.56E-03	1.08E-03	1.37E-03	2.94E-03	2.36E-03	5.17E-03	4.56E-03
1:LOH:100kb-1Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
1:LOH:1Mb-10Mb	3.52E-03	1.26E-03	3.41E-03	2.69E-03	7.76E-03	2.53E-03	1.84E-03
1:LOH:10Mb-40Mb	3.71E-03	4.91E-03	8.22E-03	5.97E-03	5.74E-03	4.05E-03	5.27E-03
1:LOH:>40Mb	3.73E-03	6.65E-03	5.31E-03	3.75E-03	3.27E-03	3.86E-03	5.93E-03
2:LOH:0-100kb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
2:LOH:100kb-1Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
2:LOH:1Mb-10Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
2:LOH:10Mb-40Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
2:LOH:>40Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
3-4:LOH:0-100kb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
3-4:LOH:100kb-1Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
3-4:LOH:1Mb-10Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
3-4:LOH:10Mb-40Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
3-4:LOH:>40Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
5-8:LOH:0-100kb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
5-8:LOH:100kb-1Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
5-8:LOH:1Mb-10Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
5-8:LOH:10Mb-40Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
5-8:LOH:>40Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
9+:LOH:0-100kb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
9+:LOH:100kb-1Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
9+:LOH:1Mb-10Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
9+:LOH:10Mb-40Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
9+:LOH:>40Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
2:het:0-100kb	3.96E-04	4.44E-04	1.30E-03	1.98E-07	1.20E-03	3.67E-04	6.48E-04
2:het:100kb-1Mb	1.37E-08	1.13E-08	1.39E-08	1.39E-08	1.33E-08	1.32E-08	1.54E-08
