Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
Syntheticpatient1	2.58E-01	2.95E-01	1.19E-01	3.48E-01	1.03E-01	1.44E-01	9.04E-02	2.11E-01
Syntheticpatient10	2.45E-01	1.65E-01	1.52E-01	6.30E-02	1.18E-01	2.41E-01	3.19E-01	3.16E-01
Syntheticpatient2	2.66E-01	3.19E-01	6.72E-02	2.52E-01	2.33E-01	1.89E-01	1.64E-01	1.70E-01
Syntheticpatient3	2.23E-01	1.58E-01	3.52E-01	6.50E-02	3.07E-01	1.65E-01	7.52E-02	1.68E-01
Syntheticpatient4	4.35E-01	2.66E-01	3.58E-01	1.34E-01	2.83E-03	2.74E-01	5.68E-02	1.91E-01
Syntheticpatient5	3.32E-01	2.18E-01	3.00E-01	6.14E-02	1.15E-01	2.09E-01	1.34E-01	3.08E-01
Syntheticpatient6	1.60E-01	1.75E-01	1.47E-01	1.88E-01	1.55E-01	1.10E-01	2.94E-01	2.26E-01
Syntheticpatient7	2.02E-01	1.59E-01	6.77E-02	2.18E-01	3.02E-01	3.63E-01	7.19E-02	1.02E-01
Syntheticpatient8	2.84E-01	3.46E-01	1.56E-01	2.12E-01	1.34E-01	1.53E-01	1.01E-01	1.41E-01
Syntheticpatient9	8.52E-02	1.34E-01	1.82E-01	3.38E-01	3.76E-01	4.24E-02	1.41E-01	3.77E-01
