MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
0:homdel:0-100kb	3.710493667767878e-06	3.4646741742108135e-06	3.7233181565170524e-06	3.68701389220405e-06	3.5161972650712414e-06	3.85858341974199e-06	4.020027137812577e-06	3.99430771904008e-06
0:homdel:100kb-1Mb	3.7104936454852576e-06	3.4646741755750554e-06	3.723318173797452e-06	3.6870139110760646e-06	3.5161972591595257e-06	3.858583407236438e-06	4.020027144179039e-06	3.9943077231328065e-06
0:homdel:>1Mb	3.7104936177456693e-06	3.4646741746655605e-06	3.723318199718051e-06	3.687013933358685e-06	3.51619726188801e-06	3.858583388591797e-06	4.020027139176818e-06	3.994307740413205e-06
1:LOH:0-100kb	0.02974318051375102	0.03910036934409902	0.0017641775038457958	0.019892990345955427	0.004737535929680003	0.01848991284996052	0.08927498943201802	0.0638660296808607
1:LOH:100kb-1Mb	3.7104936714058566e-06	3.464674173756066e-06	3.723318159700284e-06	3.687013894023039e-06	3.5161972614332625e-06	3.8585834183777475e-06	4.020027144179039e-06	3.994307717221091e-06
1:LOH:1Mb-10Mb	0.01833265197012801	0.04370876148827057	0.004559584047325023	0.32859842559736324	0.03312128208768417	0.03656956239415571	0.02576677340709966	0.029980122597140797
1:LOH:10Mb-40Mb	0.03467323234616268	0.07994470133409569	0.0791937497872501	0.10878181282367617	0.4966873197853565	0.10988105921822146	0.08331217511054345	0.1148258579605566
1:LOH:>40Mb	0.1341468562926557	0.0533289622790109	0.49910914942622187	0.04453923262832356	0.07854102254449374	0.051983558856611704	0.0707131176094145	0.13976783423855715
2:LOH:0-100kb	3.7104936009200175e-06	3.464674173756066e-06	3.7233182060845137e-06	3.687013938133532e-06	3.516197263706999e-06	3.858583386090686e-06	4.020027144179039e-06	3.99430774314169e-06
2:LOH:100kb-1Mb	3.710493610924459e-06	3.464674177848792e-06	3.7233182042655245e-06	3.687013934495553e-06	3.5161972614332625e-06	3.85858338881917e-06	4.020027134629345e-06	3.994307733591996e-06
