MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
0:homdel:0-100kb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
0:homdel:100kb-1Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
0:homdel:>1Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
1:LOH:0-100kb	3.51E-03	3.66E-03	8.37E-04	2.39E-03	1.62E-03	3.00E-03	5.20E-03	5.34E-03
1:LOH:100kb-1Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
1:LOH:1Mb-10Mb	2.11E-03	3.23E-03	1.26E-03	7.32E-03	2.92E-03	3.28E-03	2.88E-03	2.95E-03
1:LOH:10Mb-40Mb	3.28E-03	4.62E-03	5.50E-03	5.55E-03	8.25E-03	6.04E-03	4.45E-03	5.90E-03
1:LOH:>40Mb	6.28E-03	3.96E-03	7.42E-03	3.39E-03	5.20E-03	4.28E-03	4.33E-03	6.18E-03
2:LOH:0-100kb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
2:LOH:100kb-1Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
2:LOH:1Mb-10Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
2:LOH:10Mb-40Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
2:LOH:>40Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
3-4:LOH:0-100kb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
3-4:LOH:100kb-1Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
3-4:LOH:1Mb-10Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
3-4:LOH:10Mb-40Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
3-4:LOH:>40Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
5-8:LOH:0-100kb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
5-8:LOH:100kb-1Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
5-8:LOH:1Mb-10Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
5-8:LOH:10Mb-40Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
5-8:LOH:>40Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
9+:LOH:0-100kb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
9+:LOH:100kb-1Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
9+:LOH:1Mb-10Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
9+:LOH:10Mb-40Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
9+:LOH:>40Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
2:het:0-100kb	1.01E-07	1.86E-04	3.11E-04	1.10E-03	1.42E-03	1.93E-04	4.62E-04	1.34E-03
2:het:100kb-1Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
2:het:1Mb-10Mb	3.77E-03	2.20E-03	3.27E-03	1.16E-03	2.63E-03	5.78E-03	2.25E-03	5.22E-03
2:het:10Mb-40Mb	2.90E-03	2.99E-03	2.36E-03	3.49E-03	3.12E-03	3.12E-03	7.25E-03	4.05E-03
2:het:>40Mb	3.41E-03	2.79E-03	3.32E-03	5.28E-03	3.75E-03	3.47E-03	3.98E-03	8.50E-03
3-4:het:0-100kb	3.36E-03	3.03E-03	2.77E-03	2.60E-03	3.64E-03	4.22E-03	2.90E-03	1.68E-03
3-4:het:100kb-1Mb	1.77E-08	1.49E-08	1.63E-08	1.69E-08	1.70E-08	1.91E-08	1.83E-08	2.19E-08
3-4:het:1Mb-10Mb	4.03E-03	3.25E-03	3.23E-03	2.37E-03	4.12E-03	3.28E-03	6.03E-03	5.54E-03
