Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
Syntheticpatient1	2.54E-01	1.07E-01	2.69E-01	1.07E-01	1.64E-01	3.32E-01	1.12E-01	8.72E-02	1.57E-01
Syntheticpatient10	1.59E-01	1.28E-01	1.13E-01	9.74E-02	1.96E-01	1.98E-02	1.16E-01	2.66E-01	3.32E-01
Syntheticpatient2	2.73E-01	5.68E-02	2.98E-01	2.27E-01	1.70E-01	2.13E-01	1.74E-01	1.50E-01	1.94E-01
Syntheticpatient3	2.25E-01	3.29E-01	1.52E-01	2.64E-01	1.45E-01	4.54E-02	3.14E-01	1.05E-01	1.26E-01
Syntheticpatient4	3.97E-01	3.44E-01	2.26E-01	1.23E-02	2.64E-01	9.87E-02	1.08E-01	1.08E-01	1.82E-01
Syntheticpatient5	3.32E-01	2.91E-01	1.93E-01	1.11E-01	2.20E-01	3.44E-02	2.64E-01	1.35E-01	1.55E-01
Syntheticpatient6	1.21E-01	1.27E-01	1.47E-01	1.37E-01	9.56E-02	1.68E-01	2.25E-01	2.87E-01	1.71E-01
Syntheticpatient7	2.07E-01	6.24E-02	1.41E-01	2.92E-01	3.42E-01	1.66E-01	1.96E-01	1.09E-01	1.67E-01
Syntheticpatient8	2.85E-01	1.35E-01	3.44E-01	1.35E-01	1.22E-01	2.01E-01	1.22E-01	6.56E-02	2.01E-01
Syntheticpatient9	1.21E-01	1.83E-01	1.42E-01	3.47E-01	4.69E-02	2.77E-01	4.01E-01	1.83E-01	7.28E-02
