MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
0:homdel:0-100kb	3.7179323628180325e-06	3.7097420608205313e-06	3.4158525061902657e-06	3.4339049505321406e-06	4.001880896893795e-06	3.769571075679323e-06	3.8574868829002185e-06	3.998038183869057e-06	3.881661244898638e-06
0:homdel:100kb-1Mb	3.718053362023355e-06	3.7097535874437427e-06	3.4157637556244855e-06	3.433980768677625e-06	4.001826361864858e-06	3.7698690362901744e-06	3.857347932623156e-06	3.99788514932024e-06	3.881657923509252e-06
0:homdel:>1Mb	3.718009609933404e-06	3.7097405424333375e-06	3.4158776675173188e-06	3.4339039620671642e-06	4.0019096096344245e-06	3.769532339873649e-06	3.857414871528242e-06	3.997883669550402e-06	3.881805482184752e-06
1:LOH:0-100kb	0.008841638121226444	0.0008829113893456026	0.023045108750296216	0.003558653493748209	0.0050209318105839005	0.015384967985538477	0.003436623027222906	0.049592972507416754	0.20212194370756006
1:LOH:100kb-1Mb	3.7181134087553856e-06	3.7097519295201664e-06	3.4158436725892995e-06	3.433870122668992e-06	4.001932062195124e-06	3.7706363376059927e-06	3.857194238015893e-06	3.997930247773173e-06	3.8817447361498834e-06
1:LOH:1Mb-10Mb	0.0239382407537989	0.003974127013674956	0.048356076264296104	0.03703139959068184	0.03328608892182291	0.3759712028309807	0.03400717875713973	0.032287607073567405	0.010396393790237336
1:LOH:10Mb-40Mb	0.03796640953747313	0.04713349711956404	0.07940326802472078	0.515750819504261	0.08800447389159796	0.0950766356035881	0.2135508493046548	0.07071747671106686	0.07213529762446683
1:LOH:>40Mb	0.1226219719902964	0.5374350592792034	0.049077273515029364	0.06282942618317573	0.05419903268987635	0.04059051901743647	0.16100685248761445	0.08269309333639649	0.08297792015860309
2:LOH:0-100kb	3.7181522363454177e-06	3.7097514525896714e-06	3.416063705168213e-06	3.4339869034831214e-06	4.001847090385979e-06	3.768715417848512e-06	3.857292740823581e-06	3.997843909073021e-06	3.882114970652939e-06
2:LOH:100kb-1Mb	3.7178215353463883e-06	3.709730877858419e-06	3.41578151438058e-06	3.4339569737730223e-06	4.0018119967797365e-06	3.7683389946323586e-06	3.857835902963735e-06	3.997885351757804e-06	3.881510541212663e-06
