MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
0:homdel:0-100kb	2.82E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
0:homdel:100kb-1Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
0:homdel:>1Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.92E-08	3.44E-08	3.50E-08	3.79E-08
1:LOH:0-100kb	1.45E-03	6.89E-04	2.26E-03	1.32E-03	1.25E-03	1.79E-03	1.01E-03	3.82E-03	7.93E-03
1:LOH:100kb-1Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
1:LOH:1Mb-10Mb	2.57E-03	1.26E-03	3.58E-03	3.51E-03	3.44E-03	8.64E-03	3.15E-03	3.13E-03	1.96E-03
1:LOH:10Mb-40Mb	3.77E-03	4.20E-03	4.99E-03	8.36E-03	5.60E-03	5.50E-03	6.94E-03	4.43E-03	4.48E-03
1:LOH:>40Mb	6.28E-03	8.28E-03	3.92E-03	4.69E-03	4.70E-03	3.30E-03	6.47E-03	5.04E-03	5.02E-03
2:LOH:0-100kb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.93E-08	3.44E-08	3.50E-08	3.80E-08
2:LOH:100kb-1Mb	2.82E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.92E-08	3.44E-08	3.50E-08	3.79E-08
2:LOH:1Mb-10Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	3.00E-08	3.44E-08	3.50E-08	3.79E-08
2:LOH:10Mb-40Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.92E-08	3.44E-08	3.50E-08	3.80E-08
2:LOH:>40Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.93E-08	3.44E-08	3.50E-08	3.79E-08
3-4:LOH:0-100kb	2.81E-08	2.48E-08	2.83E-08	3.14E-08	3.30E-08	2.87E-08	3.43E-08	3.49E-08	3.77E-08
3-4:LOH:100kb-1Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
3-4:LOH:1Mb-10Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.80E-08
3-4:LOH:10Mb-40Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
3-4:LOH:>40Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.92E-08	3.44E-08	3.50E-08	3.79E-08
5-8:LOH:0-100kb	2.82E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.90E-08	3.44E-08	3.50E-08	3.79E-08
5-8:LOH:100kb-1Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
5-8:LOH:1Mb-10Mb	2.82E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.90E-08	3.44E-08	3.50E-08	3.79E-08
5-8:LOH:10Mb-40Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
5-8:LOH:>40Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.93E-08	3.44E-08	3.50E-08	3.79E-08
9+:LOH:0-100kb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
9+:LOH:100kb-1Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.92E-08	3.44E-08	3.50E-08	3.79E-08
9+:LOH:1Mb-10Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.51E-08	3.80E-08
9+:LOH:10Mb-40Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
9+:LOH:>40Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
2:het:0-100kb	3.04E-04	5.09E-04	3.42E-04	1.35E-03	1.23E-07	1.23E-03	1.78E-03	6.56E-04	4.03E-04
2:het:100kb-1Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.80E-08
2:het:1Mb-10Mb	3.36E-03	2.82E-03	3.12E-03	3.54E-03	5.83E-03	8.81E-04	2.41E-03	1.74E-03	5.98E-03
2:het:10Mb-40Mb	2.38E-03	2.26E-03	2.47E-03	3.36E-03	2.95E-03	3.15E-03	3.47E-03	8.08E-03	5.32E-03
2:het:>40Mb	5.17E-03	3.94E-03	3.47E-03	3.66E-03	4.61E-03	6.09E-03	8.14E-03	6.08E-03	3.78E-03
3-4:het:0-100kb	3.83E-03	2.73E-03	3.45E-03	3.65E-03	4.83E-03	2.34E-03	3.03E-03	3.87E-03	3.06E-03
3-4:het:100kb-1Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
3-4:het:1Mb-10Mb	3.09E-03	2.78E-03	3.26E-03	3.37E-03	3.51E-03	1.54E-03	8.20E-03	5.50E-03	3.47E-03
3-4:het:10Mb-40Mb	6.35E-03	5.20E-03	3.59E-03	4.87E-03	7.72E-03	4.66E-03	4.77E-03	4.04E-03	6.14E-03
3-4:het:>40Mb	6.42E-03	6.29E-03	6.80E-03	5.51E-03	5.22E-03	8.12E-03	5.05E-03	4.92E-03	6.39E-03
5-8:het:0-100kb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
5-8:het:100kb-1Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
5-8:het:1Mb-10Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.92E-08	3.44E-08	3.50E-08	3.80E-08
5-8:het:10Mb-40Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.92E-08	3.44E-08	3.50E-08	3.80E-08
5-8:het:>40Mb	2.82E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.79E-08
9+:het:0-100kb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.91E-08	3.44E-08	3.50E-08	3.80E-08
9+:het:100kb-1Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.92E-08	3.44E-08	3.50E-08	3.79E-08
9+:het:1Mb-10Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.95E-08	3.44E-08	3.50E-08	3.80E-08
9+:het:10Mb-40Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.92E-08	3.44E-08	3.50E-08	3.79E-08
9+:het:>40Mb	2.83E-08	2.48E-08	2.84E-08	3.14E-08	3.30E-08	2.92E-08	3.44E-08	3.50E-08	3.80E-08
