MutationType	CNV48A
0:homdel:0-100kb	0.00000373
0:homdel:100kb-1Mb	0.00000373
0:homdel:>1Mb	0.00000373
1:LOH:0-100kb	0.02662527
1:LOH:100kb-1Mb	0.00000373
1:LOH:1Mb-10Mb	0.06291738
1:LOH:10Mb-40Mb	0.13489813
1:LOH:>40Mb	0.14553814
2:LOH:0-100kb	0.00000373
2:LOH:100kb-1Mb	0.00000373
2:LOH:1Mb-10Mb	0.00000373
2:LOH:10Mb-40Mb	0.00000373
2:LOH:>40Mb	0.00000373
3-4:LOH:0-100kb	0.00000373
3-4:LOH:100kb-1Mb	0.00000373
3-4:LOH:1Mb-10Mb	0.00000373
3-4:LOH:10Mb-40Mb	0.00000373
3-4:LOH:>40Mb	0.00000373
5-8:LOH:0-100kb	0.00000373
5-8:LOH:100kb-1Mb	0.00000373
5-8:LOH:1Mb-10Mb	0.00000373
5-8:LOH:10Mb-40Mb	0.00000373
5-8:LOH:>40Mb	0.00000373
9+:LOH:0-100kb	0.00000373
9+:LOH:100kb-1Mb	0.00000373
9+:LOH:1Mb-10Mb	0.00000373
9+:LOH:10Mb-40Mb	0.00000373
9+:LOH:>40Mb	0.00000373
2:het:0-100kb	0.00371936
2:het:100kb-1Mb	0.00000373
2:het:1Mb-10Mb	0.02572982
2:het:10Mb-40Mb	0.07137827
2:het:>40Mb	0.07904841
3-4:het:0-100kb	0.02569983
3-4:het:100kb-1Mb	0.00000373
3-4:het:1Mb-10Mb	0.04059252
3-4:het:10Mb-40Mb	0.14591108
3-4:het:>40Mb	0.23780749
5-8:het:0-100kb	0.00000373
5-8:het:100kb-1Mb	0.00000373
5-8:het:1Mb-10Mb	0.00000373
5-8:het:10Mb-40Mb	0.00000373
5-8:het:>40Mb	0.00000373
9+:het:0-100kb	0.00000373
9+:het:100kb-1Mb	0.00000373
9+:het:1Mb-10Mb	0.00000373
9+:het:10Mb-40Mb	0.00000373
9+:het:>40Mb	0.00000373
