Sample Names	MutationType	CN2	CN13
Syntheticpatient1	0:homdel:0-100kb	0.5762686926169003	0.42373130738309983
Syntheticpatient1	0:homdel:100kb-1Mb	0.22054953720421094	0.7794504627957891
Syntheticpatient1	0:homdel:>1Mb	0.22381754516841856	0.7761824548315813
Syntheticpatient1	1:LOH:0-100kb	0.5751570325897142	0.42484296741028593
Syntheticpatient1	1:LOH:100kb-1Mb	0.23000139091367608	0.7699986090863239
Syntheticpatient1	1:LOH:1Mb-10Mb	0.010738517081786449	0.9892614829182136
Syntheticpatient1	1:LOH:10Mb-40Mb	0.0042563979259072834	0.9957436020740928
Syntheticpatient1	1:LOH:>40Mb	0.0007854008196465747	0.9992145991803534
Syntheticpatient1	2:LOH:0-100kb	0.9835114412920771	0.016488558707922922
Syntheticpatient1	2:LOH:100kb-1Mb	0.47705080185308546	0.5229491981469145
Syntheticpatient1	2:LOH:1Mb-10Mb	0.53619208714574	0.4638079128542601
Syntheticpatient1	2:LOH:10Mb-40Mb	0.8573974049660935	0.14260259503390643
Syntheticpatient1	2:LOH:>40Mb	0.9990756817909512	0.0009243182090489469
Syntheticpatient1	3-4:LOH:0-100kb	0.8663676541010398	0.1336323458989602
Syntheticpatient1	3-4:LOH:100kb-1Mb	0.6973407492596512	0.3026592507403487
Syntheticpatient1	3-4:LOH:1Mb-10Mb	0.4992984510406985	0.5007015489593016
Syntheticpatient1	3-4:LOH:10Mb-40Mb	0.6561814480629751	0.343818551937025
Syntheticpatient1	3-4:LOH:>40Mb	0.8617209640716412	0.13827903592835888
Syntheticpatient1	5-8:LOH:0-100kb	0.43902946724213726	0.5609705327578627
Syntheticpatient1	5-8:LOH:100kb-1Mb	0.7903206615067773	0.20967933849322273
Syntheticpatient1	5-8:LOH:1Mb-10Mb	0.5010447102085563	0.49895528979144355
Syntheticpatient1	5-8:LOH:10Mb-40Mb	0.828397324080967	0.1716026759190331
Syntheticpatient1	5-8:LOH:>40Mb	0.8941911743852983	0.1058088256147018
Syntheticpatient1	9+:LOH:0-100kb	0.9409703296014201	0.059029670398579905
Syntheticpatient1	9+:LOH:100kb-1Mb	0.20932608910030948	0.7906739108996906
Syntheticpatient1	9+:LOH:1Mb-10Mb	0.40857088549804677	0.5914291145019532
Syntheticpatient1	9+:LOH:10Mb-40Mb	0.9987268168238539	0.0012731831761461257
Syntheticpatient1	9+:LOH:>40Mb	0.8765631802339738	0.12343681976602618
Syntheticpatient1	2:het:0-100kb	0.37702017653814685	0.6229798234618532
Syntheticpatient1	2:het:100kb-1Mb	0.21750563706082138	0.7824943629391786
Syntheticpatient1	2:het:1Mb-10Mb	0.012330577405846185	0.9876694225941538
Syntheticpatient1	2:het:10Mb-40Mb	0.007973504816001942	0.992026495183998
Syntheticpatient1	2:het:>40Mb	3.174562323549694e-05	0.9999682543767645
Syntheticpatient1	3-4:het:0-100kb	0.8638135678519799	0.13618643214802018
Syntheticpatient1	3-4:het:100kb-1Mb	0.5165418874524775	0.4834581125475224
Syntheticpatient1	3-4:het:1Mb-10Mb	0.7920194709293852	0.20798052907061487
Syntheticpatient1	3-4:het:10Mb-40Mb	0.9352882829170468	0.06471171708295312
Syntheticpatient1	3-4:het:>40Mb	0.9823089287995335	0.017691071200466608
Syntheticpatient1	5-8:het:0-100kb	0.704765371793067	0.295234628206933
Syntheticpatient1	5-8:het:100kb-1Mb	0.9461116189942547	0.05388838100574529
Syntheticpatient1	5-8:het:1Mb-10Mb	0.9999780030037279	2.199699627223317e-05
Syntheticpatient1	5-8:het:10Mb-40Mb	0.9942267263841079	0.005773273615892198
Syntheticpatient1	5-8:het:>40Mb	0.9988691116672409	0.001130888332759083
Syntheticpatient1	9+:het:0-100kb	0.601890935493408	0.398109064506592
Syntheticpatient1	9+:het:100kb-1Mb	0.8982881856297615	0.10171181437023846
Syntheticpatient1	9+:het:1Mb-10Mb	0.6552658472083898	0.34473415279161024
Syntheticpatient1	9+:het:10Mb-40Mb	0.9837823682484957	0.016217631751504227
Syntheticpatient1	9+:het:>40Mb	0.9670075305227159	0.0329924694772841
Syntheticpatient10	0:homdel:0-100kb	0.43933964581474	0.56066035418526
Syntheticpatient10	0:homdel:100kb-1Mb	0.14018144159944815	0.8598185584005519
Syntheticpatient10	0:homdel:>1Mb	0.14247626782216313	0.857523732177837
Syntheticpatient10	1:LOH:0-100kb	0.438218954496168	0.5617810455038319
Syntheticpatient10	1:LOH:100kb-1Mb	0.14683789625817228	0.8531621037418278
Syntheticpatient10	1:LOH:1Mb-10Mb	0.006215719543954827	0.9937842804560453
Syntheticpatient10	1:LOH:10Mb-40Mb	0.002456928005073129	0.997543071994927
Syntheticpatient10	1:LOH:>40Mb	0.0004526911552077258	0.9995473088447924
Syntheticpatient10	2:LOH:0-100kb	0.9717263939791061	0.028273606020893856
Syntheticpatient10	2:LOH:100kb-1Mb	0.3445284294137144	0.6554715705862855
Syntheticpatient10	2:LOH:1Mb-10Mb	0.3998008419324268	0.6001991580675732
