Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.877	22.289	85.727%	5.75	51.637%	0.69337	0.867
Syntheticpatient10	25	0.763	21.04	84.16%	5.748	64.67%	0.92091	0.707
Syntheticpatient2	28	0.894	24.118	86.136%	5.657	48.156%	0.7018	0.885
Syntheticpatient3	28	0.87	24.098	86.064%	6.963	55.749%	0.65992	0.87
Syntheticpatient4	27	0.853	25.642	94.97%	7.128	56.888%	0.77506	0.847
Syntheticpatient5	25	0.86	21.671	86.684%	5.919	55.195%	0.64737	0.852
Syntheticpatient6	26	0.813	19.907	76.565%	5.28	58.308%	0.74485	0.769
Syntheticpatient7	27	0.724	23.926	88.615%	7.471	69.069%	0.88683	0.674
Syntheticpatient8	29	0.945	21.295	73.431%	5.707	42.42%	0.57826	0.951
Syntheticpatient9	27	0.872	19.544	72.385%	5.487	51.617%	0.54555	0.857
