MutationType	CNV48A
0:homdel:0-100kb	3.57090800162041e-06
0:homdel:100kb-1Mb	3.570908011170104e-06
0:homdel:>1Mb	3.57090800162041e-06
1:LOH:0-100kb	3.5709080088963673e-06
1:LOH:100kb-1Mb	3.570908006167883e-06
1:LOH:1Mb-10Mb	3.5709080025299047e-06
1:LOH:10Mb-40Mb	0.21075496675575595
1:LOH:>40Mb	0.3182392318844795
2:LOH:0-100kb	3.5709080020751572e-06
2:LOH:100kb-1Mb	3.5709080002561675e-06
2:LOH:1Mb-10Mb	3.570907999346673e-06
2:LOH:10Mb-40Mb	3.5709080011656624e-06
2:LOH:>40Mb	3.570908004348894e-06
3-4:LOH:0-100kb	3.570908004348894e-06
3-4:LOH:100kb-1Mb	3.5709080002561675e-06
3-4:LOH:1Mb-10Mb	3.570907996618189e-06
3-4:LOH:10Mb-40Mb	3.5709080038941465e-06
3-4:LOH:>40Mb	3.5709080038941465e-06
5-8:LOH:0-100kb	3.5709080025299047e-06
5-8:LOH:100kb-1Mb	3.570907997982431e-06
5-8:LOH:1Mb-10Mb	3.5709080079868725e-06
5-8:LOH:10Mb-40Mb	3.5709080052583888e-06
5-8:LOH:>40Mb	3.5709080052583888e-06
9+:LOH:0-100kb	3.5709080025299047e-06
9+:LOH:100kb-1Mb	3.5709080038941465e-06
9+:LOH:1Mb-10Mb	3.5709080075321255e-06
9+:LOH:10Mb-40Mb	3.5709080052583888e-06
9+:LOH:>40Mb	3.5709079988919257e-06
2:het:0-100kb	3.5709080048036414e-06
2:het:100kb-1Mb	3.5709080029846517e-06
2:het:1Mb-10Mb	0.03821002995989511
2:het:10Mb-40Mb	0.037924224682230945
2:het:>40Mb	0.03592472333129627
3-4:het:0-100kb	0.03706733193151831
3-4:het:100kb-1Mb	3.5709080020751572e-06
3-4:het:1Mb-10Mb	0.03721022561114023
3-4:het:10Mb-40Mb	0.10769866387293724
3-4:het:>40Mb	0.1768313366373354
5-8:het:0-100kb	3.5709080057131358e-06
5-8:het:100kb-1Mb	3.5709080057131358e-06
5-8:het:1Mb-10Mb	3.570908003439399e-06
5-8:het:10Mb-40Mb	3.5709080025299047e-06
5-8:het:>40Mb	3.5709080066226306e-06
9+:het:0-100kb	3.570908006167883e-06
9+:het:100kb-1Mb	3.570908006167883e-06
9+:het:1Mb-10Mb	3.5709079998014205e-06
9+:het:10Mb-40Mb	3.5709080038941465e-06
9+:het:>40Mb	3.5709080025299047e-06
