Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I	SV32J
Syntheticpatient1	9.45E-02	1.47E-01	2.00E-01	1.28E-01	1.21E-01	5.18E-02	1.33E-01	1.04E-01	1.25E-01	1.06E-01
Syntheticpatient10	9.90E-02	1.20E-01	1.16E-01	1.18E-01	1.22E-01	9.57E-02	1.45E-01	1.92E-01	1.54E-01	1.63E-01
Syntheticpatient2	1.81E-01	6.42E-02	1.24E-01	1.21E-01	2.98E-02	1.25E-01	3.78E-02	3.76E-02	1.72E-01	1.52E-01
Syntheticpatient3	1.52E-01	1.02E-01	1.08E-01	1.08E-01	1.71E-01	9.54E-02	3.25E-02	7.49E-02	1.48E-01	1.30E-01
Syntheticpatient4	1.10E-01	1.91E-01	1.21E-01	2.29E-01	1.14E-01	1.02E-01	1.35E-01	1.24E-01	1.32E-01	1.73E-01
Syntheticpatient5	1.87E-01	5.76E-02	1.67E-01	6.37E-02	1.80E-01	9.21E-02	1.38E-01	4.62E-02	1.99E-01	1.04E-01
Syntheticpatient6	1.52E-01	1.04E-01	1.55E-02	1.64E-01	1.30E-01	2.32E-01	5.30E-02	1.63E-01	1.40E-01	2.23E-01
Syntheticpatient7	8.01E-02	1.87E-01	1.42E-02	1.71E-01	1.40E-02	4.77E-02	1.28E-01	1.97E-01	7.63E-02	1.38E-01
Syntheticpatient8	1.71E-01	8.32E-02	2.72E-02	8.48E-02	0.00E+00	1.09E-01	2.12E-01	1.29E-01	1.87E-01	1.36E-01
Syntheticpatient9	2.02E-01	5.59E-02	1.17E-01	9.07E-02	0.00E+00	2.51E-01	3.21E-02	4.49E-02	1.43E-01	1.45E-01
