MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I	SV32J
clustered_del_1-10Kb	5.828176117024587e-06	5.710999847807674e-06	5.643781201255351e-06	5.425324401477815e-06	4.649833477127704e-06	5.366023407468475e-06	5.134428985352922e-06	5.713114148413351e-06	5.772017403874251e-06	5.841139560861939e-06
clustered_del_10-100Kb	5.84534646829012e-06	5.732079821895036e-06	5.6255181147628e-06	5.436501859689951e-06	4.6597559987005425e-06	5.353184983883165e-06	5.1341786420328676e-06	5.680519956582995e-06	5.764706788422879e-06	5.838275459604957e-06
clustered_del_100Kb-1Mb	5.845036923747063e-06	5.715785962982308e-06	5.6270515184892e-06	5.428246118324765e-06	4.642199325876477e-06	5.36230582887294e-06	5.160709706169614e-06	5.683936682738113e-06	5.773476009526889e-06	5.8393381633676095e-06
clustered_del_1Mb-10Mb	5.843021648420099e-06	5.696601870755459e-06	5.622171930494302e-06	5.4220442271517734e-06	4.636864625334565e-06	5.3549901224898145e-06	5.1755507577644e-06	5.682501554601677e-06	5.7877448214578284e-06	5.847995852244984e-06
clustered_del_>10Mb	5.8383992112678975e-06	5.705572314955166e-06	5.624068904874015e-06	5.426432145275377e-06	4.63759851624951e-06	5.368516037025869e-06	5.17061017281642e-06	5.694800889763022e-06	5.778719036502475e-06	5.843145679151335e-06
clustered_tds_1-10Kb	5.835943346043138e-06	5.714447180711771e-06	5.6347332919926694e-06	5.428780311378248e-06	4.652034596917005e-06	5.371658511487595e-06	5.122856785145418e-06	5.71416896580403e-06	5.764707768580856e-06	5.8366301909794595e-06
clustered_tds_10-100Kb	5.827560848467693e-06	5.713970624641372e-06	5.648234039903895e-06	5.432763378779195e-06	4.6382674489988956e-06	5.370154578273517e-06	5.155847292497756e-06	5.7159217331791565e-06	5.772975003547968e-06	5.82829286969244e-06
clustered_tds_100Kb-1Mb	5.825663434892618e-06	5.712591076677497e-06	5.64945365703936e-06	5.422437032412885e-06	4.643761308705615e-06	5.375219167493126e-06	5.155128579030527e-06	5.713006303135315e-06	5.770539792429723e-06	5.843623544016619e-06
clustered_tds_1Mb-10Mb	5.829473667674198e-06	5.7036198063088875e-06	5.642667362217278e-06	5.437913238626583e-06	4.639976049005411e-06	5.376185129016676e-06	5.162097305024751e-06	5.666251431714911e-06	5.776030704401927e-06	5.838128286850288e-06
clustered_tds_>10Mb	5.833192568324262e-06	5.708289143140947e-06	5.634914196815751e-06	5.430473902998844e-06	4.644451991047163e-06	5.369897583886609e-06	5.151307299335805e-06	5.688322218880476e-06	5.776305823422043e-06	5.839730251545886e-06
clustered_inv_1-10Kb	5.8316161212007745e-06	5.721482725093067e-06	5.635596160730811e-06	5.414567179680885e-06	4.650312384468033e-06	5.3494626959880056e-06	5.160217662193451e-06	5.705428525744376e-06	5.773959081348368e-06	5.842161725389193e-06
clustered_inv_10-100Kb	5.8490581641618535e-06	5.719852728081838e-06	5.623805716590826e-06	5.4239867257532496e-06	4.63743571489836e-06	5.357594248874362e-06	5.158666732386474e-06	5.69111175261019e-06	5.774120280647466e-06	5.8320963018052645e-06
clustered_inv_100Kb-1Mb	5.8326977662340875e-06	5.709749544356052e-06	5.652968190881928e-06	5.425711553473021e-06	4.636273026339137e-06	5.37926937486591e-06	5.156389056369607e-06	5.713523250424391e-06	5.7753265623044855e-06	5.835785863480303e-06
clustered_inv_1Mb-10Mb	5.829367244075022e-06	5.70767161504339e-06	5.62803579482379e-06	5.425193466071806e-06	4.63750316654404e-06	5.386963595760125e-06	5.150109170350111e-06	5.701981100549753e-06	5.777545351668743e-06	5.841745487680567e-06
clustered_inv_>10Mb	5.8402255376885795e-06	5.706113189837858e-06	5.634523584460073e-06	5.431904250761808e-06	4.642162537886678e-06	5.360950114179458e-06	5.133290485448852e-06	5.705261054433119e-06	5.7682044687274385e-06	5.840909895304014e-06
clustered_trans	5.834278828312742e-06	5.708903542150796e-06	5.629709167531256e-06	5.425633884826803e-06	4.647370027505995e-06	5.36323293572338e-06	5.1714253963137185e-06	5.687683862272512e-06	5.77731258716712e-06	5.842182018279089e-06
non-clustered_del_1-10Kb	0.029356628422064258	0.02921695440007511	0.014175367987537553	0.11234925711702022	0.011618848026948249	0.011832348019364192	0.009037866922438069	0.019874318984871676	0.017579022363696767	0.05096124515230891
non-clustered_del_10-100Kb	0.004438785564337991	0.019405024568637023	0.022646318633326643	0.020965725020656707	0.3849069426537235	0.007664128813464234	0.01371983596802532	0.014981251156229919	0.027055110973829795	0.015992816739987384
non-clustered_del_100Kb-1Mb	0.002821888522327084	0.006868102888093347	0.0030225918302041643	0.007988308239428202	0.006080231335186395	0.014237165058252843	0.029087492980478278	0.1781600911385372	0.0387287703834376	0.03511122389026745
non-clustered_del_1Mb-10Mb	0.006012373413344085	0.03196606450007306	0.011510575332526371	0.013425378336125584	0.006234065599323275	0.001965645486151482	0.321784145389767	0.041527031286578475	0.02843725841601321	0.007111294201185615
non-clustered_del_>10Mb	0.9021909783482551	0.10296487605859624	0.3603281199995699	0.28084188956712386	0.35147366873178665	0.6781413558498025	0.36044568757139495	0.19523041086139906	0.7021313829421997	0.5114891278743744
non-clustered_tds_1-10Kb	0.0010405626440836953	0.005987882089334694	0.005707313542968825	0.00518246848288382	0.0076999784828678305	0.00405618603540743	0.009022051760503193	0.03102737937132583	0.01661658230113754	0.01478204025848152
non-clustered_tds_10-100Kb	0.00363022187903096	0.003226594816424051	0.002921930548326099	0.009475990210746823	0.004300362028570503	0.11292184050548651	0.0003669020626447147	0.0081162685444425	0.0019906851165137013	0.014186683608770151
non-clustered_tds_100Kb-1Mb	0.0016483481351569635	0.04512265236898145	0.0314607369799074	0.028503948946693492	0.011554121084388564	0.002243630655573562	0.02222249914579455	0.007411626741039493	0.016997474593264495	0.014447400552153518
non-clustered_tds_1Mb-10Mb	0.0031071698025416238	0.020449675734495038	0.0038568874467523944	0.04706297818142831	0.01547851543522566	0.021201978999476605	0.00359228364621692	0.015285899303196071	0.011076927433861005	0.031178128539841133
non-clustered_tds_>10Mb	0.006642914876861322	0.030728182181744217	0.38681890803075114	0.015927195573312895	0.04217398521649808	0.017227349723014918	0.015124399771674095	0.014653600158767054	0.05637071355996891	0.011031821605387283
non-clustered_inv_1-10Kb	5.842711104537695e-06	5.713316241658358e-06	5.635721661562433e-06	5.425046865419318e-06	4.645447298490857e-06	5.37112005437909e-06	5.138341965689802e-06	5.71433983800765e-06	5.763314682412383e-06	5.839959638137333e-06
non-clustered_inv_10-100Kb	5.837291099940489e-06	5.703743157525999e-06	5.629832878874993e-06	5.43726098704655e-06	4.644563487424727e-06	5.368718265720747e-06	5.146026100789214e-06	5.71061105844719e-06	5.784099246176119e-06	5.848499690629666e-06
non-clustered_inv_100Kb-1Mb	5.830109651457367e-06	5.7219953886113285e-06	5.644155728946559e-06	5.4226523574185305e-06	4.642466178157758e-06	5.358797639466367e-06	5.166847758080025e-06	5.712106799804922e-06	5.7812828076498894e-06	5.850699557040442e-06
non-clustered_inv_1Mb-10Mb	5.832543971545111e-06	5.7098859569280276e-06	5.633666906845606e-06	5.435739495184871e-06	4.646686280337383e-06	5.3847866111348505e-06	5.163804957502896e-06	5.709532549910254e-06	5.756797454110948e-06	5.8466254339235585e-06
non-clustered_inv_>10Mb	5.81673008030212e-06	5.713335270324652e-06	5.656281391079137e-06	5.4376480017182765e-06	4.63657782183206e-06	5.371847648465754e-06	5.131540812010284e-06	5.700835642393117e-06	5.7745848269526245e-06	5.8506470997508034e-06
non-clustered_trans	0.038987590799669375	0.7039440349340439	0.15743289411986863	0.45816287331088096	0.15838176315831357	0.12839565797413624	0.21548862904916313	0.47361241767116247	0.08289482841326225	0.2935855499061316
