MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I	SV32J
clustered_del_1-10Kb	1.20E-07	1.63E-07	1.35E-07	1.29E-07	1.32E-07	1.08E-07	1.32E-07	1.32E-07	1.45E-07	1.44E-07
clustered_del_10-100Kb	1.20E-07	1.64E-07	1.34E-07	1.30E-07	1.32E-07	1.06E-07	1.31E-07	1.28E-07	1.45E-07	1.44E-07
clustered_del_100Kb-1Mb	1.20E-07	1.63E-07	1.34E-07	1.30E-07	1.32E-07	1.05E-07	1.39E-07	1.29E-07	1.45E-07	1.43E-07
clustered_del_1Mb-10Mb	1.21E-07	1.63E-07	1.35E-07	1.29E-07	1.32E-07	1.05E-07	1.40E-07	1.31E-07	1.46E-07	1.44E-07
clustered_del_>10Mb	1.20E-07	1.63E-07	1.34E-07	1.31E-07	1.32E-07	1.05E-07	1.38E-07	1.29E-07	1.45E-07	1.43E-07
clustered_tds_1-10Kb	1.21E-07	1.63E-07	1.34E-07	1.30E-07	1.32E-07	1.05E-07	1.29E-07	1.31E-07	1.45E-07	1.43E-07
clustered_tds_10-100Kb	1.20E-07	1.63E-07	1.35E-07	1.31E-07	1.32E-07	1.07E-07	1.37E-07	1.32E-07	1.45E-07	1.44E-07
clustered_tds_100Kb-1Mb	1.21E-07	1.63E-07	1.35E-07	1.31E-07	1.32E-07	1.05E-07	1.34E-07	1.31E-07	1.46E-07	1.44E-07
clustered_tds_1Mb-10Mb	1.20E-07	1.63E-07	1.34E-07	1.31E-07	1.32E-07	1.06E-07	1.33E-07	1.29E-07	1.45E-07	1.44E-07
clustered_tds_>10Mb	1.20E-07	1.63E-07	1.34E-07	1.30E-07	1.32E-07	1.05E-07	1.36E-07	1.30E-07	1.45E-07	1.44E-07
clustered_inv_1-10Kb	1.21E-07	1.64E-07	1.35E-07	1.29E-07	1.32E-07	1.06E-07	1.39E-07	1.31E-07	1.45E-07	1.44E-07
clustered_inv_10-100Kb	1.21E-07	1.64E-07	1.34E-07	1.30E-07	1.32E-07	1.06E-07	1.38E-07	1.30E-07	1.46E-07	1.44E-07
clustered_inv_100Kb-1Mb	1.21E-07	1.63E-07	1.34E-07	1.33E-07	1.32E-07	1.07E-07	1.36E-07	1.30E-07	1.46E-07	1.44E-07
clustered_inv_1Mb-10Mb	1.19E-07	1.63E-07	1.34E-07	1.31E-07	1.32E-07	1.06E-07	1.36E-07	1.30E-07	1.46E-07	1.43E-07
clustered_inv_>10Mb	1.20E-07	1.63E-07	1.34E-07	1.30E-07	1.32E-07	1.05E-07	1.29E-07	1.30E-07	1.45E-07	1.44E-07
clustered_trans	1.20E-07	1.63E-07	1.34E-07	1.29E-07	1.32E-07	1.05E-07	1.40E-07	1.30E-07	1.45E-07	1.44E-07
non-clustered_del_1-10Kb	3.86E-03	3.44E-03	3.84E-03	7.56E-03	2.57E-03	1.84E-03	2.64E-03	2.60E-03	2.49E-03	4.91E-03
non-clustered_del_10-100Kb	1.22E-03	2.56E-03	2.78E-03	2.61E-03	8.76E-03	1.40E-03	2.14E-03	2.11E-03	3.00E-03	2.32E-03
non-clustered_del_100Kb-1Mb	8.45E-04	1.47E-03	1.24E-03	1.37E-03	1.57E-03	1.95E-03	3.58E-03	8.80E-03	4.84E-03	3.71E-03
non-clustered_del_1Mb-10Mb	1.37E-03	3.20E-03	1.78E-03	1.82E-03	1.35E-03	7.59E-04	8.70E-03	3.65E-03	3.02E-03	1.31E-03
non-clustered_del_>10Mb	5.05E-03	4.57E-03	9.20E-03	6.91E-03	9.50E-03	7.24E-03	9.41E-03	6.15E-03	7.92E-03	7.30E-03
non-clustered_tds_1-10Kb	7.44E-04	1.48E-03	1.52E-03	1.28E-03	1.75E-03	1.27E-03	1.74E-03	3.37E-03	2.36E-03	2.22E-03
non-clustered_tds_10-100Kb	9.31E-04	1.60E-03	1.00E-03	1.96E-03	1.35E-03	5.52E-03	2.76E-04	1.88E-03	5.80E-04	2.21E-03
non-clustered_tds_100Kb-1Mb	7.02E-04	4.31E-03	3.58E-03	3.33E-03	2.53E-03	8.52E-04	3.45E-03	2.01E-03	3.31E-03	2.59E-03
non-clustered_tds_1Mb-10Mb	9.70E-04	2.83E-03	1.25E-03	4.39E-03	2.84E-03	2.82E-03	1.04E-03	2.26E-03	2.19E-03	3.76E-03
non-clustered_tds_>10Mb	1.28E-03	3.77E-03	8.26E-03	2.22E-03	3.81E-03	2.18E-03	2.54E-03	2.45E-03	4.32E-03	1.98E-03
non-clustered_inv_1-10Kb	1.21E-07	1.63E-07	1.34E-07	1.32E-07	1.32E-07	1.07E-07	1.35E-07	1.32E-07	1.46E-07	1.44E-07
non-clustered_inv_10-100Kb	1.21E-07	1.64E-07	1.35E-07	1.31E-07	1.32E-07	1.06E-07	1.32E-07	1.32E-07	1.45E-07	1.44E-07
non-clustered_inv_100Kb-1Mb	1.21E-07	1.63E-07	1.35E-07	1.31E-07	1.33E-07	1.05E-07	1.40E-07	1.32E-07	1.45E-07	1.44E-07
non-clustered_inv_1Mb-10Mb	1.20E-07	1.63E-07	1.34E-07	1.31E-07	1.32E-07	1.05E-07	1.39E-07	1.31E-07	1.46E-07	1.43E-07
non-clustered_inv_>10Mb	1.21E-07	1.63E-07	1.34E-07	1.31E-07	1.32E-07	1.05E-07	1.29E-07	1.29E-07	1.45E-07	1.44E-07
non-clustered_trans	2.21E-03	8.11E-03	6.52E-03	8.20E-03	6.64E-03	4.24E-03	7.32E-03	9.17E-03	3.68E-03	6.38E-03
