MutationType	SV32A	SV32B
clustered_del_1-10Kb	5.664325285579252e-06	5.541231447750761e-06
clustered_del_10-100Kb	5.664325285579252e-06	5.541231447750761e-06
clustered_del_100Kb-1Mb	5.664325288307737e-06	5.541231446841266e-06
clustered_del_1Mb-10Mb	5.664325288307737e-06	5.541231446841266e-06
clustered_del_>10Mb	5.664325285579252e-06	5.541231447750761e-06
clustered_tds_1-10Kb	5.664325288307737e-06	5.541231446841266e-06
clustered_tds_10-100Kb	5.664325285579252e-06	5.541231447750761e-06
clustered_tds_100Kb-1Mb	5.664325285579252e-06	5.541231447750761e-06
clustered_tds_1Mb-10Mb	5.664325285579252e-06	5.541231447750761e-06
clustered_tds_>10Mb	5.664325288307737e-06	5.541231446841266e-06
clustered_inv_1-10Kb	5.664325285579252e-06	5.541231447750761e-06
clustered_inv_10-100Kb	5.664325288307737e-06	5.541231446841266e-06
clustered_inv_100Kb-1Mb	5.664325285579252e-06	5.541231447750761e-06
clustered_inv_1Mb-10Mb	5.664325288307737e-06	5.541231446841266e-06
clustered_inv_>10Mb	5.664325285579252e-06	5.541231447750761e-06
clustered_trans	5.664325285579252e-06	5.541231447750761e-06
non-clustered_del_1-10Kb	0.01676842031543478	0.03218826071038244
non-clustered_del_10-100Kb	0.04590272283181523	0.042355553162625806
non-clustered_del_100Kb-1Mb	0.013789431081504697	0.03678422363120887
non-clustered_del_1Mb-10Mb	0.029647524268284035	0.05520203020627726
non-clustered_del_>10Mb	0.6214433935284615	0.3583163618429653
non-clustered_tds_1-10Kb	0.004548429141811699	0.009210437495899726
non-clustered_tds_10-100Kb	0.014953292364438738	0.007534333149273456
non-clustered_tds_100Kb-1Mb	0.0075784149431946165	0.018526381835134713
non-clustered_tds_1Mb-10Mb	0.008791873283207284	0.017882702933134906
non-clustered_tds_>10Mb	0.06540915557871657	0.04594554585574194
non-clustered_inv_1-10Kb	5.664325285579252e-06	5.541231447750761e-06
non-clustered_inv_10-100Kb	5.664325285579252e-06	5.541231447750761e-06
non-clustered_inv_100Kb-1Mb	5.664325288307737e-06	5.541231446841266e-06
non-clustered_inv_1Mb-10Mb	5.664325285579252e-06	5.541231447750761e-06
non-clustered_inv_>10Mb	5.664325285579252e-06	5.541231447750761e-06
non-clustered_trans	0.17104839389327736	0.3759378057420254
