MutationType	SV32A	SV32B	SV32C
clustered_del_1-10Kb	5.732909339712933e-06	5.528333478650893e-06	5.458338152038777e-06
clustered_del_10-100Kb	5.732909339712933e-06	5.528333478650893e-06	5.458338152038777e-06
clustered_del_100Kb-1Mb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
clustered_del_1Mb-10Mb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
clustered_del_>10Mb	5.732909339712933e-06	5.528333478650893e-06	5.458338152038777e-06
clustered_tds_1-10Kb	5.732909339712933e-06	5.528333478650893e-06	5.458338152038777e-06
clustered_tds_10-100Kb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
clustered_tds_100Kb-1Mb	5.732909339712933e-06	5.528333478650893e-06	5.458338152038777e-06
clustered_tds_1Mb-10Mb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
clustered_tds_>10Mb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
clustered_inv_1-10Kb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
clustered_inv_10-100Kb	5.732909339712933e-06	5.528333478650893e-06	5.458338152038777e-06
clustered_inv_100Kb-1Mb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
clustered_inv_1Mb-10Mb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
clustered_inv_>10Mb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
clustered_trans	5.732909339712933e-06	5.528333478650893e-06	5.458338152038777e-06
non-clustered_del_1-10Kb	0.015305851993964927	0.03973214706492867	0.023343817641654097
non-clustered_del_10-100Kb	0.035907983249568606	0.03486303689031435	0.07100203058576393
non-clustered_del_100Kb-1Mb	0.010956913676248632	0.04510621811892405	0.02664770384942617
non-clustered_del_1Mb-10Mb	0.024949231703575683	0.06777995320822466	0.04167220506535325
non-clustered_del_>10Mb	0.7061281079053878	0.26693258734383485	0.4432632284119801
non-clustered_tds_1-10Kb	0.0036392507956594074	0.01042309921543325	0.008065879495149489
non-clustered_tds_10-100Kb	0.017346040576696652	0.005966778646253342	0.012251586709216267
non-clustered_tds_100Kb-1Mb	0.004332570407280253	0.021202788384064263	0.018067572667238053
non-clustered_tds_1Mb-10Mb	0.0073324510854843065	0.022026390121795927	0.015534663244877457
non-clustered_tds_>10Mb	0.053611569612634	0.0340884935570963	0.08463897014745461
non-clustered_inv_1-10Kb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
non-clustered_inv_10-100Kb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
non-clustered_inv_100Kb-1Mb	5.732909339712933e-06	5.528333478650893e-06	5.458338152038777e-06
non-clustered_inv_1Mb-10Mb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
non-clustered_inv_>10Mb	5.732909338803438e-06	5.528333479560388e-06	5.458338152038777e-06
non-clustered_trans	0.12036964180104068	0.4517624148242176	0.2553977242421897
