MutationType	SV32A	SV32B	SV32C
clustered_del_1-10Kb	1.38E-08	2.00E-08	1.81E-08
clustered_del_10-100Kb	1.38E-08	2.00E-08	1.81E-08
clustered_del_100Kb-1Mb	1.38E-08	2.00E-08	1.81E-08
clustered_del_1Mb-10Mb	1.38E-08	2.00E-08	1.81E-08
clustered_del_>10Mb	1.38E-08	2.00E-08	1.81E-08
clustered_tds_1-10Kb	1.38E-08	2.00E-08	1.81E-08
clustered_tds_10-100Kb	1.38E-08	2.00E-08	1.81E-08
clustered_tds_100Kb-1Mb	1.38E-08	2.00E-08	1.81E-08
clustered_tds_1Mb-10Mb	1.38E-08	2.00E-08	1.81E-08
clustered_tds_>10Mb	1.38E-08	2.00E-08	1.81E-08
clustered_inv_1-10Kb	1.38E-08	2.00E-08	1.81E-08
clustered_inv_10-100Kb	1.38E-08	2.00E-08	1.81E-08
clustered_inv_100Kb-1Mb	1.38E-08	2.00E-08	1.81E-08
clustered_inv_1Mb-10Mb	1.38E-08	2.00E-08	1.81E-08
clustered_inv_>10Mb	1.38E-08	2.00E-08	1.81E-08
clustered_trans	1.38E-08	2.00E-08	1.81E-08
non-clustered_del_1-10Kb	1.29E-03	2.44E-03	2.03E-03
non-clustered_del_10-100Kb	2.39E-03	2.66E-03	3.62E-03
non-clustered_del_100Kb-1Mb	1.13E-03	2.41E-03	1.97E-03
non-clustered_del_1Mb-10Mb	2.38E-03	3.13E-03	2.84E-03
non-clustered_del_>10Mb	5.11E-03	6.30E-03	5.95E-03
non-clustered_tds_1-10Kb	5.92E-04	9.40E-04	8.53E-04
non-clustered_tds_10-100Kb	1.11E-03	7.77E-04	1.10E-03
non-clustered_tds_100Kb-1Mb	5.88E-04	1.76E-03	1.41E-03
non-clustered_tds_1Mb-10Mb	9.36E-04	1.74E-03	1.41E-03
non-clustered_tds_>10Mb	3.04E-03	3.04E-03	4.52E-03
non-clustered_inv_1-10Kb	1.38E-08	2.00E-08	1.81E-08
non-clustered_inv_10-100Kb	1.38E-08	2.00E-08	1.81E-08
non-clustered_inv_100Kb-1Mb	1.38E-08	2.00E-08	1.81E-08
non-clustered_inv_1Mb-10Mb	1.38E-08	2.00E-08	1.81E-08
non-clustered_inv_>10Mb	1.38E-08	2.00E-08	1.81E-08
non-clustered_trans	3.56E-03	5.96E-03	4.36E-03
