Samples	SV32A	SV32B	SV32C	SV32D
Syntheticpatient1	1.79E-01	2.91E-01	2.11E-01	2.04E-01
Syntheticpatient10	2.10E-01	2.43E-01	2.31E-01	2.66E-01
Syntheticpatient2	2.58E-01	2.03E-01	1.30E-01	2.25E-01
Syntheticpatient3	2.44E-01	2.59E-01	1.61E-01	2.24E-01
Syntheticpatient4	2.08E-01	2.77E-01	2.92E-01	3.25E-01
Syntheticpatient5	3.03E-01	3.04E-01	1.03E-01	2.19E-01
Syntheticpatient6	3.09E-01	2.05E-01	2.36E-01	3.67E-01
Syntheticpatient7	1.32E-01	9.14E-02	2.81E-01	2.79E-01
Syntheticpatient8	2.75E-01	1.68E-01	1.96E-01	3.09E-01
Syntheticpatient9	2.97E-01	2.15E-01	1.04E-01	2.48E-01
