MutationType	SV32A	SV32B	SV32C	SV32D
clustered_del_1-10Kb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_del_10-100Kb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_del_100Kb-1Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_del_1Mb-10Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_del_>10Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_tds_1-10Kb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_tds_10-100Kb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_tds_100Kb-1Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_tds_1Mb-10Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_tds_>10Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_inv_1-10Kb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_inv_10-100Kb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_inv_100Kb-1Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_inv_1Mb-10Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_inv_>10Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
clustered_trans	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
non-clustered_del_1-10Kb	0.01466073273585747	0.009767631499609858	0.047955725674451485	0.04068441037629323
non-clustered_del_10-100Kb	0.025099489612859464	0.1042946319608188	0.035356379663458094	0.03856370212959766
non-clustered_del_100Kb-1Mb	0.013150399628557607	0.005820901986407415	0.0501577766086919	0.04712627204154183
non-clustered_del_1Mb-10Mb	0.027015375829846575	0.0385090777041481	0.07112383982824917	0.05022989041229063
non-clustered_del_>10Mb	0.7548818733096123	0.422376014144261	0.18422707326121024	0.45512086749022795
non-clustered_tds_1-10Kb	0.003422822716698887	0.008583840573139923	0.011168495340872666	0.00993628623615189
non-clustered_tds_10-100Kb	0.019041623077343563	0.007047788872355789	0.006296228033565422	0.019499635962416856
non-clustered_tds_100Kb-1Mb	0.003259454046715101	0.026856693277157746	0.023976216852216212	0.010347841711924535
non-clustered_tds_1Mb-10Mb	0.0076881085440266535	0.01031439039094159	0.019736309777983456	0.02676479005126444
non-clustered_tds_>10Mb	0.030171814997414035	0.16952370135993827	0.02235439332311722	0.0139621333678833
non-clustered_inv_1-10Kb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
non-clustered_inv_10-100Kb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
non-clustered_inv_100Kb-1Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
non-clustered_inv_1Mb-10Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
non-clustered_inv_>10Mb	5.76481249754579e-06	5.311681519515332e-06	5.544354914491123e-06	5.4805867064260385e-06
non-clustered_trans	0.10148723722595354	0.1967937864549561	0.5275311341434717	0.28764908262586686
