MutationType	SV32A	SV32B	SV32C	SV32D
clustered_del_1-10Kb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_del_10-100Kb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_del_100Kb-1Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_del_1Mb-10Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_del_>10Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_tds_1-10Kb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_tds_10-100Kb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_tds_100Kb-1Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_tds_1Mb-10Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_tds_>10Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_inv_1-10Kb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_inv_10-100Kb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_inv_100Kb-1Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_inv_1Mb-10Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_inv_>10Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
clustered_trans	2.02E-08	2.89E-08	3.11E-08	2.55E-08
non-clustered_del_1-10Kb	1.66E-03	1.45E-03	3.41E-03	2.98E-03
non-clustered_del_10-100Kb	2.66E-03	4.90E-03	4.01E-03	3.29E-03
non-clustered_del_100Kb-1Mb	1.58E-03	1.03E-03	3.39E-03	2.90E-03
non-clustered_del_1Mb-10Mb	2.93E-03	3.02E-03	4.14E-03	3.45E-03
non-clustered_del_>10Mb	5.57E-03	7.81E-03	6.81E-03	6.78E-03
non-clustered_tds_1-10Kb	7.21E-04	1.17E-03	1.12E-03	1.21E-03
non-clustered_tds_10-100Kb	1.43E-03	1.44E-03	1.02E-03	1.75E-03
non-clustered_tds_100Kb-1Mb	6.48E-04	1.99E-03	2.33E-03	1.30E-03
non-clustered_tds_1Mb-10Mb	1.09E-03	1.44E-03	1.91E-03	2.41E-03
non-clustered_tds_>10Mb	2.50E-03	5.81E-03	2.60E-03	1.70E-03
non-clustered_inv_1-10Kb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
non-clustered_inv_10-100Kb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
non-clustered_inv_100Kb-1Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
non-clustered_inv_1Mb-10Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
non-clustered_inv_>10Mb	2.02E-08	2.89E-08	3.11E-08	2.55E-08
non-clustered_trans	3.73E-03	5.41E-03	7.16E-03	5.69E-03
