NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	3.093	17.57	1.453	13.265	0.078	0.989	3000.0
2	4.203	23.856	2.143	19.387	0.119	0.976	4000.0
3	3.477	19.67	1.787	15.394	0.068	0.989	2000.0
4	4.776	26.761	2.397	21.91	0.085	0.974	2000.0
5	3.228	18.1	1.508	14.044	0.075	0.987	3000.0
6	3.083	17.384	1.443	12.543	0.072	0.992	2000.0
7	4.373	24.413	1.916	19.114	0.115	0.977	5000.0
8	3.569	20.364	1.798	16.401	0.083	0.987	3000.0
9	3.532	19.821	1.75	15.963	0.086	0.983	3000.0
10	3.323	18.577	1.63	14.41	0.073	0.99	3000.0
11	3.419	18.993	1.665	15.451	0.094	0.983	4000.0
12	5.019	28.748	2.487	23.377	0.119	0.97	2000.0
13	3.774	21.335	1.76	16.854	0.097	0.981	3000.0
14	3.065	17.382	1.423	12.77	0.093	0.991	3000.0
15	4.006	22.257	1.938	18.275	0.074	0.976	2000.0
16	6.23	34.71	3.154	29.024	0.121	0.957	3000.0
17	2.777	15.128	1.402	12.359	0.048	0.99	3000.0
18	3.697	20.684	1.808	17.476	0.1	0.982	2000.0
19	3.129	17.388	1.541	12.902	0.062	0.991	4000.0
20	3.861	21.638	1.872	16.405	0.097	0.988	3000.0
21	5.313	29.802	2.697	24.362	0.102	0.961	7000.0
22	3.027	17.298	1.569	14.236	0.079	0.989	2000.0
23	4.114	22.935	2.033	17.628	0.078	0.986	3000.0
24	5.194	28.971	2.487	24.016	0.127	0.966	2000.0
25	3.515	20.308	1.863	16.752	0.078	0.982	6000.0
26	3.374	18.353	1.553	14.408	0.085	0.989	2000.0
27	4.056	22.716	1.972	17.965	0.082	0.985	2000.0
28	2.127	12.095	1.086	9.96	0.046	0.993	4000.0
29	3.162	18.028	1.494	13.274	0.074	0.99	2000.0
30	4.067	22.965	1.939	18.814	0.111	0.98	4000.0
31	4.498	24.903	2.168	19.062	0.092	0.983	3000.0
32	4.039	22.379	1.938	17.315	0.102	0.981	3000.0
33	3.632	20.855	1.81	16.059	0.083	0.987	4000.0
34	2.987	16.782	1.461	12.863	0.06	0.992	3000.0
35	4.427	24.637	2.06	19.326	0.115	0.981	4000.0
36	3.456	19.406	1.583	14.912	0.092	0.988	3000.0
37	3.898	21.8	1.865	16.448	0.086	0.985	2000.0
38	4.168	23.742	2.196	19.211	0.085	0.972	3000.0
39	3.963	23.377	1.939	19.357	0.099	0.979	2000.0
40	3.47	19.215	1.708	14.793	0.085	0.986	3000.0
41	3.014	16.832	1.402	13.18	0.081	0.989	2000.0
42	4.041	22.927	2.184	20.045	0.075	0.97	4000.0
43	2.876	15.982	1.424	11.764	0.064	0.994	4000.0
44	4.721	27.172	2.28	21.502	0.097	0.975	5000.0
45	5.212	30.301	2.544	23.46	0.115	0.966	2000.0
46	4.571	25.376	2.212	20.378	0.1	0.978	4000.0
47	3.607	20.127	1.664	15.71	0.091	0.986	2000.0
48	3.569	19.628	1.749	16.232	0.095	0.981	3000.0
49	3.883	21.4	1.924	18.576	0.077	0.979	2000.0
50	4.026	22.802	2.087	18.38	0.083	0.985	2000.0
51	3.509	20.134	1.677	15.849	0.088	0.983	3000.0
52	3.846	21.47	1.92	17.281	0.095	0.983	3000.0
53	3.223	17.376	1.629	14.146	0.075	0.987	5000.0
54	4.036	22.724	1.97	18.206	0.096	0.981	4000.0
55	3.35	18.45	1.689	15.466	0.073	0.986	2000.0
56	4.332	25.009	2.184	19.837	0.11	0.975	3000.0
57	2.866	16.176	1.409	12.487	0.086	0.992	20000.0
58	4.32	24.435	2.013	18.029	0.111	0.983	3000.0
59	4.629	25.942	2.242	21.662	0.098	0.97	2000.0
60	3.072	17.249	1.533	13.894	0.067	0.989	2000.0
61	2.99	17.42	1.588	15.532	0.068	0.984	2000.0
62	3.556	20.35	1.888	17.327	0.092	0.984	4000.0
63	2.575	14.545	1.246	11.18	0.058	0.993	3000.0
64	2.906	16.08	1.358	12.566	0.064	0.99	5000.0
65	3.641	20.929	1.885	16.854	0.066	0.985	4000.0
66	2.728	15.27	1.321	11.356	0.076	0.993	3000.0
67	3.959	22.488	2.093	18.74	0.083	0.975	2000.0
68	4.079	22.98	2.068	17.986	0.105	0.984	4000.0
69	4.05	22.902	1.878	18.553	0.105	0.979	3000.0
70	2.594	14.553	1.323	11.602	0.048	0.992	3000.0
71	3.552	20.042	1.641	15.376	0.087	0.987	3000.0
72	3.252	18.212	1.59	13.824	0.089	0.991	17000.0
73	4.452	24.542	2.131	18.726	0.113	0.981	3000.0
74	4.914	27.912	2.377	23.11	0.107	0.97	3000.0
75	6.199	35.222	3.147	28.785	0.158	0.956	3000.0
76	3.855	21.593	1.962	17.798	0.092	0.983	4000.0
77	3.543	20.148	1.897	17.038	0.067	0.98	4000.0
78	4.016	23.001	1.978	19.083	0.095	0.978	4000.0
79	4.136	22.907	1.959	17.151	0.096	0.985	2000.0
80	3.195	17.772	1.476	13.146	0.079	0.99	2000.0
81	4.822	27.047	2.507	24.521	0.089	0.966	2000.0
82	2.923	16.602	1.382	12.369	0.076	0.992	3000.0
83	4.446	25.087	2.232	20.28	0.092	0.981	3000.0
84	5.279	30.03	2.507	24.765	0.139	0.965	3000.0
85	4.614	26.141	2.339	20.877	0.107	0.975	11000.0
86	4.591	26.552	2.301	22.067	0.103	0.973	4000.0
87	4.115	23.522	2.096	19.533	0.078	0.976	2000.0
88	5.852	33.36	2.952	28.457	0.124	0.957	2000.0
89	3.949	22.368	1.757	16.055	0.114	0.987	3000.0
90	3.324	18.921	1.645	14.584	0.067	0.987	4000.0
91	4.249	23.811	2.132	18.708	0.081	0.98	2000.0
92	4.213	24.195	2.107	19.905	0.107	0.977	2000.0
93	3.573	19.756	1.684	15.525	0.081	0.986	5000.0
94	4.151	24.12	2.109	19.446	0.088	0.98	3000.0
95	4.066	23.06	2.125	18.265	0.1	0.984	2000.0
96	4.522	25.156	2.325	22.027	0.078	0.975	5000.0
97	4.263	23.951	2.03	18.07	0.11	0.984	3000.0
98	4.118	22.64	1.946	17.069	0.089	0.982	2000.0
99	3.434	19.332	1.685	16.182	0.055	0.984	4000.0
100	3.918	21.712	1.78	16.02	0.098	0.988	3000.0
101	4.06	22.213	1.786	16.117	0.115	0.984	3000.0
102	4.062	23.045	1.968	17.773	0.095	0.982	4000.0
103	4.401	24.702	2.165	18.888	0.109	0.981	5000.0
104	2.947	16.021	1.354	12.113	0.061	0.991	12000.0
105	3.293	18.466	1.642	14.422	0.078	0.99	3000.0
106	3.649	20.291	2.047	18.466	0.049	0.979	2000.0
107	4.367	24.824	2.273	20.27	0.091	0.981	4000.0
108	4.01	22.786	1.906	17.883	0.103	0.979	2000.0
109	4.47	24.736	2.159	20.406	0.075	0.976	3000.0
110	3.798	21.375	1.913	17.494	0.092	0.98	3000.0
111	4.25	23.863	2.157	19.343	0.096	0.979	2000.0
112	3.305	18.995	1.651	14.506	0.105	0.988	3000.0
113	4.979	28.547	2.466	23.772	0.132	0.965	2000.0
114	4.825	27.251	2.277	20.466	0.136	0.972	2000.0
115	4.069	22.595	1.868	17.617	0.1	0.979	2000.0
116	3.166	17.838	1.52	13.319	0.083	0.991	4000.0
117	3.972	22.205	1.964	17.352	0.112	0.98	5000.0
118	4.388	25.056	2.314	19.788	0.115	0.974	3000.0
119	2.505	13.911	1.367	11.675	0.056	0.992	2000.0
120	2.649	15.047	1.334	12.438	0.047	0.991	2000.0
121	3.607	20.029	1.676	15.561	0.088	0.987	3000.0
122	3.852	21.414	1.894	17.719	0.096	0.981	4000.0
123	4.928	28.093	2.311	22.337	0.115	0.972	4000.0
124	3.282	18.105	1.693	14.818	0.052	0.988	2000.0
125	4.025	22.285	1.927	18.119	0.08	0.976	9000.0
126	3.119	17.707	1.667	15.886	0.092	0.984	3000.0
127	3.449	19.111	1.706	15.34	0.063	0.989	3000.0
128	3.01	17.197	1.513	13.66	0.074	0.989	4000.0
129	3.902	21.386	1.905	16.58	0.071	0.986	25000.0
130	3.839	21.664	1.914	17.519	0.08	0.983	4000.0
131	3.464	19.718	1.698	15.874	0.079	0.985	4000.0
132	3.778	20.997	1.841	16.46	0.085	0.986	2000.0
133	3.913	22.504	1.9	18.208	0.088	0.982	3000.0
134	4.287	23.683	2.117	19.374	0.088	0.982	3000.0
135	4.919	27.64	2.46	21.371	0.114	0.978	4000.0
136	5.308	30.611	2.7	25.487	0.106	0.965	2000.0
137	2.356	13.221	1.152	9.673	0.054	0.995	3000.0
138	3.671	20.805	1.892	17.164	0.074	0.983	4000.0
139	3.132	17.631	1.586	14.023	0.088	0.988	2000.0
140	3.285	18.367	1.695	15.503	0.053	0.985	3000.0
141	4.17	22.838	2.04	18.833	0.102	0.978	3000.0
142	4.213	23.504	2.14	19.246	0.084	0.978	4000.0
143	3.015	17.117	1.457	12.888	0.084	0.99	3000.0
144	3.143	17.916	1.442	13.025	0.077	0.992	2000.0
145	4.184	23.926	1.942	17.749	0.095	0.983	4000.0
146	3.701	20.891	1.981	17.133	0.067	0.987	3000.0
147	3.799	21.158	1.837	16.292	0.075	0.988	3000.0
148	4.22	23.336	2.056	17.979	0.096	0.983	2000.0
149	2.298	12.97	1.096	10.204	0.048	0.993	4000.0
150	4.248	23.834	2.244	19.001	0.072	0.981	3000.0
151	4.365	24.146	2.02	18.853	0.098	0.978	3000.0
152	3.735	20.876	1.832	17.943	0.098	0.976	2000.0
153	3.395	18.936	1.777	16.49	0.075	0.984	3000.0
154	3.639	20.271	1.775	16.968	0.08	0.984	2000.0
155	4.294	24.061	2.088	19.115	0.106	0.979	2000.0
156	2.9	16.138	1.371	12.163	0.081	0.99	4000.0
157	4.273	24.096	2.043	19.081	0.086	0.977	2000.0
158	3.713	20.789	1.709	15.494	0.086	0.987	2000.0
159	4.55	26.155	2.121	20.809	0.106	0.972	2000.0
160	2.978	16.836	1.421	12.306	0.081	0.991	10000.0
161	3.682	20.45	1.715	16.534	0.097	0.984	3000.0
162	3.648	20.447	1.684	15.234	0.105	0.987	3000.0
163	3.238	18.008	1.706	15.23	0.086	0.984	3000.0
164	3.355	19.077	1.579	13.99	0.095	0.987	3000.0
165	3.364	19.338	1.635	15.512	0.07	0.987	5000.0
166	3.434	19.514	1.581	13.801	0.083	0.989	2000.0
167	4.36	24.281	2.067	19.428	0.097	0.976	2000.0
168	2.914	16.598	1.63	15.078	0.059	0.986	2000.0
169	3.864	21.516	1.846	16.822	0.098	0.986	5000.0
170	3.96	22.422	1.875	16.786	0.107	0.986	3000.0
171	4.39	24.427	2.257	19.944	0.085	0.982	2000.0
172	4.709	26.199	2.339	22.179	0.107	0.968	2000.0
173	3.858	21.481	1.875	17.396	0.102	0.982	4000.0
174	3.463	19.626	1.653	14.957	0.095	0.989	4000.0
175	3.71	20.902	1.784	16.124	0.1	0.982	3000.0
176	4.791	26.79	2.275	20.498	0.107	0.973	4000.0
177	4.549	25.909	2.309	21.013	0.112	0.976	4000.0
178	4.766	27.425	2.358	21.73	0.123	0.975	3000.0
179	3.728	20.98	1.883	16.442	0.096	0.982	2000.0
180	3.303	18.45	1.697	15.889	0.088	0.984	2000.0
181	4.257	23.722	2.009	18.952	0.112	0.978	5000.0
182	3.443	19.562	1.761	17.086	0.08	0.979	16000.0
183	3.513	19.714	1.752	16.421	0.08	0.985	3000.0
184	4.11	23.356	1.961	19.882	0.101	0.969	3000.0
185	2.604	14.625	1.295	11.156	0.077	0.992	2000.0
186	4.021	22.33	1.976	18.47	0.075	0.977	3000.0
187	3.665	20.418	1.759	15.944	0.092	0.985	3000.0
188	3.934	22.183	1.874	17.655	0.082	0.984	3000.0
189	3.33	19.081	1.498	14.415	0.097	0.983	19000.0
190	2.705	15.211	1.313	11.564	0.05	0.992	5000.0
191	4.019	22.412	1.967	17.872	0.091	0.985	5000.0
192	3.407	18.864	1.648	14.492	0.066	0.988	2000.0
193	3.845	21.844	1.858	17.108	0.103	0.984	3000.0
194	3.022	17.111	1.443	13.47	0.071	0.989	2000.0
195	4.354	24.819	1.969	18.281	0.098	0.984	2000.0
196	4.009	22.537	1.904	17.453	0.098	0.984	5000.0
197	3.206	18.278	1.511	13.408	0.088	0.989	2000.0
198	3.53	20.036	1.724	15.914	0.095	0.985	2000.0
199	2.878	15.992	1.425	12.637	0.069	0.99	5000.0
200	4.241	23.843	1.955	18.778	0.098	0.98	3000.0
201	4.481	25.752	2.125	20.186	0.108	0.97	2000.0
202	4.883	26.974	2.661	25.281	0.075	0.964	4000.0
203	3.638	20.276	1.601	14.19	0.108	0.989	3000.0
204	3.053	17.091	1.555	13.674	0.068	0.99	3000.0
