Samples	SV32A	SV32B	SV32C	SV32D	SV32E
Syntheticpatient1	1.69E-01	2.67E-01	1.80E-01	1.83E-01	2.97E-01
Syntheticpatient10	1.87E-01	2.26E-01	2.06E-01	2.56E-01	2.41E-01
Syntheticpatient2	2.58E-01	2.16E-01	1.07E-01	2.11E-01	1.26E-01
Syntheticpatient3	2.17E-01	2.62E-01	1.18E-01	1.87E-01	2.14E-01
Syntheticpatient4	1.75E-01	2.16E-01	2.56E-01	2.62E-01	3.10E-01
Syntheticpatient5	2.86E-01	3.20E-01	8.51E-02	1.85E-01	1.97E-01
Syntheticpatient6	2.89E-01	2.52E-01	2.12E-01	3.23E-01	2.33E-01
Syntheticpatient7	1.24E-01	8.49E-02	2.58E-01	2.40E-01	1.81E-01
Syntheticpatient8	2.61E-01	1.32E-01	1.64E-01	3.08E-01	1.61E-01
Syntheticpatient9	2.97E-01	2.35E-01	8.89E-02	2.28E-01	1.49E-01
