MutationType	SV32A	SV32B	SV32C	SV32D	SV32E
clustered_del_1-10Kb	5.828699547237193e-06	5.34726511432392e-06	5.590343352650962e-06	5.5852069212960485e-06	5.171083096399798e-06
clustered_del_10-100Kb	5.828699546327698e-06	5.34726511432392e-06	5.590343350831972e-06	5.58520691947706e-06	5.171083096399798e-06
clustered_del_100Kb-1Mb	5.828699546327698e-06	5.34726511432392e-06	5.590343350831972e-06	5.58520691947706e-06	5.171083096399798e-06
clustered_del_1Mb-10Mb	5.828699546327698e-06	5.34726511432392e-06	5.590343350831972e-06	5.58520691947706e-06	5.171083096399798e-06
clustered_del_>10Mb	5.828699546327698e-06	5.34726511432392e-06	5.590343350831972e-06	5.58520691947706e-06	5.171083096399798e-06
clustered_tds_1-10Kb	5.828699547237193e-06	5.34726511432392e-06	5.590343352650962e-06	5.5852069212960485e-06	5.171083096399798e-06
clustered_tds_10-100Kb	5.828699546327698e-06	5.34726511432392e-06	5.590343350831972e-06	5.58520691947706e-06	5.171083096399798e-06
clustered_tds_100Kb-1Mb	5.828699546327698e-06	5.34726511432392e-06	5.590343350831972e-06	5.58520691947706e-06	5.171083096399798e-06
clustered_tds_1Mb-10Mb	5.828699547237193e-06	5.34726511432392e-06	5.590343352650962e-06	5.5852069212960485e-06	5.171083096399798e-06
clustered_tds_>10Mb	5.828699547237193e-06	5.34726511432392e-06	5.590343352650962e-06	5.5852069212960485e-06	5.171083096399798e-06
clustered_inv_1-10Kb	5.828699546327698e-06	5.34726511432392e-06	5.590343350831972e-06	5.58520691947706e-06	5.171083096399798e-06
clustered_inv_10-100Kb	5.828699547237193e-06	5.34726511432392e-06	5.590343352650962e-06	5.5852069212960485e-06	5.171083096399798e-06
clustered_inv_100Kb-1Mb	5.828699546327698e-06	5.34726511432392e-06	5.590343350831972e-06	5.58520691947706e-06	5.171083096399798e-06
clustered_inv_1Mb-10Mb	5.828699547237193e-06	5.34726511432392e-06	5.590343352650962e-06	5.5852069212960485e-06	5.171083096399798e-06
clustered_inv_>10Mb	5.828699546327698e-06	5.34726511432392e-06	5.590343350831972e-06	5.58520691947706e-06	5.171083096399798e-06
clustered_trans	5.828699547237193e-06	5.34726511432392e-06	5.590343352650962e-06	5.5852069212960485e-06	5.171083096399798e-06
non-clustered_del_1-10Kb	0.019681444299877497	0.01460600022598226	0.055745901245247274	0.034832293139586086	0.02402715016089311
non-clustered_del_10-100Kb	0.009976430837694046	0.11933683160219719	0.020724401859569412	0.01638287509509705	0.10569288302989639
non-clustered_del_100Kb-1Mb	0.012574677497996891	0.010257177844573022	0.06554961201741276	0.053924677214737725	0.018039159536765475
non-clustered_del_1Mb-10Mb	0.0190629591194257	0.0204945039484687	0.07073152370186415	0.08373199879367124	0.04101478069382007
non-clustered_del_>10Mb	0.783384877383709	0.5331585113823157	0.14018827166646536	0.4832733436738065	0.2707712251624762
non-clustered_tds_1-10Kb	0.002333830567021223	0.008144023588968942	0.01122843030897338	0.011174497276070186	0.011706566663795628
non-clustered_tds_10-100Kb	0.024788353839640103	0.011947452848421292	0.005143536736923031	0.021084244274137416	0.006713067661750189
non-clustered_tds_100Kb-1Mb	0.0025544813716625613	0.011040929844552507	0.018391072538643135	0.007995863421925976	0.04125269194319994
non-clustered_tds_1Mb-10Mb	0.006789263549797482	0.012904353613230602	0.020028940182063554	0.018081848841190448	0.025450823322370232
non-clustered_tds_>10Mb	0.024354038678007242	0.125577439397639	0.01786951749332767	0.012250581121940139	0.11216214278519528
non-clustered_inv_1-10Kb	5.828699547237193e-06	5.34726511432392e-06	5.590343352650962e-06	5.5852069212960485e-06	5.171083096399798e-06
non-clustered_inv_10-100Kb	5.828699547237193e-06	5.34726511432392e-06	5.590343352650962e-06	5.5852069212960485e-06	5.171083096399798e-06
non-clustered_inv_100Kb-1Mb	5.828699546327698e-06	5.34726511432392e-06	5.590343350831972e-06	5.58520691947706e-06	5.171083096399798e-06
non-clustered_inv_1Mb-10Mb	5.828699547237193e-06	5.34726511432392e-06	5.590343352650962e-06	5.5852069212960485e-06	5.171083096399798e-06
non-clustered_inv_>10Mb	5.828699547237193e-06	5.34726511432392e-06	5.590343352650962e-06	5.5852069212960485e-06	5.171083096399798e-06
non-clustered_trans	0.09437724264442801	0.13242047670924445	0.574281394983969	0.2571504809689208	0.3430609114548365
