MutationType	SV32A	SV32B	SV32C	SV32D	SV32E
clustered_del_1-10Kb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_del_10-100Kb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_del_100Kb-1Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_del_1Mb-10Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_del_>10Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_tds_1-10Kb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_tds_10-100Kb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_tds_100Kb-1Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_tds_1Mb-10Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_tds_>10Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_inv_1-10Kb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_inv_10-100Kb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_inv_100Kb-1Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_inv_1Mb-10Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_inv_>10Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
clustered_trans	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
non-clustered_del_1-10Kb	2.14E-03	1.88E-03	4.00E-03	3.29E-03	3.06E-03
non-clustered_del_10-100Kb	1.71E-03	6.24E-03	2.90E-03	2.03E-03	7.14E-03
non-clustered_del_100Kb-1Mb	1.96E-03	1.85E-03	4.74E-03	3.63E-03	2.21E-03
non-clustered_del_1Mb-10Mb	2.66E-03	2.09E-03	5.03E-03	5.27E-03	3.43E-03
non-clustered_del_>10Mb	5.56E-03	7.11E-03	6.41E-03	7.31E-03	7.50E-03
non-clustered_tds_1-10Kb	5.81E-04	1.28E-03	1.54E-03	1.47E-03	1.56E-03
non-clustered_tds_10-100Kb	1.95E-03	1.74E-03	1.05E-03	2.20E-03	1.59E-03
non-clustered_tds_100Kb-1Mb	7.45E-04	1.47E-03	2.15E-03	1.21E-03	2.89E-03
non-clustered_tds_1Mb-10Mb	1.10E-03	1.77E-03	2.04E-03	1.80E-03	2.33E-03
non-clustered_tds_>10Mb	2.30E-03	6.01E-03	2.63E-03	1.72E-03	6.89E-03
non-clustered_inv_1-10Kb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
non-clustered_inv_10-100Kb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
non-clustered_inv_100Kb-1Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
non-clustered_inv_1Mb-10Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
non-clustered_inv_>10Mb	2.28E-08	3.18E-08	3.71E-08	3.09E-08	3.88E-08
non-clustered_trans	3.66E-03	4.48E-03	8.28E-03	5.40E-03	6.21E-03
