Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
Syntheticpatient1	1.20E-01	1.76E-01	1.70E-01	2.65E-01	1.70E-01	2.21E-01
Syntheticpatient10	1.61E-01	1.84E-01	1.95E-01	1.99E-01	2.39E-01	2.36E-01
Syntheticpatient2	2.55E-01	9.19E-02	1.85E-01	2.23E-01	1.58E-01	1.20E-01
Syntheticpatient3	2.03E-01	1.21E-01	2.65E-01	1.95E-01	1.49E-01	1.70E-01
Syntheticpatient4	1.50E-01	2.33E-01	2.17E-01	1.60E-01	2.50E-01	3.05E-01
Syntheticpatient5	2.71E-01	9.14E-02	2.74E-01	2.76E-01	1.44E-01	1.31E-01
Syntheticpatient6	2.48E-01	1.72E-01	3.06E-01	1.11E-01	2.99E-01	2.15E-01
Syntheticpatient7	1.02E-01	2.56E-01	1.23E-01	6.58E-02	2.37E-01	2.26E-01
Syntheticpatient8	2.56E-01	1.42E-01	2.06E-01	1.32E-01	2.85E-01	1.28E-01
Syntheticpatient9	3.05E-01	8.74E-02	2.39E-01	2.53E-01	1.75E-01	9.79E-02
