MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
clustered_del_1-10Kb	5.826532502169357e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909708586034e-06	5.446378342185198e-06	5.192920483295893e-06
clustered_del_10-100Kb	5.826532501259862e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909709495528e-06	5.446378343094693e-06	5.192920484660135e-06
clustered_del_100Kb-1Mb	5.826532501259862e-06	5.6253293548707005e-06	5.219741413839074e-06	5.568909706767045e-06	5.446378343094693e-06	5.192920483295893e-06
clustered_del_1Mb-10Mb	5.826532500350367e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909708586034e-06	5.446378344004188e-06	5.192920484205388e-06
clustered_del_>10Mb	5.826532501259862e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909709495528e-06	5.446378344004188e-06	5.192920484205388e-06
clustered_tds_1-10Kb	5.826532501259862e-06	5.6253293548707005e-06	5.21974141292958e-06	5.5689097076765395e-06	5.446378342185198e-06	5.192920483295893e-06
clustered_tds_10-100Kb	5.826532500350367e-06	5.6253293548707005e-06	5.219741413839074e-06	5.5689097076765395e-06	5.446378344913683e-06	5.192920484205388e-06
clustered_tds_100Kb-1Mb	5.826532501259862e-06	5.6253293548707005e-06	5.21974141292958e-06	5.5689097076765395e-06	5.446378342185198e-06	5.192920483295893e-06
clustered_tds_1Mb-10Mb	5.826532502169357e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909708586034e-06	5.446378342185198e-06	5.192920483295893e-06
clustered_tds_>10Mb	5.826532502169357e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909708586034e-06	5.4463783412757035e-06	5.19292048375064e-06
clustered_inv_1-10Kb	5.826532500350367e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909708586034e-06	5.446378343094693e-06	5.192920484660135e-06
clustered_inv_10-100Kb	5.826532501259862e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909709495528e-06	5.446378344004188e-06	5.192920484205388e-06
clustered_inv_100Kb-1Mb	5.826532501259862e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909709495528e-06	5.446378343094693e-06	5.192920484660135e-06
clustered_inv_1Mb-10Mb	5.826532501259862e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909709495528e-06	5.446378344004188e-06	5.192920484205388e-06
clustered_inv_>10Mb	5.826532500350367e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909708586034e-06	5.446378344004188e-06	5.192920484205388e-06
clustered_trans	5.826532502169357e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909708586034e-06	5.446378342185198e-06	5.192920483295893e-06
non-clustered_del_1-10Kb	0.019594126056557568	0.05312102014268016	0.02452254659296906	0.014365613307708693	0.03307162939957293	0.034566664278277516
non-clustered_del_10-100Kb	0.01061441667986927	0.023609825364479895	0.13734821705208902	0.04724542935888386	0.01506962015077357	0.08859376072964732
non-clustered_del_100Kb-1Mb	0.01218494675856315	0.05378673038937642	0.017333129643177243	0.007938727454066185	0.0643653184757311	0.03535296004802892
non-clustered_del_1Mb-10Mb	0.028616039431987234	0.06728370689567874	0.019069977196470217	0.029263414415010024	0.11165908875667198	0.032690533817764586
non-clustered_del_>10Mb	0.8149092338085174	0.1130063106776425	0.5432816788607016	0.4969251844069836	0.426478184049706	0.23693683374736568
non-clustered_tds_1-10Kb	0.0028691618612389624	0.008653833039126351	0.005810819937429939	0.009840270518675724	0.01086741025279228	0.017256049281229275
non-clustered_tds_10-100Kb	0.020783845980939228	0.0045574205833957705	0.026811663047048826	0.01104307840770408	0.016174966375662445	0.007422846190925407
non-clustered_tds_100Kb-1Mb	0.0015438164704153436	0.019406059401170652	0.011737246899073978	0.021502805093512403	0.009824239318279918	0.03913802215414507
non-clustered_tds_1Mb-10Mb	0.004953257677799114	0.016668681553115905	0.02340696464614429	0.0023414029819188685	0.019523136668699544	0.0347647406787992
non-clustered_tds_>10Mb	0.013048490447707383	0.027018556313387832	0.018413482248880574	0.23321101662400878	0.01025407554134658	0.07139443081860418
non-clustered_inv_1-10Kb	5.826532501259862e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909709495528e-06	5.446378344004188e-06	5.192920484205388e-06
non-clustered_inv_10-100Kb	5.826532502169357e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909708586034e-06	5.446378342185198e-06	5.192920483295893e-06
non-clustered_inv_100Kb-1Mb	5.826532501259862e-06	5.6253293548707005e-06	5.21974141292958e-06	5.5689097076765395e-06	5.446378342185198e-06	5.192920483295893e-06
non-clustered_inv_1Mb-10Mb	5.826532501259862e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909709495528e-06	5.446378344004188e-06	5.192920484205388e-06
non-clustered_inv_>10Mb	5.826532501259862e-06	5.6253293548707005e-06	5.21974141292958e-06	5.568909709495528e-06	5.446378344004188e-06	5.192920484205388e-06
non-clustered_trans	0.07076030997780274	0.612769722700119	0.17215466252495576	0.12620610940157923	0.28259796452880276	0.40177410749459525
