MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
clustered_del_1-10Kb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_del_10-100Kb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_del_100Kb-1Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_del_1Mb-10Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_del_>10Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_tds_1-10Kb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_tds_10-100Kb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_tds_100Kb-1Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_tds_1Mb-10Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_tds_>10Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_inv_1-10Kb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_inv_10-100Kb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_inv_100Kb-1Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_inv_1Mb-10Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_inv_>10Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
clustered_trans	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
non-clustered_del_1-10Kb	2.35E-03	4.30E-03	3.18E-03	2.44E-03	3.17E-03	3.43E-03
non-clustered_del_10-100Kb	1.67E-03	3.16E-03	7.40E-03	4.26E-03	1.97E-03	6.80E-03
non-clustered_del_100Kb-1Mb	1.88E-03	4.36E-03	2.25E-03	1.94E-03	4.66E-03	3.82E-03
non-clustered_del_1Mb-10Mb	3.30E-03	5.05E-03	2.42E-03	3.53E-03	6.96E-03	3.05E-03
non-clustered_del_>10Mb	5.63E-03	5.71E-03	7.71E-03	9.62E-03	7.23E-03	7.15E-03
non-clustered_tds_1-10Kb	7.34E-04	1.25E-03	1.17E-03	1.65E-03	1.50E-03	2.08E-03
non-clustered_tds_10-100Kb	2.01E-03	1.03E-03	2.63E-03	1.57E-03	2.00E-03	1.43E-03
non-clustered_tds_100Kb-1Mb	8.54E-04	2.32E-03	1.91E-03	2.30E-03	1.45E-03	3.44E-03
non-clustered_tds_1Mb-10Mb	9.79E-04	2.02E-03	2.36E-03	6.07E-04	2.04E-03	3.20E-03
non-clustered_tds_>10Mb	1.63E-03	3.33E-03	1.95E-03	8.00E-03	1.69E-03	5.22E-03
non-clustered_inv_1-10Kb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
non-clustered_inv_10-100Kb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
non-clustered_inv_100Kb-1Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
non-clustered_inv_1Mb-10Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
non-clustered_inv_>10Mb	2.93E-08	4.65E-08	4.41E-08	4.75E-08	3.84E-08	4.98E-08
non-clustered_trans	3.45E-03	8.41E-03	5.01E-03	4.94E-03	6.13E-03	6.70E-03
