Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G
Syntheticpatient1	1.45E-01	1.58E-01	1.57E-01	2.47E-01	1.65E-01	1.30E-01	1.55E-01
Syntheticpatient10	1.44E-01	2.04E-01	2.14E-01	1.79E-01	1.86E-01	1.67E-01	1.81E-01
Syntheticpatient2	2.28E-01	2.08E-01	8.72E-02	1.36E-01	4.20E-02	8.83E-02	2.03E-01
Syntheticpatient3	1.95E-01	1.87E-01	8.46E-02	1.38E-01	2.32E-01	1.12E-01	1.32E-01
Syntheticpatient4	1.43E-01	2.51E-01	2.24E-01	2.16E-01	1.83E-01	2.27E-01	1.63E-01
Syntheticpatient5	2.56E-01	1.33E-01	1.05E-01	1.79E-01	2.57E-01	7.03E-02	2.08E-01
Syntheticpatient6	2.04E-01	2.98E-01	1.89E-01	1.16E-01	2.04E-01	1.57E-01	2.56E-01
Syntheticpatient7	8.77E-02	1.77E-01	2.45E-01	8.30E-02	5.54E-02	2.39E-01	1.08E-01
Syntheticpatient8	2.25E-01	2.23E-01	2.13E-01	3.16E-02	7.57E-02	1.15E-01	2.72E-01
Syntheticpatient9	2.84E-01	2.41E-01	7.55E-02	1.14E-01	5.40E-02	6.96E-02	2.72E-01
