MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G
clustered_del_1-10Kb	5.899141978488842e-06	5.476627320583349e-06	5.3178653034322566e-06	5.316702912296056e-06	4.839902352243938e-06	5.739623585213849e-06	5.545174410658483e-06
clustered_del_10-100Kb	5.899141984855305e-06	5.476627305974147e-06	5.317865286649237e-06	5.31670290820333e-06	4.839902346782168e-06	5.739623603403743e-06	5.545174462044934e-06
clustered_del_100Kb-1Mb	5.899142006683178e-06	5.476627278217517e-06	5.317865207111083e-06	5.316702866821321e-06	4.8399023689637585e-06	5.739623646149994e-06	5.545174629164586e-06
clustered_del_1Mb-10Mb	5.8991419684844e-06	5.476627332771933e-06	5.3178653473722194e-06	5.316702936852413e-06	4.839902334043747e-06	5.73962356611446e-06	5.545174320192182e-06
clustered_del_>10Mb	5.899141989402778e-06	5.4766273055594784e-06	5.317865269688582e-06	5.3167028904681834e-06	4.839902363044909e-06	5.739623607951216e-06	5.5451744991921086e-06
clustered_tds_1-10Kb	5.899141944837538e-06	5.476627355542773e-06	5.317865413935863e-06	5.316702980962906e-06	4.8399023087474815e-06	5.739623529734672e-06	5.545174164554902e-06
clustered_tds_10-100Kb	5.8991419803078315e-06	5.4766273122923706e-06	5.317865290528801e-06	5.316702909567572e-06	4.8399023485030695e-06	5.7396235979467745e-06	5.545174435669588e-06
clustered_tds_100Kb-1Mb	5.8991419803078315e-06	5.47662731374593e-06	5.317865293122282e-06	5.316702910477067e-06	4.839902345063626e-06	5.739623599765764e-06	5.545174435953805e-06
clustered_tds_1Mb-10Mb	5.899141984855305e-06	5.4766273114524866e-06	5.31786528661371e-06	5.316702905929593e-06	4.839902346894911e-06	5.739623604313238e-06	5.54517445050572e-06
clustered_tds_>10Mb	5.899141981217326e-06	5.476627315592841e-06	5.317865297556068e-06	5.316702910477067e-06	4.8399023468744e-06	5.739623598856269e-06	5.545174431491597e-06
clustered_inv_1-10Kb	5.899141921190676e-06	5.47662738873983e-06	5.3178654940069236e-06	5.316703019616431e-06	4.839902296759294e-06	5.739623476074485e-06	5.545173993740428e-06
clustered_inv_10-100Kb	5.899141984855305e-06	5.476627309630777e-06	5.317865280325407e-06	5.316702902291614e-06	4.839902351794048e-06	5.7396236052227324e-06	5.5451744624996814e-06
clustered_inv_100Kb-1Mb	5.899141967574906e-06	5.476627333256934e-06	5.317865342902905e-06	5.3167029391261495e-06	4.839902334137061e-06	5.7396235679334495e-06	5.545174315729974e-06
