Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
Syntheticpatient1	1.30E-01	1.06E-01	1.99E-01	2.36E-01	1.36E-01	1.19E-01	1.48E-01	1.44E-01
Syntheticpatient10	1.72E-01	1.48E-01	1.59E-01	1.62E-01	1.27E-01	2.15E-01	1.73E-01	1.79E-01
Syntheticpatient2	2.24E-01	2.12E-01	2.16E-01	1.09E-01	8.85E-02	1.22E-01	5.81E-02	5.40E-02
Syntheticpatient3	1.66E-01	1.63E-01	1.56E-01	1.28E-01	1.18E-01	1.31E-01	2.18E-01	7.52E-02
Syntheticpatient4	1.82E-01	1.31E-01	1.42E-01	2.24E-01	2.02E-01	2.19E-01	1.66E-01	2.16E-01
Syntheticpatient5	1.49E-01	2.18E-01	2.35E-01	1.60E-01	6.03E-02	8.56E-02	2.38E-01	9.16E-02
Syntheticpatient6	2.63E-01	1.97E-01	1.82E-01	1.10E-01	1.56E-01	2.60E-01	1.74E-01	1.11E-01
Syntheticpatient7	1.20E-01	9.72E-02	7.19E-02	9.86E-02	2.19E-01	1.94E-01	3.20E-02	2.14E-01
Syntheticpatient8	2.14E-01	2.37E-01	1.31E-01	5.73E-02	9.36E-02	1.97E-01	7.41E-02	1.79E-01
Syntheticpatient9	2.66E-01	2.42E-01	2.56E-01	9.63E-02	8.15E-02	1.34E-01	1.85E-02	4.01E-02
