MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
clustered_del_1-10Kb	5.682073020238931e-06	5.738693900184444e-06	5.6771394812358265e-06	5.2611307117872905e-06	5.7834399388525524e-06	5.462527245153837e-06	4.79441524845625e-06	5.091512514609106e-06
clustered_del_10-100Kb	5.68207458525194e-06	5.738594810736686e-06	5.677141254750495e-06	5.261087863822117e-06	5.783547370413089e-06	5.4625764073898965e-06	4.794493532504768e-06	5.090968799471031e-06
clustered_del_100Kb-1Mb	5.6820286550873785e-06	5.7387031979487805e-06	5.677121946177977e-06	5.260998503399057e-06	5.783555303707999e-06	5.46254290654069e-06	4.794414449776794e-06	5.091445477737133e-06
clustered_del_1Mb-10Mb	5.682098989723272e-06	5.738697664810388e-06	5.6771409609837065e-06	5.261175749723342e-06	5.783388585768989e-06	5.4623649886487155e-06	4.794429237537173e-06	5.0915279385174454e-06
clustered_del_>10Mb	5.682047084405895e-06	5.738696845355662e-06	5.6771438340774694e-06	5.261039319567274e-06	5.783508542492654e-06	5.462424303949831e-06	4.794400759162835e-06	5.091502893434749e-06
clustered_tds_1-10Kb	5.682075707795775e-06	5.738700845085987e-06	5.677144219703223e-06	5.2611129055863205e-06	5.783438262142227e-06	5.462364220403692e-06	4.79441361002986e-06	5.0915424852043934e-06
clustered_tds_10-100Kb	5.682070158059105e-06	5.7387020406167725e-06	5.677135638620712e-06	5.261115436585756e-06	5.7834489543324705e-06	5.462486892606755e-06	4.794414099857622e-06	5.091518831538208e-06
clustered_tds_100Kb-1Mb	5.682059906916947e-06	5.7386933535781285e-06	5.677128734646431e-06	5.261074945796345e-06	5.783489783254936e-06	5.46248002334071e-06	4.794429427049541e-06	5.091437548008048e-06
clustered_tds_1Mb-10Mb	5.682033255538954e-06	5.73873962775906e-06	5.677082535953559e-06	5.260990502371659e-06	5.783544790858741e-06	5.462469224291056e-06	4.79445148095055e-06	5.091477433517581e-06
clustered_tds_>10Mb	5.682102131800093e-06	5.738669389529604e-06	5.6771473083472305e-06	5.261198331474925e-06	5.78339706044062e-06	5.462493859219819e-06	4.794435524843852e-06	5.091411985935189e-06
clustered_inv_1-10Kb	5.682056182763517e-06	5.738684164725782e-06	5.677163122641104e-06	5.261072046281073e-06	5.78348293373665e-06	5.462425411192129e-06	4.794386413690459e-06	5.091520901261527e-06
clustered_inv_10-100Kb	5.682060107005782e-06	5.738686522136049e-06	5.677163789300721e-06	5.261084270312615e-06	5.78347075139618e-06	5.46242127674379e-06	4.794384434052617e-06	5.0915375657645845e-06
clustered_inv_100Kb-1Mb	5.68205012962153e-06	5.7386338241940394e-06	5.6772317608420054e-06	5.261038635200939e-06	5.783508765318856e-06	5.462253734581424e-06	4.794328742466684e-06	5.091505142372861e-06
clustered_inv_1Mb-10Mb	5.6820761382141425e-06	5.738695129593907e-06	5.677135534028821e-06	5.261108294860302e-06	5.783448717920692e-06	5.462379874303202e-06	4.794431372558191e-06	5.091483410662379e-06
clustered_inv_>10Mb	5.682075985191659e-06	5.738694898127505e-06	5.677150390624774e-06	5.261131783935915e-06	5.783432783687203e-06	5.462454483767587e-06	4.794400598218665e-06	5.0915399384216506e-06
clustered_trans	5.682069868157669e-06	5.738702290045694e-06	5.677155521993882e-06	5.261103262182037e-06	5.783441348285123e-06	5.462356902923737e-06	4.794391904689143e-06	5.091591907830634e-06
non-clustered_del_1-10Kb	0.04531599308042843	0.020269116418582086	0.017328983934873202	0.02234855326980711	0.05506523635616199	0.04627707639407649	0.0070896563037684945	0.032637240602057575
non-clustered_del_10-100Kb	0.009114097102961254	0.0059564158376387046	0.013216715677935153	0.04164866006345251	0.020929302762660335	0.01499516179354882	0.31022795825218086	0.020597332101412923
non-clustered_del_100Kb-1Mb	0.014763556151425525	0.020580930218554387	0.009998499993830857	0.008129296615530458	0.041740588703818145	0.11637432175373047	0.00949595615551216	0.045111079639529865
non-clustered_del_1Mb-10Mb	0.02081645155198227	0.06195213070806974	0.012587783097742264	0.02748264724418559	0.011195321320979891	0.022962953886805408	0.02375777586373665	0.21725559402605762
non-clustered_del_>10Mb	0.6243507880568504	0.8245530389323831	0.6660095042865724	0.22033447579823787	0.11366030154553333	0.3892913072863231	0.4174943291208059	0.19337211990353453
non-clustered_tds_1-10Kb	0.006696206918539948	0.0029379095045867394	0.0068063213059488085	0.013338912157595114	0.0062378063762194855	0.018558588981937168	0.012041947847800457	0.013323445597165392
