MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
clustered_del_1-10Kb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
clustered_del_10-100Kb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.80E-08	6.83E-08	7.78E-08
clustered_del_100Kb-1Mb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
clustered_del_1Mb-10Mb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.80E-08	6.83E-08	7.78E-08
clustered_del_>10Mb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
clustered_tds_1-10Kb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.80E-08	6.83E-08	7.78E-08
clustered_tds_10-100Kb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
clustered_tds_100Kb-1Mb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
clustered_tds_1Mb-10Mb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
clustered_tds_>10Mb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
clustered_inv_1-10Kb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
clustered_inv_10-100Kb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
clustered_inv_100Kb-1Mb	5.43E-08	5.52E-08	5.92E-08	8.28E-08	7.23E-08	6.80E-08	6.83E-08	7.78E-08
clustered_inv_1Mb-10Mb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.80E-08	6.83E-08	7.78E-08
clustered_inv_>10Mb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
clustered_trans	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.80E-08	6.83E-08	7.78E-08
non-clustered_del_1-10Kb	4.41E-03	3.09E-03	2.50E-03	3.78E-03	4.63E-03	4.38E-03	2.20E-03	4.38E-03
non-clustered_del_10-100Kb	1.35E-03	1.32E-03	1.83E-03	4.02E-03	2.97E-03	1.84E-03	8.94E-03	2.79E-03
non-clustered_del_100Kb-1Mb	1.92E-03	2.75E-03	1.77E-03	2.31E-03	4.10E-03	7.83E-03	1.78E-03	4.16E-03
non-clustered_del_1Mb-10Mb	2.82E-03	5.39E-03	1.94E-03	3.04E-03	1.69E-03	2.62E-03	3.06E-03	9.52E-03
non-clustered_del_>10Mb	7.38E-03	7.11E-03	7.78E-03	7.27E-03	5.44E-03	7.50E-03	1.01E-02	6.76E-03
non-clustered_tds_1-10Kb	1.53E-03	8.70E-04	1.39E-03	2.34E-03	1.28E-03	2.27E-03	1.97E-03	1.92E-03
non-clustered_tds_10-100Kb	3.79E-03	1.71E-03	3.45E-03	2.53E-03	2.09E-03	2.85E-03	8.94E-04	1.15E-03
non-clustered_tds_100Kb-1Mb	2.24E-03	1.02E-03	2.09E-03	3.69E-03	2.17E-03	1.89E-03	1.86E-03	3.30E-03
non-clustered_tds_1Mb-10Mb	2.05E-03	1.16E-03	1.91E-03	4.04E-03	2.97E-03	2.93E-03	2.28E-03	2.92E-03
non-clustered_tds_>10Mb	1.34E-03	1.07E-03	6.74E-03	1.04E-02	1.56E-03	1.50E-03	3.63E-03	1.73E-03
non-clustered_inv_1-10Kb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
non-clustered_inv_10-100Kb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.80E-08	6.83E-08	7.78E-08
non-clustered_inv_100Kb-1Mb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.80E-08	6.83E-08	7.78E-08
non-clustered_inv_1Mb-10Mb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.80E-08	6.83E-08	7.78E-08
non-clustered_inv_>10Mb	5.43E-08	5.51E-08	5.92E-08	8.28E-08	7.23E-08	6.79E-08	6.83E-08	7.78E-08
non-clustered_trans	5.28E-03	2.54E-03	3.63E-03	8.60E-03	8.34E-03	7.19E-03	5.98E-03	8.60E-03
