Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	18	0.995	2.854	15.856%	1.029	11.096%	0.08951	0.995
Syntheticpatient10	18	0.993	2.909	16.161%	1.152	11.882%	0.12272	0.992
Syntheticpatient2	15	0.996	3.366	22.44%	1.336	12.681%	0.13029	0.996
Syntheticpatient3	16	0.996	3.512	21.95%	1.263	12.506%	0.11718	0.997
Syntheticpatient4	21	0.995	2.752	13.105%	1.109	10.166%	0.08321	0.994
Syntheticpatient5	20	0.998	3.115	15.575%	1.065	8.367%	0.0816	0.998
Syntheticpatient6	20	0.996	2.738	13.69%	0.968	8.49%	0.07846	0.996
Syntheticpatient7	16	0.996	2.623	16.394%	1.052	10.968%	0.08864	0.996
Syntheticpatient8	17	0.997	3.322	19.541%	1.327	12.064%	0.10368	0.998
Syntheticpatient9	17	0.997	3.755	22.088%	1.479	11.88%	0.11905	0.997
