Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I
Syntheticpatient1	1.17E-01	1.50E-01	1.19E-01	9.98E-02	2.04E-01	1.35E-01	1.46E-01	1.06E-01	1.20E-01
Syntheticpatient10	9.88E-02	1.37E-01	1.58E-01	1.38E-01	1.35E-01	1.41E-01	1.76E-01	1.76E-01	1.94E-01
Syntheticpatient2	2.09E-01	7.90E-02	1.60E-01	1.71E-01	1.27E-01	3.80E-02	3.33E-02	1.04E-01	1.56E-01
Syntheticpatient3	1.50E-01	1.13E-01	1.43E-01	1.48E-01	1.15E-01	1.99E-01	4.63E-02	1.07E-01	1.44E-01
Syntheticpatient4	1.40E-01	1.93E-01	1.21E-01	1.39E-01	1.23E-01	1.40E-01	1.80E-01	2.19E-01	2.18E-01
Syntheticpatient5	2.16E-01	6.10E-02	2.05E-01	1.37E-01	1.77E-01	1.99E-01	1.15E-01	6.10E-02	1.03E-01
Syntheticpatient6	1.80E-01	1.10E-01	1.69E-01	2.43E-01	3.49E-02	1.62E-01	8.25E-02	1.73E-01	2.34E-01
Syntheticpatient7	7.49E-02	2.04E-01	1.01E-01	8.20E-02	7.20E-03	1.13E-02	1.67E-01	2.17E-01	1.62E-01
Syntheticpatient8	1.53E-01	9.67E-02	2.30E-01	1.80E-01	8.94E-03	2.89E-02	2.09E-01	1.05E-01	1.52E-01
Syntheticpatient9	2.30E-01	7.02E-02	1.85E-01	2.68E-01	1.20E-01	2.49E-02	5.20E-02	7.98E-02	1.54E-01
