MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I
clustered_del_1-10Kb	5.952533972228925e-06	5.873181439693445e-06	5.42077735408676e-06	5.489498814018305e-06	5.5656903786580704e-06	4.596551080618241e-06	5.161866690884614e-06	5.598572615074942e-06	5.542336176370571e-06
clustered_del_10-100Kb	5.952289932747929e-06	5.872128541940207e-06	5.419860122367859e-06	5.491037774351696e-06	5.5635912960160514e-06	4.5953102762522035e-06	5.16102680938246e-06	5.60016279203729e-06	5.543043970701777e-06
clustered_del_100Kb-1Mb	5.953382449961572e-06	5.870903407624155e-06	5.418092081701044e-06	5.488613883588926e-06	5.5635171582817875e-06	4.6056273964233575e-06	5.162176188838678e-06	5.595526521775709e-06	5.5403533438194216e-06
clustered_del_1Mb-10Mb	5.952573094595155e-06	5.872791760965021e-06	5.419542447943071e-06	5.489322270963907e-06	5.564434733703671e-06	4.59701842774416e-06	5.160454551105829e-06	5.599824935170425e-06	5.54280434594593e-06
clustered_del_>10Mb	5.952397930694889e-06	5.8735081983862556e-06	5.420691518225214e-06	5.487194992699699e-06	5.562468899626501e-06	4.5932240794053105e-06	5.1642879670363664e-06	5.59733552162768e-06	5.541589644215489e-06
clustered_tds_1-10Kb	5.951860222653538e-06	5.875201336597868e-06	5.420646236961804e-06	5.489330063884438e-06	5.5628570968635526e-06	4.595710935012231e-06	5.161785868213083e-06	5.5981987479735795e-06	5.541527268129671e-06
clustered_tds_10-100Kb	5.9525144080562344e-06	5.873572228084789e-06	5.420544864849293e-06	5.488819790240655e-06	5.562551437134827e-06	4.595401409134072e-06	5.161654476454863e-06	5.598307432341472e-06	5.542960301446409e-06
clustered_tds_100Kb-1Mb	5.952657427260471e-06	5.873446136607431e-06	5.421270352526109e-06	5.488358034124644e-06	5.562339276047353e-06	4.5940931829864815e-06	5.162030287612248e-06	5.59774567188741e-06	5.542905524841675e-06
clustered_tds_1Mb-10Mb	5.951975044965938e-06	5.872022579337509e-06	5.421843596415593e-06	5.485712353458098e-06	5.562902498291129e-06	4.590147875184622e-06	5.164653870734846e-06	5.59783724711528e-06	5.5413828405080804e-06
clustered_tds_>10Mb	5.951003187103038e-06	5.872352567571511e-06	5.420266936603333e-06	5.4896180775151605e-06	5.564472074195029e-06	4.594754528548585e-06	5.163343419168769e-06	5.5998288298354985e-06	5.539185531534175e-06
clustered_inv_1-10Kb	5.953238712529858e-06	5.872989618495788e-06	5.42260667166967e-06	5.482608801376103e-06	5.5609717705660565e-06	4.59306677354597e-06	5.1669344547434055e-06	5.592442121447723e-06	5.5405534042455505e-06
clustered_inv_10-100Kb	5.952123868580582e-06	5.8747163568738766e-06	5.419490929143218e-06	5.491598982498317e-06	5.563404791717478e-06	4.59800936980412e-06	5.15987544100592e-06	5.59977702203516e-06	5.542170620544719e-06
clustered_inv_100Kb-1Mb	5.951933716630157e-06	5.872371641661185e-06	5.42006704082828e-06	5.489117889386023e-06	5.563457852934448e-06	4.596765734244834e-06	5.161815822782618e-06	5.599272885879757e-06	5.541454841918278e-06
