MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I
clustered_del_1-10Kb	8.05E-08	1.09E-07	8.52E-08	9.71E-08	1.09E-07	9.37E-08	1.70E-07	1.22E-07	9.72E-08
clustered_del_10-100Kb	8.04E-08	1.09E-07	8.52E-08	9.71E-08	1.09E-07	9.38E-08	1.70E-07	1.22E-07	9.73E-08
clustered_del_100Kb-1Mb	8.03E-08	1.09E-07	8.52E-08	9.73E-08	1.09E-07	9.36E-08	1.70E-07	1.22E-07	9.74E-08
clustered_del_1Mb-10Mb	8.04E-08	1.09E-07	8.52E-08	9.72E-08	1.09E-07	9.38E-08	1.70E-07	1.22E-07	9.73E-08
clustered_del_>10Mb	8.04E-08	1.09E-07	8.50E-08	9.69E-08	1.09E-07	9.30E-08	1.70E-07	1.22E-07	9.71E-08
clustered_tds_1-10Kb	8.05E-08	1.09E-07	8.52E-08	9.71E-08	1.09E-07	9.37E-08	1.70E-07	1.22E-07	9.73E-08
clustered_tds_10-100Kb	8.04E-08	1.09E-07	8.51E-08	9.70E-08	1.09E-07	9.34E-08	1.70E-07	1.22E-07	9.73E-08
clustered_tds_100Kb-1Mb	8.05E-08	1.09E-07	8.51E-08	9.69E-08	1.09E-07	9.33E-08	1.70E-07	1.22E-07	9.74E-08
clustered_tds_1Mb-10Mb	8.04E-08	1.09E-07	8.50E-08	9.69E-08	1.09E-07	9.28E-08	1.70E-07	1.22E-07	9.72E-08
clustered_tds_>10Mb	8.04E-08	1.09E-07	8.52E-08	9.71E-08	1.09E-07	9.35E-08	1.70E-07	1.22E-07	9.73E-08
clustered_inv_1-10Kb	8.03E-08	1.09E-07	8.50E-08	9.68E-08	1.09E-07	9.22E-08	1.70E-07	1.22E-07	9.72E-08
clustered_inv_10-100Kb	8.05E-08	1.09E-07	8.53E-08	9.72E-08	1.09E-07	9.41E-08	1.70E-07	1.23E-07	9.73E-08
clustered_inv_100Kb-1Mb	8.04E-08	1.09E-07	8.52E-08	9.71E-08	1.09E-07	9.34E-08	1.70E-07	1.22E-07	9.73E-08
clustered_inv_1Mb-10Mb	8.04E-08	1.09E-07	8.52E-08	9.72E-08	1.09E-07	9.36E-08	1.70E-07	1.22E-07	9.72E-08
clustered_inv_>10Mb	8.04E-08	1.09E-07	8.52E-08	9.72E-08	1.09E-07	9.37E-08	1.70E-07	1.22E-07	9.73E-08
clustered_trans	8.04E-08	1.09E-07	8.51E-08	9.70E-08	1.09E-07	9.31E-08	1.70E-07	1.22E-07	9.73E-08
non-clustered_del_1-10Kb	5.24E-03	3.56E-03	6.08E-04	2.49E-03	2.47E-03	2.49E-03	2.71E-03	6.45E-03	5.95E-03
non-clustered_del_10-100Kb	1.67E-03	2.85E-03	2.42E-03	2.51E-03	3.38E-03	9.28E-03	1.89E-03	2.63E-03	1.77E-03
non-clustered_del_100Kb-1Mb	5.71E-04	3.00E-03	6.12E-03	1.85E-03	1.95E-03	2.85E-03	5.83E-03	6.08E-03	4.27E-03
non-clustered_del_1Mb-10Mb	6.94E-04	2.91E-03	5.29E-03	1.29E-03	2.53E-03	1.66E-03	9.33E-03	1.97E-03	1.83E-03
non-clustered_del_>10Mb	7.69E-03	4.92E-03	8.64E-03	8.05E-03	9.58E-03	9.87E-03	8.08E-03	6.84E-03	7.24E-03
non-clustered_tds_1-10Kb	4.64E-04	1.85E-03	1.72E-03	1.21E-03	2.19E-03	2.13E-03	2.39E-03	2.41E-03	1.81E-03
non-clustered_tds_10-100Kb	2.08E-03	1.73E-03	1.40E-03	4.73E-03	1.40E-03	2.93E-03	2.67E-03	2.83E-03	1.97E-03
non-clustered_tds_100Kb-1Mb	1.49E-03	3.75E-03	1.57E-03	1.91E-03	4.13E-03	2.68E-03	3.45E-03	1.99E-03	2.20E-03
non-clustered_tds_1Mb-10Mb	1.88E-03	2.86E-03	1.23E-03	3.28E-03	1.96E-03	3.11E-03	2.56E-03	3.51E-03	3.52E-03
non-clustered_tds_>10Mb	4.26E-03	2.95E-03	1.32E-03	1.89E-03	8.38E-03	3.74E-03	2.50E-03	2.26E-03	2.26E-03
non-clustered_inv_1-10Kb	8.04E-08	1.09E-07	8.51E-08	9.70E-08	1.09E-07	9.33E-08	1.70E-07	1.22E-07	9.74E-08
non-clustered_inv_10-100Kb	8.04E-08	1.09E-07	8.51E-08	9.70E-08	1.09E-07	9.33E-08	1.70E-07	1.22E-07	9.73E-08
non-clustered_inv_100Kb-1Mb	8.04E-08	1.09E-07	8.52E-08	9.72E-08	1.09E-07	9.38E-08	1.70E-07	1.22E-07	9.73E-08
non-clustered_inv_1Mb-10Mb	8.04E-08	1.09E-07	8.52E-08	9.71E-08	1.09E-07	9.35E-08	1.70E-07	1.22E-07	9.74E-08
non-clustered_inv_>10Mb	8.04E-08	1.09E-07	8.51E-08	9.70E-08	1.09E-07	9.31E-08	1.70E-07	1.22E-07	9.74E-08
non-clustered_trans	2.57E-03	8.20E-03	3.40E-03	5.00E-03	6.78E-03	6.41E-03	8.07E-03	7.38E-03	6.93E-03
