Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,28.95%,38.7%,68.02%,26.22%,54.0,0.2084,0.324,0.038,0.149,0.958,0.836
2,0.52,0.27,NO,N/A,17.53%,26.32%,37.48%,15.62%,28.16,0.1699,0.2474,0.014,0.035,0.984,0.961
3,0.28,-0.16,NO,N/A,14.87%,25.91%,30.1%,14.19%,21.65,0.153,0.2182,0.01,0.023,0.989,0.974
4,0.18,-0.22,NO,N/A,12.79%,20.96%,30.07%,12.65%,17.33,0.1316,0.1902,0.007,0.011,0.992,0.988
5,0.08,-0.26,NO,N/A,12.42%,22.23%,28.52%,11.5%,17.57,0.1228,0.1605,0.006,0.015,0.993,0.983
6,0.04,-0.28,NO,N/A,11.68%,19.49%,26.91%,11.01%,16.54,0.1176,0.1449,0.005,0.008,0.995,0.991
7,0.02,-0.38,NO,N/A,10.19%,17.34%,22.19%,10.85%,12.03,0.1032,0.1312,0.004,0.007,0.996,0.992
8,0.0,-0.24,NO,N/A,10.98%,16.28%,22.44%,11.49%,12.68,0.1014,0.1303,0.004,0.007,0.996,0.992
9,-0.02,-0.26,NO,N/A,10.9%,17.17%,21.14%,11.62%,13.63,0.0898,0.1126,0.004,0.007,0.996,0.992
10,-0.01,-0.46,NO,N/A,8.58%,13.58%,19.36%,8.1%,12.68,0.0711,0.1045,0.002,0.004,0.997,0.995
