MutationType	Syntheticpatient1	Syntheticpatient10	Syntheticpatient2	Syntheticpatient3	Syntheticpatient4	Syntheticpatient5	Syntheticpatient6	Syntheticpatient7	Syntheticpatient8	Syntheticpatient9
clustered_del_1-10Kb	0	0	0	0	0	0	0	0	0	0
clustered_del_10-100Kb	0	0	0	0	0	0	0	0	0	0
clustered_del_100Kb-1Mb	0	0	0	0	0	0	0	0	0	0
clustered_del_1Mb-10Mb	0	0	0	0	0	0	0	0	0	0
clustered_del_>10Mb	0	0	0	0	0	0	0	0	0	0
clustered_tds_1-10Kb	0	0	0	0	0	0	0	0	0	0
clustered_tds_10-100Kb	0	0	0	0	0	0	0	0	0	0
clustered_tds_100Kb-1Mb	0	0	0	0	0	0	0	0	0	0
clustered_tds_1Mb-10Mb	0	0	0	0	0	0	0	0	0	0
clustered_tds_>10Mb	0	0	0	0	0	0	0	0	0	0
clustered_inv_1-10Kb	0	0	0	0	0	0	0	0	0	0
clustered_inv_10-100Kb	0	0	0	0	0	0	0	0	0	0
clustered_inv_100Kb-1Mb	0	0	0	0	0	0	0	0	0	0
clustered_inv_1Mb-10Mb	0	0	0	0	0	0	0	0	0	0
clustered_inv_>10Mb	0	0	0	0	0	0	0	0	0	0
clustered_trans	0	0	0	0	0	0	0	0	0	0
non-clustered_del_1-10Kb	0	0	1	0	1	0	1	1	0	0
non-clustered_del_10-100Kb	1	1	0	2	1	2	1	0	0	0
non-clustered_del_100Kb-1Mb	0	1	0	0	0	0	1	1	1	0
non-clustered_del_1Mb-10Mb	1	1	0	0	1	1	0	1	2	0
non-clustered_del_>10Mb	7	8	10	9	8	12	10	5	10	12
non-clustered_tds_1-10Kb	0	1	0	0	0	0	0	0	0	0
non-clustered_tds_10-100Kb	0	0	0	0	0	0	1	0	0	1
non-clustered_tds_100Kb-1Mb	1	0	0	0	1	0	0	0	0	0
non-clustered_tds_1Mb-10Mb	0	0	0	0	1	0	1	0	0	0
non-clustered_tds_>10Mb	3	1	1	1	1	2	0	0	0	1
non-clustered_inv_1-10Kb	0	0	0	0	0	0	0	0	0	0
non-clustered_inv_10-100Kb	0	0	0	0	0	0	0	0	0	0
non-clustered_inv_100Kb-1Mb	0	0	0	0	0	0	0	0	0	0
non-clustered_inv_1Mb-10Mb	0	0	0	0	0	0	0	0	0	0
non-clustered_inv_>10Mb	0	0	0	0	0	0	0	0	0	0
non-clustered_trans	5	5	3	4	7	3	5	8	4	3
