Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
Syntheticpatient1	2.44E-01	8.64E-02	8.83E-02	3.15E-01	1.38E-01	2.52E-01	1.98E-01	8.30E-02	1.99E-01	6.05E-02
Syntheticpatient10	1.25E-01	1.36E-01	8.47E-02	1.15E-02	1.67E-01	1.28E-01	1.65E-01	2.72E-01	3.25E-01	1.32E-01
Syntheticpatient2	2.70E-01	4.76E-02	2.15E-01	2.22E-01	1.65E-01	2.99E-01	1.63E-01	1.24E-01	1.95E-01	1.83E-01
Syntheticpatient3	1.38E-01	3.29E-01	2.64E-01	1.06E-02	1.37E-01	2.24E-01	1.95E-01	8.26E-02	1.01E-01	2.87E-01
Syntheticpatient4	2.37E-01	3.37E-01	5.99E-03	1.22E-01	2.33E-01	3.52E-01	2.26E-01	7.51E-02	2.05E-01	8.59E-02
Syntheticpatient5	1.79E-01	2.68E-01	8.51E-02	0.00E+00	1.97E-01	2.89E-01	2.93E-01	7.58E-02	1.52E-01	2.36E-01
Syntheticpatient6	1.20E-01	1.25E-01	1.20E-01	1.81E-01	1.03E-01	1.17E-01	1.46E-01	2.87E-01	1.33E-01	2.64E-01
Syntheticpatient7	1.14E-01	4.77E-02	2.77E-01	1.78E-01	3.43E-01	2.31E-01	9.53E-02	9.18E-02	1.68E-01	2.08E-01
Syntheticpatient8	3.15E-01	1.39E-01	1.28E-01	1.80E-01	1.10E-01	2.63E-01	8.36E-02	7.59E-02	1.79E-01	1.50E-01
Syntheticpatient9	1.08E-01	1.50E-01	3.48E-01	2.42E-01	5.04E-02	1.19E-01	3.74E-01	1.47E-01	5.62E-02	2.80E-01
