MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
0:homdel:0-100kb	3.3240209917306636e-06	3.7472902039995923e-06	3.482562725476683e-06	3.7312328957664144e-06	3.91542679957607e-06	3.5869264525882904e-06	4.0329622902766015e-06	4.098942299378116e-06	3.873575761078193e-06	3.832208985326297e-06
0:homdel:100kb-1Mb	3.3257636040898356e-06	3.7458560900114732e-06	3.4722795599933916e-06	3.7300413813416066e-06	3.932937707263085e-06	3.5840319991131687e-06	4.032813975945538e-06	4.099999784736517e-06	3.8685777593235725e-06	3.8392088495356465e-06
0:homdel:>1Mb	3.3282130616761017e-06	3.7339973411103368e-06	3.489343740061061e-06	3.7236113959100282e-06	3.9257790427068665e-06	3.580674254828331e-06	4.03963954234731e-06	4.097144370156876e-06	3.867086374149862e-06	3.836415349917077e-06
1:LOH:0-100kb	0.025166557989971864	0.0005366036918857648	0.0030689196475038203	0.016323904322719983	0.0012588495008786808	0.00821351523434196	0.009811461732403891	0.06418611969056104	0.2091049514979741	0.011139164224094089
1:LOH:100kb-1Mb	3.328201315981283e-06	3.7317263663355567e-06	3.479961855612657e-06	3.7451978561820223e-06	3.915252342984762e-06	3.576543577955338e-06	4.029853767926203e-06	4.1016480717131715e-06	3.872630504409483e-06	3.839111810401349e-06
1:LOH:1Mb-10Mb	0.042004559762015004	0.0028758272061033094	0.04052074217527347	0.38984774044025106	0.035296221724037666	0.028169200724611154	0.04120022083745715	0.03458745106177335	0.015774788942696134	0.026898798145797043
1:LOH:10Mb-40Mb	0.05572368336647097	0.049519179849294555	0.5235635493850131	0.08233429492440957	0.10761151613688798	0.06901541618422989	0.13054617378149116	0.07559018011553634	0.06056614389174372	0.187461476432134
1:LOH:>40Mb	0.05623996871924223	0.5587428092956543	0.06782959417687794	0.04131550237929565	0.05243728443147046	0.0987399242590281	0.17373532772755157	0.07586283306282143	0.05724306664976624	0.14204342143107962
2:LOH:0-100kb	3.325126432891015e-06	3.7416304216668746e-06	3.496980475722817e-06	3.7248619082230284e-06	3.923957702134604e-06	3.586147889447222e-06	4.025790892073631e-06	4.098767230279346e-06	3.872639867028859e-06	3.8307023134951795e-06
2:LOH:100kb-1Mb	3.3251192350477732e-06	3.7407027910831355e-06	3.5009215569095843e-06	3.729216759125472e-06	3.927049144720753e-06	3.587167435428862e-06	4.028481670463327e-06	4.096061008768753e-06	3.876006396729333e-06	3.83242903047279e-06
2:LOH:1Mb-10Mb	3.326972999320623e-06	3.7397046402519794e-06	3.490836295461922e-06	3.730312011861025e-06	3.922067886746596e-06	3.588953683966667e-06	4.026824217834146e-06	4.102411141138888e-06	3.870599939573046e-06	3.82982598661781e-06
2:LOH:10Mb-40Mb	3.3264217204064293e-06	3.7372212493968657e-06	3.5005461382239297e-06	3.7283280510147563e-06	3.9207195525669354e-06	3.5821539554470315e-06	4.036279995961403e-06	4.095850351383317e-06	3.869797867228358e-06	3.83130252083011e-06
2:LOH:>40Mb	3.3251196121954026e-06	3.743572513487151e-06	3.4944342127840717e-06	3.724659471893402e-06	3.9242506302730314e-06	3.58575148188045e-06	4.030857617673648e-06	4.100645697658218e-06	3.868928767586709e-06	3.83054905074462e-06
3-4:LOH:0-100kb	3.3286190257345814e-06	3.7405361617463815e-06	3.494246634602537e-06	3.735608850045493e-06	3.915477219056142e-06	3.5821054989108037e-06	4.031690073830822e-06	4.102865993462197e-06	3.865156662135562e-06	3.8276709369294e-06
3-4:LOH:100kb-1Mb	3.325415355288813e-06	3.738338916491499e-06	3.4897052838841834e-06	3.7300479907651326e-06	3.921737831653749e-06	3.584982303716622e-06	4.030800760318983e-06	4.097797032606963e-06	3.875525660493376e-06	3.831033142962875e-06
3-4:LOH:1Mb-10Mb	3.3260240461869806e-06	3.747411897062063e-06	3.4735889935973436e-06	3.73189043875052e-06	3.921331020329821e-06	3.5916017298260882e-06	4.020831650031009e-06	4.109081335031982e-06	3.87318165103444e-06	3.829342359355337e-06
3-4:LOH:10Mb-40Mb	3.325447842308798e-06	3.7391776819463585e-06	3.484934771523866e-06	3.7393054969626427e-06	3.916213195522874e-06	3.586166562385529e-06	4.016103017150466e-06	4.098283907588224e-06	3.871741578520829e-06	3.841852860654054e-06
3-4:LOH:>40Mb	3.3240104415080473e-06	3.7460273603065556e-06	3.4992483821522947e-06	3.7248285806383476e-06	3.926147371043833e-06	3.5931943587659277e-06	4.013067545978433e-06	4.099287837752576e-06	3.878164822886483e-06	3.822437421295899e-06
5-8:LOH:0-100kb	3.3268075189909244e-06	3.737719455214374e-06	3.4903059728951837e-06	3.7344564504912484e-06	3.915238075970793e-06	3.579120362795951e-06	4.0324973908150405e-06	4.098900765127499e-06	3.873052361013556e-06	3.834910968995686e-06
5-8:LOH:100kb-1Mb	3.325219604538676e-06	3.7368996856820146e-06	3.4795723851718657e-06	3.731574536988663e-06	3.920147383509904e-06	3.5804797006897537e-06	4.027374699087132e-06	4.102398836083653e-06	3.875072586562008e-06	3.839064463732056e-06
5-8:LOH:1Mb-10Mb	3.3236800547234435e-06	3.745687344356608e-06	3.488813685148437e-06	3.731601913595735e-06	3.920618708432324e-06	3.588929682219577e-06	4.025258332298793e-06	4.0958147738845395e-06	3.8761045998729194e-06	3.835159646301572e-06
5-8:LOH:10Mb-40Mb	3.325557218329443e-06	3.7335095365614907e-06	3.481203773533052e-06	3.7371423365640986e-06	3.92391300096301e-06	3.576312768581946e-06	4.021544848148097e-06	4.104989409177328e-06	3.87095309974967e-06	3.844970428535294e-06
5-8:LOH:>40Mb	3.325627384611839e-06	3.7373411033105196e-06	3.487753569258659e-06	3.740923966466568e-06	3.920173677821576e-06	3.58060501151769e-06	4.024741789117771e-06	4.0977016932676555e-06	3.871030100502838e-06	3.842345512135289e-06
9+:LOH:0-100kb	3.3251319664377173e-06	3.740545104365907e-06	3.496135239711779e-06	3.7233888770806337e-06	3.921859719951795e-06	3.585724916093991e-06	4.033067893665535e-06	4.098270931018595e-06	3.870548530606387e-06	3.835236243459772e-06
9+:LOH:100kb-1Mb	3.3257635876526153e-06	3.7411548929838276e-06	3.4839917421997235e-06	3.7312122599734603e-06	3.926517327024061e-06	3.588003246343563e-06	4.027809214506106e-06	4.103148535992944e-06	3.868500786234939e-06	3.837108894380964e-06
9+:LOH:1Mb-10Mb	3.327350248689186e-06	3.7380134856270425e-06	3.503519504873801e-06	3.7289667394246633e-06	3.920639690782788e-06	3.5842739348348473e-06	4.026341266295233e-06	4.098314960474735e-06	3.871925382674824e-06	3.828058148425392e-06
9+:LOH:10Mb-40Mb	3.322764752727298e-06	3.743909809733322e-06	3.489228609609581e-06	3.7198808687409186e-06	3.924701639499441e-06	3.59251354601664e-06	4.041036892510629e-06	4.1012702977527744e-06	3.877359102584887e-06	3.827587173777236e-06
9+:LOH:>40Mb	3.3276568819787852e-06	3.7375138245424505e-06	3.4818436514363006e-06	3.738420131118461e-06	3.91325413636961e-06	3.5898364134130943e-06	4.0357946383806e-06	4.107262701218652e-06	3.866868085292297e-06	3.830141350295163e-06
2:het:0-100kb	0.00044849004129071207	0.0009462782720112972	0.013200701518050592	0.004545305811124721	9.547827549216433e-05	0.0006800923324515661	0.01816418090392392	0.0021449819834225455	3.0432728638680547e-06	0.007588194991252291
2:het:100kb-1Mb	3.3238108634171772e-06	3.736622179836487e-06	3.4831127458034117e-06	3.727350496796027e-06	3.927453301807868e-06	3.582554769674104e-06	4.036075887237953e-06	4.102951398876078e-06	3.874382450350964e-06	3.839512386930505e-06
2:het:1Mb-10Mb	0.016744369328896152	0.024839051614215457	0.024046582913202982	0.005650936241753147	0.0839348406672867	0.03454792578432831	0.010738458030016837	0.01935044222270604	0.08550141438337641	0.02197637048434455
2:het:10Mb-40Mb	0.0256844448629418	0.029333258745039285	0.04113337618612921	0.04057135903346425	0.027764314046602734	0.024965329685338634	0.04741684006005778	0.4151364032311685	0.10480597867341078	0.0698150048052867
2:het:>40Mb	0.036718353501750976	0.042778208784402395	0.0572809825934863	0.08591780492604184	0.04858536086490166	0.056726004963665574	0.30392996723053944	0.08091884380890604	0.05851211726710764	0.053536738439448436
3-4:het:0-100kb	0.032911892349670874	0.021349824302637457	0.04489630523746577	0.022572600539623486	0.06401428527480409	0.04986738804845197	0.01006366451713853	0.02504955226913122	0.010047633713069921	0.041350861799090435
3-4:het:100kb-1Mb	3.326524863465575e-06	3.741856018579271e-06	3.478455925707632e-06	3.7330829381612705e-06	3.921183832501233e-06	3.591113884183095e-06	4.034584567426469e-06	4.10249281646511e-06	3.868162790432245e-06	3.834406735117396e-06
3-4:het:1Mb-10Mb	0.021233949103576833	0.014654640913405903	0.025973103408049918	0.008254506901597765	0.02456041650436697	0.021972417322451428	0.035729141672238895	0.07911144074864578	0.02551426996510461	0.2298914608843175
3-4:het:10Mb-40Mb	0.05042697255100827	0.10186136271018259	0.06905823795933533	0.08709572532551506	0.47716542194789724	0.1977482077059691	0.0919314634480842	0.05160651796095714	0.1849100726199792	0.08816682254095085
3-4:het:>40Mb	0.6365770371258259	0.15242830945426714	0.08930229976478526	0.21543598561750257	0.07713479314665031	0.4092255130421224	0.12658804154358225	0.0763076306516869	0.1878771098494352	0.11999366767410037
5-8:het:0-100kb	3.3248454028188175e-06	3.739492288002795e-06	3.4846496053302237e-06	3.7210465286740763e-06	3.925354112249245e-06	3.5886188118483543e-06	4.038470137405731e-06	4.101309077807346e-06	3.871961252643292e-06	3.830219384926864e-06
5-8:het:100kb-1Mb	3.3243378278174005e-06	3.7405537625753497e-06	3.4781271635333417e-06	3.734350337051064e-06	3.920468719452198e-06	3.584555392089128e-06	4.025098639510739e-06	4.100278522769711e-06	3.8744935949109435e-06	3.838780232596706e-06
5-8:het:1Mb-10Mb	3.322945059074123e-06	3.7481333709759436e-06	3.4923661442825658e-06	3.731379936541322e-06	3.923860139222616e-06	3.589443736977227e-06	4.025846567262266e-06	4.098323754529976e-06	3.874745111775744e-06	3.832123222332951e-06
5-8:het:10Mb-40Mb	3.3224898045851742e-06	3.737445435248549e-06	3.485285903719269e-06	3.7333851312612945e-06	3.925621038607618e-06	3.5813614414617057e-06	4.0195011397841545e-06	4.103009118020669e-06	3.8723494911328175e-06	3.839521133249646e-06
5-8:het:>40Mb	3.3244014035105923e-06	3.7442965626070743e-06	3.4940717599615275e-06	3.7270096679671165e-06	3.927615585543178e-06	3.5877275419990417e-06	4.0245107946368495e-06	4.098370284406283e-06	3.878892145579124e-06	3.826408673078416e-06
9+:het:0-100kb	3.3263331098965945e-06	3.7366327591159612e-06	3.4852008007507774e-06	3.7255593818024327e-06	3.924110083847952e-06	3.5822048721527722e-06	4.034912252891068e-06	4.104992049953586e-06	3.866982626217544e-06	3.834522212330133e-06
9+:het:100kb-1Mb	3.324207787299223e-06	3.7415332275949454e-06	3.495234531377665e-06	3.7292335747627496e-06	3.923646376975729e-06	3.5899054596429947e-06	4.026112219742058e-06	4.09730210502266e-06	3.872805387428321e-06	3.832631121063856e-06
9+:het:1Mb-10Mb	3.3243627185387684e-06	3.7392449295126328e-06	3.49551770143723e-06	3.7307334634057183e-06	3.924803451185433e-06	3.5819860474691767e-06	4.030449393082759e-06	4.1030508245266005e-06	3.872424013366702e-06	3.8344590482513875e-06
9+:het:10Mb-40Mb	3.329358167815478e-06	3.7372431257252068e-06	3.4938641010065143e-06	3.7280663655433634e-06	3.924376768521125e-06	3.5842966182251248e-06	4.023992131326351e-06	4.102709129065076e-06	3.8674707280609325e-06	3.830797099927008e-06
9+:het:>40Mb	3.327104415772388e-06	3.7359475714854125e-06	3.48601213292284e-06	3.735737117165962e-06	3.920428976371779e-06	3.581821109991168e-06	4.031473420721333e-06	4.097887992938351e-06	3.866636918532143e-06	3.838628030144106e-06
