MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
0:homdel:0-100kb	3.64E-08	4.31E-08	5.00E-08	4.68E-08	5.86E-08	3.87E-08	5.65E-08	5.28E-08	5.40E-08	5.57E-08
0:homdel:100kb-1Mb	3.59E-08	4.36E-08	5.04E-08	4.73E-08	5.89E-08	3.99E-08	5.74E-08	5.30E-08	5.35E-08	5.63E-08
0:homdel:>1Mb	3.59E-08	4.30E-08	4.95E-08	4.72E-08	5.86E-08	3.82E-08	5.71E-08	5.30E-08	5.34E-08	5.57E-08
1:LOH:0-100kb	2.48E-03	4.09E-04	1.09E-03	1.76E-03	5.36E-04	1.33E-03	2.20E-03	5.18E-03	8.83E-03	1.82E-03
1:LOH:100kb-1Mb	3.61E-08	4.28E-08	4.97E-08	4.76E-08	5.85E-08	3.81E-08	5.62E-08	5.30E-08	5.35E-08	5.59E-08
1:LOH:1Mb-10Mb	3.19E-03	8.17E-04	3.60E-03	8.81E-03	3.35E-03	2.72E-03	3.72E-03	3.48E-03	2.25E-03	2.86E-03
1:LOH:10Mb-40Mb	3.98E-03	4.62E-03	8.17E-03	5.12E-03	6.38E-03	4.96E-03	6.95E-03	4.93E-03	4.05E-03	7.23E-03
1:LOH:>40Mb	4.19E-03	7.76E-03	4.83E-03	3.78E-03	4.29E-03	5.83E-03	7.54E-03	4.86E-03	4.12E-03	7.17E-03
2:LOH:0-100kb	3.62E-08	4.29E-08	5.02E-08	4.69E-08	5.88E-08	3.86E-08	5.71E-08	5.25E-08	5.36E-08	5.60E-08
2:LOH:100kb-1Mb	3.63E-08	4.29E-08	5.27E-08	4.69E-08	5.88E-08	3.86E-08	5.85E-08	5.32E-08	5.43E-08	5.59E-08
2:LOH:1Mb-10Mb	3.63E-08	4.31E-08	5.01E-08	4.70E-08	5.85E-08	3.84E-08	5.58E-08	5.30E-08	5.35E-08	5.63E-08
2:LOH:10Mb-40Mb	3.62E-08	4.30E-08	5.11E-08	4.68E-08	5.86E-08	3.83E-08	5.71E-08	5.32E-08	5.35E-08	5.61E-08
2:LOH:>40Mb	3.62E-08	4.30E-08	5.01E-08	4.70E-08	5.86E-08	3.89E-08	5.68E-08	5.30E-08	5.37E-08	5.54E-08
3-4:LOH:0-100kb	3.61E-08	4.27E-08	5.02E-08	4.70E-08	5.79E-08	3.79E-08	5.71E-08	5.28E-08	5.35E-08	5.51E-08
3-4:LOH:100kb-1Mb	3.63E-08	4.31E-08	5.02E-08	4.68E-08	5.88E-08	3.87E-08	5.63E-08	5.22E-08	5.32E-08	5.59E-08
3-4:LOH:1Mb-10Mb	3.62E-08	4.35E-08	4.99E-08	4.78E-08	5.86E-08	3.92E-08	5.66E-08	5.35E-08	5.32E-08	5.65E-08
3-4:LOH:10Mb-40Mb	3.62E-08	4.30E-08	4.99E-08	4.71E-08	5.86E-08	3.83E-08	5.60E-08	5.28E-08	5.34E-08	5.62E-08
3-4:LOH:>40Mb	3.64E-08	4.46E-08	5.07E-08	4.72E-08	5.91E-08	3.94E-08	5.66E-08	5.31E-08	5.37E-08	5.64E-08
5-8:LOH:0-100kb	3.63E-08	4.28E-08	4.97E-08	4.69E-08	5.83E-08	3.83E-08	5.69E-08	5.33E-08	5.40E-08	5.63E-08
5-8:LOH:100kb-1Mb	3.62E-08	4.29E-08	5.00E-08	4.69E-08	5.91E-08	3.83E-08	5.70E-08	5.32E-08	5.37E-08	5.60E-08
5-8:LOH:1Mb-10Mb	3.64E-08	4.34E-08	5.05E-08	4.70E-08	5.88E-08	3.89E-08	5.62E-08	5.31E-08	5.38E-08	5.61E-08
5-8:LOH:10Mb-40Mb	3.62E-08	4.27E-08	4.99E-08	4.71E-08	5.86E-08	3.84E-08	5.55E-08	5.30E-08	5.38E-08	5.61E-08
5-8:LOH:>40Mb	3.62E-08	4.28E-08	4.98E-08	4.76E-08	5.83E-08	3.85E-08	5.68E-08	5.30E-08	5.38E-08	5.64E-08
9+:LOH:0-100kb	3.63E-08	4.28E-08	5.08E-08	4.70E-08	5.87E-08	3.87E-08	5.66E-08	5.31E-08	5.40E-08	5.59E-08
9+:LOH:100kb-1Mb	3.63E-08	4.38E-08	5.00E-08	4.75E-08	5.89E-08	3.98E-08	5.68E-08	5.31E-08	5.36E-08	5.70E-08
9+:LOH:1Mb-10Mb	3.63E-08	4.28E-08	5.08E-08	4.70E-08	5.85E-08	3.82E-08	5.72E-08	5.31E-08	5.38E-08	5.59E-08
9+:LOH:10Mb-40Mb	3.64E-08	4.36E-08	5.14E-08	4.69E-08	5.87E-08	3.89E-08	5.79E-08	5.32E-08	5.45E-08	5.60E-08
9+:LOH:>40Mb	3.63E-08	4.29E-08	4.99E-08	4.72E-08	5.82E-08	3.82E-08	5.64E-08	5.27E-08	5.39E-08	5.56E-08
2:het:0-100kb	3.62E-04	3.71E-04	1.51E-03	8.57E-04	9.24E-05	4.02E-04	1.69E-03	6.37E-04	1.50E-07	1.15E-03
2:het:100kb-1Mb	3.63E-08	4.32E-08	5.09E-08	4.67E-08	5.91E-08	3.83E-08	5.74E-08	5.31E-08	5.39E-08	5.65E-08
2:het:1Mb-10Mb	2.15E-03	2.65E-03	3.14E-03	1.73E-03	5.78E-03	4.04E-03	2.67E-03	3.21E-03	6.48E-03	3.71E-03
2:het:10Mb-40Mb	2.83E-03	2.51E-03	2.95E-03	3.28E-03	2.42E-03	2.31E-03	3.56E-03	8.00E-03	5.13E-03	4.48E-03
2:het:>40Mb	3.04E-03	3.10E-03	3.98E-03	4.93E-03	3.78E-03	3.90E-03	8.76E-03	4.61E-03	3.97E-03	3.74E-03
3-4:het:0-100kb	3.40E-03	2.69E-03	4.51E-03	4.10E-03	5.19E-03	4.94E-03	2.34E-03	3.82E-03	2.18E-03	5.28E-03
3-4:het:100kb-1Mb	3.64E-08	4.34E-08	5.02E-08	4.71E-08	5.89E-08	3.94E-08	5.66E-08	5.29E-08	5.39E-08	5.66E-08
3-4:het:1Mb-10Mb	2.60E-03	1.82E-03	2.44E-03	1.63E-03	2.71E-03	2.70E-03	3.15E-03	5.05E-03	2.39E-03	8.76E-03
3-4:het:10Mb-40Mb	3.35E-03	5.54E-03	4.76E-03	5.34E-03	8.20E-03	6.45E-03	5.72E-03	3.93E-03	7.11E-03	5.38E-03
3-4:het:>40Mb	7.06E-03	6.41E-03	5.30E-03	8.26E-03	4.97E-03	6.61E-03	5.98E-03	4.75E-03	6.84E-03	5.78E-03
5-8:het:0-100kb	3.63E-08	4.34E-08	4.95E-08	4.73E-08	5.89E-08	3.90E-08	5.76E-08	5.37E-08	5.39E-08	5.60E-08
5-8:het:100kb-1Mb	3.62E-08	4.30E-08	4.96E-08	4.71E-08	5.85E-08	3.86E-08	5.41E-08	5.30E-08	5.39E-08	5.58E-08
5-8:het:1Mb-10Mb	3.64E-08	4.33E-08	5.05E-08	4.73E-08	5.90E-08	3.99E-08	5.72E-08	5.33E-08	5.40E-08	5.67E-08
5-8:het:10Mb-40Mb	3.63E-08	4.34E-08	4.96E-08	4.70E-08	5.85E-08	3.84E-08	5.45E-08	5.30E-08	5.36E-08	5.61E-08
5-8:het:>40Mb	3.64E-08	4.37E-08	4.99E-08	4.72E-08	5.91E-08	3.98E-08	5.64E-08	5.31E-08	5.41E-08	5.65E-08
9+:het:0-100kb	3.61E-08	4.29E-08	5.02E-08	4.68E-08	5.86E-08	3.81E-08	5.72E-08	5.31E-08	5.33E-08	5.45E-08
9+:het:100kb-1Mb	3.63E-08	4.33E-08	5.14E-08	4.69E-08	5.87E-08	3.89E-08	5.70E-08	5.32E-08	5.37E-08	5.57E-08
9+:het:1Mb-10Mb	3.64E-08	4.31E-08	5.06E-08	4.75E-08	5.88E-08	3.88E-08	5.92E-08	5.33E-08	5.43E-08	5.62E-08
9+:het:10Mb-40Mb	3.61E-08	4.29E-08	4.96E-08	4.69E-08	5.83E-08	3.84E-08	5.62E-08	5.30E-08	5.34E-08	5.59E-08
9+:het:>40Mb	3.61E-08	4.29E-08	4.97E-08	4.72E-08	5.87E-08	3.84E-08	5.65E-08	5.32E-08	5.33E-08	5.60E-08
