MutationType	CNV48A
0:homdel:0-100kb	3.7307813586267e-06
0:homdel:100kb-1Mb	3.730781361355184e-06
0:homdel:>1Mb	3.730781355443469e-06
1:LOH:0-100kb	0.026729724825825543
1:LOH:100kb-1Mb	3.730781357262458e-06
1:LOH:1Mb-10Mb	0.062372653879225255
1:LOH:10Mb-40Mb	0.1337938259691
1:LOH:>40Mb	0.1454038459956646
2:LOH:0-100kb	3.7307813568077108e-06
2:LOH:100kb-1Mb	3.7307813568077108e-06
2:LOH:1Mb-10Mb	3.7307813599909423e-06
2:LOH:10Mb-40Mb	3.7307813586267e-06
2:LOH:>40Mb	3.730781355443469e-06
3-4:LOH:0-100kb	3.7307813599909423e-06
3-4:LOH:100kb-1Mb	3.7307813599909423e-06
3-4:LOH:1Mb-10Mb	3.7307813590814475e-06
3-4:LOH:10Mb-40Mb	3.730781360900437e-06
3-4:LOH:>40Mb	3.730781361355184e-06
5-8:LOH:0-100kb	3.730781358171953e-06
5-8:LOH:100kb-1Mb	3.730781358171953e-06
5-8:LOH:1Mb-10Mb	3.7307813577172056e-06
5-8:LOH:10Mb-40Mb	3.7307813590814475e-06
5-8:LOH:>40Mb	3.7307813536244792e-06
9+:LOH:0-100kb	3.730781354533974e-06
9+:LOH:100kb-1Mb	3.7307813627194265e-06
9+:LOH:1Mb-10Mb	3.7307813586267e-06
9+:LOH:10Mb-40Mb	3.730781363174174e-06
9+:LOH:>40Mb	3.7307813636289213e-06
2:het:0-100kb	0.0036820407978875665
2:het:100kb-1Mb	3.730781363174174e-06
2:het:1Mb-10Mb	0.025588065454736353
2:het:10Mb-40Mb	0.07018438307195903
2:het:>40Mb	0.07833211722970009
3-4:het:0-100kb	0.025707299133762716
3-4:het:100kb-1Mb	3.7307813563529633e-06
3-4:het:1Mb-10Mb	0.04139091652818024
3-4:het:10Mb-40Mb	0.14563500678539276
3-4:het:>40Mb	0.24104580906033515
5-8:het:0-100kb	3.7307813513507425e-06
5-8:het:100kb-1Mb	3.730781357262458e-06
5-8:het:1Mb-10Mb	3.7307813604456897e-06
5-8:het:10Mb-40Mb	3.7307813590814475e-06
5-8:het:>40Mb	3.730781362264679e-06
9+:het:0-100kb	3.730781355443469e-06
9+:het:100kb-1Mb	3.730781359536195e-06
9+:het:1Mb-10Mb	3.7307813577172056e-06
9+:het:10Mb-40Mb	3.730781357262458e-06
9+:het:>40Mb	3.730781354533974e-06
