MutationType	CNV48A	CNV48B
0:homdel:0-100kb	3.7628591730936023e-06	3.704945213030442e-06
0:homdel:100kb-1Mb	3.7628591730936023e-06	3.704945213030442e-06
0:homdel:>1Mb	3.762859174003097e-06	3.7049452125756944e-06
1:LOH:0-100kb	0.023200754496796015	0.032930682889308824
1:LOH:100kb-1Mb	3.762859174003097e-06	3.7049452125756944e-06
1:LOH:1Mb-10Mb	0.03761876853139613	0.08951924940413551
1:LOH:10Mb-40Mb	0.16685586233052635	0.1057307839711038
1:LOH:>40Mb	0.20243592367086813	0.08689167981206838
2:LOH:0-100kb	3.762859172638855e-06	3.704945213030442e-06
2:LOH:100kb-1Mb	3.762859174003097e-06	3.7049452125756944e-06
2:LOH:1Mb-10Mb	3.762859174003097e-06	3.7049452125756944e-06
2:LOH:10Mb-40Mb	3.7628591730936023e-06	3.704945213030442e-06
2:LOH:>40Mb	3.762859174003097e-06	3.7049452125756944e-06
3-4:LOH:0-100kb	3.762859174003097e-06	3.7049452125756944e-06
3-4:LOH:100kb-1Mb	3.7628591730936023e-06	3.704945213030442e-06
3-4:LOH:1Mb-10Mb	3.762859174003097e-06	3.7049452125756944e-06
3-4:LOH:10Mb-40Mb	3.7628591735483497e-06	3.7049452125756944e-06
3-4:LOH:>40Mb	3.762859174003097e-06	3.7049452125756944e-06
5-8:LOH:0-100kb	3.7628591730936023e-06	3.704945213030442e-06
5-8:LOH:100kb-1Mb	3.762859174003097e-06	3.7049452125756944e-06
5-8:LOH:1Mb-10Mb	3.7628591730936023e-06	3.704945213030442e-06
5-8:LOH:10Mb-40Mb	3.762859174003097e-06	3.7049452125756944e-06
5-8:LOH:>40Mb	3.7628591730936023e-06	3.704945213030442e-06
9+:LOH:0-100kb	3.7628591730936023e-06	3.704945213030442e-06
9+:LOH:100kb-1Mb	3.762859174003097e-06	3.7049452125756944e-06
9+:LOH:1Mb-10Mb	3.7628591730936023e-06	3.704945213030442e-06
9+:LOH:10Mb-40Mb	3.762859174003097e-06	3.7049452125756944e-06
9+:LOH:>40Mb	3.7628591730936023e-06	3.704945213030442e-06
2:het:0-100kb	0.005067362702928108	0.002801606456437782
2:het:100kb-1Mb	3.762859174003097e-06	3.7049452125756944e-06
2:het:1Mb-10Mb	0.027968715429348177	0.024800064646469614
2:het:10Mb-40Mb	0.08767833826261806	0.05944881954932069
2:het:>40Mb	0.08168546957007478	0.0754998686760527
3-4:het:0-100kb	0.02499971164406061	0.027319188260687053
3-4:het:100kb-1Mb	3.7628591730936023e-06	3.704945213030442e-06
3-4:het:1Mb-10Mb	0.05803066875952121	0.027469287098930758
3-4:het:10Mb-40Mb	0.1295049223792817	0.15623832495397924
3-4:het:>40Mb	0.15481804232584226	0.31121706929802895
5-8:het:0-100kb	3.762859174003097e-06	3.7049452125756944e-06
5-8:het:100kb-1Mb	3.762859174003097e-06	3.7049452125756944e-06
5-8:het:1Mb-10Mb	3.762859174003097e-06	3.7049452125756944e-06
5-8:het:10Mb-40Mb	3.762859174003097e-06	3.7049452125756944e-06
5-8:het:>40Mb	3.762859174003097e-06	3.7049452125756944e-06
9+:het:0-100kb	3.762859174003097e-06	3.7049452125756944e-06
9+:het:100kb-1Mb	3.762859174003097e-06	3.7049452125756944e-06
9+:het:1Mb-10Mb	3.762859174003097e-06	3.7049452125756944e-06
9+:het:10Mb-40Mb	3.762859174003097e-06	3.7049452125756944e-06
9+:het:>40Mb	3.7628591730936023e-06	3.704945213030442e-06
