MutationType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
0:homdel:100kb-1Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
0:homdel:>1Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
1:LOH:0-100kb	0.03842885373446576	0.01689856249070258	0.034503185975007636
1:LOH:100kb-1Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
1:LOH:1Mb-10Mb	0.10543775075397065	0.017223803665271625	0.06710128139942359
1:LOH:10Mb-40Mb	0.08603254555649567	0.07710048368308849	0.25033273070793877
1:LOH:>40Mb	0.048857935024096036	0.30000329826772215	0.07615047684273689
2:LOH:0-100kb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
2:LOH:100kb-1Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
2:LOH:1Mb-10Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
2:LOH:10Mb-40Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
2:LOH:>40Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
3-4:LOH:0-100kb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
3-4:LOH:100kb-1Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
3-4:LOH:1Mb-10Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
3-4:LOH:10Mb-40Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
3-4:LOH:>40Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
5-8:LOH:0-100kb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
5-8:LOH:100kb-1Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
5-8:LOH:1Mb-10Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
5-8:LOH:10Mb-40Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
5-8:LOH:>40Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
9+:LOH:0-100kb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
9+:LOH:100kb-1Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
9+:LOH:1Mb-10Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
9+:LOH:10Mb-40Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
9+:LOH:>40Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
2:het:0-100kb	0.002276192970525358	0.002191377825808729	0.007610497246971079
2:het:100kb-1Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
2:het:1Mb-10Mb	0.022927400889637788	0.03208889410222575	0.028240417996876568
2:het:10Mb-40Mb	0.05216610662283034	0.0554333188416592	0.12523707215767976
2:het:>40Mb	0.07177082618708461	0.07994269474383084	0.08349514037460155
3-4:het:0-100kb	0.028547424892374943	0.02139263884809375	0.029748384335859485
3-4:het:100kb-1Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
3-4:het:1Mb-10Mb	0.026327737945899116	0.037575518500466	0.06946936394929157
3-4:het:10Mb-40Mb	0.16205447059948225	0.15435059277098284	0.11280611413705131
3-4:het:>40Mb	0.3550398374125363	0.20566324707950795	0.1151699644602588
5-8:het:0-100kb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
5-8:het:100kb-1Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
5-8:het:1Mb-10Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
5-8:het:10Mb-40Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
5-8:het:>40Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
9+:het:0-100kb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
9+:het:100kb-1Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
9+:het:1Mb-10Mb	3.69219280219113e-06	3.7660281927855974e-06	3.7595785706798777e-06
9+:het:10Mb-40Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
9+:het:>40Mb	3.6921928017363825e-06	3.7660281927855974e-06	3.7595785702251307e-06
