MutationType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	4.69E-09	4.81E-09	6.33E-09
0:homdel:100kb-1Mb	4.69E-09	4.81E-09	6.33E-09
0:homdel:>1Mb	4.69E-09	4.81E-09	6.33E-09
1:LOH:0-100kb	1.92E-03	1.62E-03	2.35E-03
1:LOH:100kb-1Mb	4.69E-09	4.81E-09	6.33E-09
1:LOH:1Mb-10Mb	3.70E-03	1.80E-03	3.62E-03
1:LOH:10Mb-40Mb	3.64E-03	4.13E-03	6.04E-03
1:LOH:>40Mb	2.83E-03	4.86E-03	3.62E-03
2:LOH:0-100kb	4.69E-09	4.81E-09	6.33E-09
2:LOH:100kb-1Mb	4.69E-09	4.81E-09	6.33E-09
2:LOH:1Mb-10Mb	4.69E-09	4.81E-09	6.33E-09
2:LOH:10Mb-40Mb	4.69E-09	4.81E-09	6.33E-09
2:LOH:>40Mb	4.69E-09	4.81E-09	6.33E-09
3-4:LOH:0-100kb	4.69E-09	4.81E-09	6.33E-09
3-4:LOH:100kb-1Mb	4.69E-09	4.81E-09	6.33E-09
3-4:LOH:1Mb-10Mb	4.69E-09	4.81E-09	6.33E-09
3-4:LOH:10Mb-40Mb	4.69E-09	4.81E-09	6.33E-09
3-4:LOH:>40Mb	4.69E-09	4.81E-09	6.33E-09
5-8:LOH:0-100kb	4.69E-09	4.81E-09	6.33E-09
5-8:LOH:100kb-1Mb	4.69E-09	4.81E-09	6.33E-09
5-8:LOH:1Mb-10Mb	4.69E-09	4.81E-09	6.33E-09
5-8:LOH:10Mb-40Mb	4.69E-09	4.81E-09	6.33E-09
5-8:LOH:>40Mb	4.69E-09	4.81E-09	6.33E-09
9+:LOH:0-100kb	4.69E-09	4.81E-09	6.33E-09
9+:LOH:100kb-1Mb	4.69E-09	4.81E-09	6.33E-09
9+:LOH:1Mb-10Mb	4.69E-09	4.81E-09	6.33E-09
9+:LOH:10Mb-40Mb	4.69E-09	4.81E-09	6.33E-09
9+:LOH:>40Mb	4.69E-09	4.81E-09	6.33E-09
2:het:0-100kb	2.87E-04	2.93E-04	5.59E-04
2:het:100kb-1Mb	4.69E-09	4.81E-09	6.33E-09
2:het:1Mb-10Mb	1.56E-03	1.75E-03	2.00E-03
2:het:10Mb-40Mb	2.82E-03	3.04E-03	4.41E-03
2:het:>40Mb	2.56E-03	2.85E-03	3.21E-03
3-4:het:0-100kb	1.50E-03	1.40E-03	1.80E-03
3-4:het:100kb-1Mb	4.69E-09	4.81E-09	6.33E-09
3-4:het:1Mb-10Mb	1.84E-03	2.10E-03	2.75E-03
3-4:het:10Mb-40Mb	4.66E-03	4.49E-03	5.02E-03
3-4:het:>40Mb	4.90E-03	4.78E-03	3.90E-03
5-8:het:0-100kb	4.69E-09	4.81E-09	6.33E-09
5-8:het:100kb-1Mb	4.69E-09	4.81E-09	6.33E-09
5-8:het:1Mb-10Mb	4.69E-09	4.81E-09	6.33E-09
5-8:het:10Mb-40Mb	4.69E-09	4.81E-09	6.33E-09
5-8:het:>40Mb	4.69E-09	4.81E-09	6.33E-09
9+:het:0-100kb	4.69E-09	4.81E-09	6.33E-09
9+:het:100kb-1Mb	4.69E-09	4.81E-09	6.33E-09
9+:het:1Mb-10Mb	4.69E-09	4.81E-09	6.33E-09
9+:het:10Mb-40Mb	4.69E-09	4.81E-09	6.33E-09
9+:het:>40Mb	4.69E-09	4.81E-09	6.33E-09
